"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","8.80","8.82","8.91","8.75","485.30K","-0.38%"
"06/23/2026","8.83","8.99","9.03","8.83","426.83K","-1.67%"
"06/22/2026","8.98","8.93","9.00","8.87","519.97K","0.65%"
"06/21/2026","8.92","8.86","9.02","8.82","733.34K","1.32%"
"06/17/2026","8.81","8.82","8.90","8.76","283.34K","-0.09%"
"06/16/2026","8.82","8.85","8.86","8.78","204.72K","0.38%"
"06/15/2026","8.78","8.87","8.92","8.77","629.11K","-0.94%"
"06/14/2026","8.87","8.92","9.07","8.84","472.31K","1.14%"
"06/11/2026","8.77","9.08","9.08","8.75","924.79K","-1.77%"
"06/10/2026","8.92","8.92","9.58","8.91","4.39M","1.04%"
"06/09/2026","8.83","8.77","8.93","8.75","390.62K","0.76%"
"06/08/2026","8.77","8.83","8.93","8.72","512.66K","-1.59%"
"06/07/2026","8.91","8.87","8.98","8.75","737.07K","0.66%"
"06/04/2026","8.85","8.92","8.99","8.72","373.54K","-0.38%"
"06/03/2026","8.88","9.02","9.12","8.87","608.75K","-1.48%"
"06/02/2026","9.02","8.86","9.12","8.83","786.16K","2.17%"
"06/01/2026","8.82","8.62","8.83","8.62","407.81K","2.32%"
"05/25/2026","8.62","8.71","8.80","8.58","607.99K","-0.77%"
"05/24/2026","8.69","8.73","8.86","8.67","304.91K","0.10%"
"05/21/2026","8.68","8.66","8.75","8.61","457.85K","0.58%"
"05/20/2026","8.63","8.92","8.97","8.58","825.44K","-2.63%"
"05/19/2026","8.87","8.91","9.07","8.83","584.41K","-0.37%"
"05/18/2026","8.90","9.16","9.24","8.79","1.12M","-2.02%"
"05/17/2026","9.08","9.45","9.45","9.06","2.25M","-3.54%"
"05/14/2026","9.42","9.59","9.60","9.25","2.90M","-1.74%"
"05/13/2026","9.58","9.62","9.67","9.42","2.47M","1.05%"
"05/12/2026","9.48","9.38","9.54","9.31","3.11M","2.06%"
"05/11/2026","9.29","8.93","9.33","8.92","4.89M","4.99%"
"05/10/2026","8.85","8.67","8.97","8.67","1.38M","2.51%"
"05/06/2026","8.63","8.64","8.72","8.63","498.61K","0.10%"
"05/05/2026","8.62","8.75","8.81","8.61","704.20K","-1.52%"
"05/04/2026","8.76","8.96","9.00","8.74","1.15M","-1.96%"
"05/03/2026","8.93","8.67","9.07","8.63","3.69M","4.48%"
"04/30/2026","8.55","8.51","8.74","8.47","1.95M","1.08%"
"04/29/2026","8.46","8.50","8.60","8.44","667.71K","-0.39%"
"04/28/2026","8.49","8.54","8.54","8.39","351.46K","0.30%"
"04/27/2026","8.47","8.46","8.53","8.44","396.16K","0.30%"
"04/26/2026","8.44","8.45","8.46","8.39","474.93K","0.80%"
"04/23/2026","8.37","8.44","8.52","8.37","635.71K","0.10%"
"04/22/2026","8.37","8.44","8.47","8.35","532.64K","-0.30%"
"04/21/2026","8.39","8.45","8.54","8.33","624.89K","-0.69%"
"04/20/2026","8.45","8.54","8.56","8.41","412.41K","-0.20%"
"04/19/2026","8.47","8.29","8.69","8.29","2.56M","2.42%"
"04/16/2026","8.27","8.25","8.29","8.17","714.74K","0.51%"
"04/15/2026","8.22","8.23","8.26","8.17","375.74K","0.41%"
"04/14/2026","8.19","8.20","8.28","8.18","307.73K","-16.67%"
"04/12/2026","9.83","9.89","9.83","9.83","592.07K","20.00%"
"04/09/2026","8.19","8.25","8.30","8.11","710.48K","-0.61%"
"04/08/2026","8.24","8.33","8.33","8.21","288.24K","0.00%"
"04/07/2026","8.24","8.29","8.39","8.20","401.67K","-0.20%"
"04/06/2026","8.26","8.23","8.32","8.20","189.49K","0.61%"
"04/05/2026","8.21","8.21","8.29","8.17","288.94K","0.10%"
"04/02/2026","8.20","8.32","8.32","8.13","79.86K","-0.10%"
"04/01/2026","8.21","8.22","8.27","8.17","111.35K","0.92%"
"03/31/2026","8.13","8.12","8.33","8.12","392.28K","-0.20%"
"03/30/2026","8.15","8.39","8.39","8.10","326.53K","-1.61%"
"03/29/2026","8.28","8.42","8.48","8.21","365.71K","-0.50%"
"03/26/2026","8.32","8.32","8.62","8.25","1.46M","0.91%"
"03/25/2026","8.25","8.37","8.38","8.23","391.04K","-0.40%"
"03/24/2026","8.28","8.32","8.42","8.20","475.82K","1.02%"
"03/18/2026","8.20","8.15","8.21","8.09","257.87K","0.82%"
"03/17/2026","8.13","8.24","8.31","8.08","634.95K","-0.81%"
"03/16/2026","8.20","8.27","8.32","8.17","277.22K","-0.71%"
"03/15/2026","8.26","8.39","8.47","8.25","481.96K","-1.69%"
"03/12/2026","8.40","8.52","8.54","8.33","715.82K","0.30%"
"03/11/2026","8.37","8.46","8.52","8.34","841.18K","-0.59%"
