"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","375.50","375.00","377.00","369.52","4.18K","0.64%"
"06/23/2026","373.12","367.70","375.00","367.70","4.53K","1.56%"
"06/22/2026","367.40","373.74","373.96","365.60","4.05K","-0.70%"
"06/21/2026","370.00","368.00","374.00","365.01","5.03K","0.52%"
"06/17/2026","368.07","362.52","370.00","362.52","6.82K","1.53%"
"06/16/2026","362.52","363.00","364.44","362.28","4.29K","0.06%"
"06/15/2026","362.32","361.00","364.00","360.53","5.02K","0.38%"
"06/14/2026","360.96","358.00","364.40","355.50","5.82K","1.46%"
"06/11/2026","355.75","360.00","360.00","354.00","4.58K","-1.60%"
"06/10/2026","361.55","363.51","365.50","360.01","9.70K","-0.65%"
"06/09/2026","363.92","364.00","366.00","362.00","3.40K","-0.25%"
"06/08/2026","364.82","362.71","366.00","357.00","7.33K","0.50%"
"06/07/2026","363.02","364.99","364.99","356.14","4.80K","0.52%"
"06/04/2026","361.13","353.00","368.00","350.07","16.63K","2.78%"
"06/03/2026","351.36","352.50","353.00","350.04","3.69K","-0.25%"
"06/02/2026","352.23","352.00","353.00","351.06","5.60K","0.15%"
"06/01/2026","351.72","348.00","352.99","347.11","4.60K","1.13%"
"05/25/2026","347.78","347.90","348.00","346.00","2.53K","0.44%"
"05/24/2026","346.26","347.00","349.00","345.16","4.12K","-0.19%"
"05/21/2026","346.93","347.01","349.00","345.01","4.09K","-0.03%"
"05/20/2026","347.02","349.80","353.00","347.01","7.89K","-0.49%"
"05/19/2026","348.72","350.00","353.00","346.50","4.08K","0.38%"
"05/18/2026","347.39","354.90","354.90","345.00","5.00K","-1.15%"
"05/17/2026","351.42","359.00","359.00","350.00","7.56K","1.68%"
"05/14/2026","345.62","358.33","359.99","340.01","11.62K","-3.42%"
"05/13/2026","357.86","360.01","365.12","357.00","12.95K","0.23%"
"05/12/2026","357.04","353.00","370.00","351.50","26.52K","1.47%"
"05/11/2026","351.88","357.51","360.00","349.01","19.65K","-1.57%"
"05/10/2026","357.50","345.03","374.50","342.70","81.07K","4.34%"
"05/06/2026","342.64","350.00","353.00","336.00","20.26K","-1.05%"
"05/05/2026","346.27","323.98","383.00","315.10","176.61K","7.53%"
"05/04/2026","322.01","321.00","324.99","320.00","8.37K","0.53%"
"05/03/2026","320.32","321.00","327.00","318.01","18.43K","0.59%"
"04/30/2026","318.44","322.80","324.80","317.01","15.94K","-0.54%"
"04/29/2026","320.18","314.00","332.00","310.20","65.76K","2.14%"
"04/28/2026","313.47","317.00","318.80","313.01","15.09K","-0.52%"
"04/27/2026","315.11","313.03","319.99","313.00","10.87K","0.86%"
"04/26/2026","312.41","309.00","322.50","308.60","23.93K","1.27%"
"04/23/2026","308.48","310.00","315.00","306.01","8.54K","-0.33%"
"04/22/2026","309.51","313.00","319.99","308.00","8.31K","-0.46%"
"04/21/2026","310.94","328.00","330.00","309.00","44.45K","-4.33%"
"04/20/2026","325.01","287.50","339.97","284.50","180.34K","13.98%"
"04/19/2026","285.15","285.05","288.98","284.00","9.59K","0.06%"
"04/16/2026","284.99","285.50","287.40","280.06","6.01K","-0.15%"
"04/15/2026","285.41","289.00","289.00","285.11","7.65K","0.11%"
"04/14/2026","285.09","289.98","294.98","285.00","24.71K","-1.69%"
"04/12/2026","289.98","262.47","289.98","289.98","101.21K","0.00%"
"04/09/2026","289.98","263.00","307.00","262.97","101.21K","10.48%"
"04/08/2026","262.47","261.20","265.00","260.45","7.99K","0.93%"
"04/07/2026","260.06","260.12","264.98","260.00","11.96K","-0.27%"
"04/06/2026","260.76","265.10","273.00","260.02","20.54K","-1.63%"
"04/05/2026","265.07","272.00","278.55","264.20","51.56K","-3.74%"
"04/02/2026","275.36","252.50","287.90","251.08","96.55K","9.21%"
"04/01/2026","252.13","252.00","253.00","251.02","3.62K","0.80%"
"03/31/2026","250.13","250.08","251.95","250.01","0.79K","0.00%"
"03/30/2026","250.13","251.00","252.49","250.08","3.03K","-0.37%"
"03/29/2026","251.05","253.00","253.00","250.02","4.09K","-0.04%"
"03/26/2026","251.16","250.50","252.00","250.50","2.15K","0.36%"
"03/25/2026","250.25","250.11","252.04","250.00","2.20K","0.20%"
"03/24/2026","249.76","253.00","253.98","248.81","4.05K","-1.09%"
"03/18/2026","252.50","251.95","253.21","251.00","1.79K","0.27%"
"03/17/2026","251.83","251.00","252.00","250.09","1.73K","0.53%"
"03/16/2026","250.49","252.50","252.50","250.04","2.21K","-0.60%"
"03/15/2026","252.01","252.00","253.30","252.00","3.05K","-0.04%"
"03/12/2026","252.10","252.10","254.00","251.91","1.69K","-0.08%"
"03/11/2026","252.31","251.50","255.60","251.50","1.94K","0.11%"
"03/10/2026","252.03","255.00","257.00","251.07","4.21K","0.40%"
"03/09/2026","251.03","252.25","252.99","250.01","4.25K","0.00%"
"03/08/2026","251.02","252.95","252.99","250.00","2.50K","0.15%"
"03/05/2026","250.64","253.00","253.00","249.00","3.64K","-1.42%"
"03/04/2026","254.26","247.00","256.81","247.00","5.02K","3.13%"
"03/03/2026","246.54","251.00","252.00","246.01","4.56K","-2.28%"
"03/02/2026","252.28","249.40","257.00","246.00","9.65K","1.11%"
"03/01/2026","249.50","250.00","251.08","235.00","5.82K","-1.33%"
"02/26/2026","252.86","251.50","253.00","250.05","4.66K","0.21%"
"02/25/2026","252.32","253.90","253.91","252.10","3.43K","-0.54%"
"02/24/2026","253.69","252.91","254.00","251.28","2.58K","0.02%"
"02/23/2026","253.63","252.00","254.00","250.10","2.15K","1.35%"
"02/22/2026","250.25","254.00","254.00","250.00","7.03K","-1.09%"
"02/19/2026","253.00","256.49","256.97","252.91","6.01K","-0.02%"
"02/18/2026","253.06","253.07","258.00","253.00","7.07K","-0.22%"
"02/17/2026","253.63","255.00","258.00","252.90","8.68K","-0.59%"
"02/16/2026","255.14","257.50","258.00","254.81","2.73K","-0.88%"
"02/15/2026","257.41","258.00","259.00","256.30","1.81K","0.30%"
"02/12/2026","256.63","254.15","257.50","254.05","2.14K","0.62%"
"02/11/2026","255.06","257.00","257.00","253.50","1.45K","0.23%"
"02/10/2026","254.47","257.90","257.95","252.00","2.85K","-0.43%"
"02/09/2026","255.58","260.00","262.50","254.50","6.75K","-1.52%"
"02/08/2026","259.53","264.00","265.00","258.52","4.55K","-1.54%"
"02/05/2026","263.60","264.00","268.00","260.20","5.98K","0.25%"
"02/04/2026","262.94","257.25","264.00","257.03","9.77K","2.30%"
"02/03/2026","257.03","259.65","259.65","255.00","2.44K","0.31%"
"02/02/2026","256.23","253.64","263.00","253.64","3.68K","1.16%"
"02/01/2026","253.29","250.57","254.89","249.00","3.90K","1.26%"
"01/28/2026","250.14","253.56","255.00","250.00","11.14K","-1.35%"
"01/27/2026","253.56","255.02","256.00","253.00","8.57K","-0.61%"
"01/26/2026","255.12","258.00","259.00","252.50","12.57K","-0.58%"
"01/25/2026","256.62","260.01","262.00","256.25","25.02K","-1.30%"
"01/22/2026","260.01","263.80","264.00","259.00","24.76K","-0.80%"
"01/21/2026","262.11","265.66","273.00","261.52","18.44K","-1.26%"
"01/20/2026","265.46","267.50","277.00","264.00","15.74K","-0.15%"
"01/19/2026","265.87","264.51","267.85","264.00","2.16K","0.35%"
"01/18/2026","264.94","264.50","268.50","264.50","6.08K","0.17%"
"01/15/2026","264.48","264.69","268.00","261.00","4.93K","-0.08%"
"01/14/2026","264.69","266.40","269.00","260.00","7.82K","-1.09%"
"01/13/2026","267.62","268.00","269.55","266.40","3.00K","0.13%"
"01/12/2026","267.26","268.81","269.80","267.18","3.44K","-0.58%"
"01/11/2026","268.81","267.00","269.88","267.00","3.76K","0.76%"
"01/08/2026","266.78","267.79","269.99","266.00","4.87K","0.01%"
"01/06/2026","266.76","267.35","268.13","266.30","1.63K","-0.22%"
"01/05/2026","267.35","266.13","268.75","265.50","2.85K","0.42%"
"01/04/2026","266.24","269.00","269.98","266.00","2.89K","0.44%"
