"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","13.10","12.86","13.22","12.69","1.52M","2.10%"
"06/23/2026","12.83","13.30","13.30","12.80","2.29M","-2.88%"
"06/22/2026","13.21","13.70","13.70","13.11","3.30M","-3.29%"
"06/21/2026","13.66","13.55","13.85","13.55","1.39M","0.22%"
"06/17/2026","13.63","13.89","13.89","13.53","3.19M","-0.87%"
"06/16/2026","13.75","13.25","13.80","13.23","3.66M","4.17%"
"06/15/2026","13.20","13.31","13.40","12.90","3.94M","-0.75%"
"06/14/2026","13.30","13.88","14.08","13.20","5.17M","-3.06%"
"06/11/2026","13.72","13.91","14.20","13.65","2.65M","-2.00%"
"06/10/2026","14.00","14.80","14.84","13.98","2.96M","-5.34%"
"06/09/2026","14.79","14.66","14.85","14.59","2.29M","0.89%"
"06/08/2026","14.66","14.52","14.94","14.46","3.98M","1.10%"
"06/07/2026","14.50","14.73","14.74","14.45","3.78M","-0.89%"
"06/04/2026","14.63","15.30","15.37","14.62","5.15M","-3.75%"
"06/03/2026","15.20","14.92","15.35","14.91","10.11M","3.40%"
"06/02/2026","14.70","14.28","14.95","14.27","10.15M","3.16%"
"06/01/2026","14.25","13.80","14.25","13.61","3.95M","3.64%"
"05/25/2026","13.75","13.94","13.95","13.57","2.32M","-0.58%"
"05/24/2026","13.83","13.95","14.07","13.83","2.47M","-0.65%"
"05/21/2026","13.92","13.90","14.17","13.83","5.28M","0.14%"
"05/20/2026","13.90","14.34","14.55","13.83","4.45M","-2.93%"
"05/19/2026","14.32","14.39","14.68","14.29","5.67M","-0.28%"
"05/18/2026","14.36","14.56","14.98","14.26","12.24M","-1.37%"
"05/17/2026","14.56","14.44","14.97","14.10","16.08M","1.82%"
"05/14/2026","14.30","13.40","14.41","13.20","24.30M","7.20%"
"05/13/2026","13.34","13.55","13.67","13.18","9.85M","-1.55%"
"05/12/2026","13.55","12.96","13.58","12.95","21.23M","5.86%"
"05/11/2026","12.80","12.26","12.80","12.26","13.94M","5.44%"
"05/10/2026","12.14","11.95","12.32","11.95","4.68M","2.45%"
"05/06/2026","11.85","11.80","12.00","11.77","5.75M","1.02%"
"05/05/2026","11.73","11.81","11.87","11.64","3.79M","-0.76%"
"05/04/2026","11.82","12.25","12.32","11.76","9.64M","-3.04%"
"05/03/2026","12.19","12.35","12.53","12.19","7.20M","-0.89%"
"04/30/2026","12.30","12.24","12.53","12.19","8.91M","1.23%"
"04/29/2026","12.15","12.41","12.45","12.12","6.42M","-1.62%"
"04/28/2026","12.35","12.01","12.42","11.97","11.79M","3.17%"
"04/27/2026","11.97","12.06","12.15","11.86","4.25M","-0.08%"
"04/26/2026","11.98","11.80","12.05","11.80","10.26M","2.83%"
"04/23/2026","11.65","11.33","11.70","11.26","11.41M","3.65%"
"04/22/2026","11.24","11.22","11.36","11.15","4.12M","0.36%"
"04/21/2026","11.20","11.31","11.37","11.19","4.39M","-0.88%"
"04/20/2026","11.30","11.35","11.41","11.29","2.04M","-0.26%"
"04/19/2026","11.33","11.36","11.40","11.33","1.40M","-0.09%"
"04/16/2026","11.34","11.41","11.45","11.32","2.90M","-0.18%"
"04/15/2026","11.36","11.50","11.55","11.32","4.58M","-0.44%"
"04/14/2026","11.41","11.35","11.48","11.33","3.85M","0.97%"
"04/12/2026","11.30","11.25","11.30","11.30","2.02M","0.00%"
"04/09/2026","11.30","11.28","11.33","11.13","2.02M","0.44%"
"04/08/2026","11.25","11.41","11.48","11.21","2.96M","-0.44%"
"04/07/2026","11.30","11.24","11.48","11.18","4.37M","0.89%"
"04/06/2026","11.20","11.28","11.36","11.15","4.02M","-0.44%"
"04/05/2026","11.25","11.25","11.43","11.22","3.36M","0.18%"
"04/02/2026","11.23","11.40","11.41","11.23","1.57M","-1.58%"
"04/01/2026","11.41","11.44","11.60","11.30","2.00M","0.53%"
"03/31/2026","11.35","11.05","11.70","11.05","3.72M","1.61%"
"03/30/2026","11.17","11.50","11.53","11.10","2.70M","-2.19%"
"03/29/2026","11.42","11.79","11.79","11.40","3.74M","-1.89%"
"03/26/2026","11.64","11.94","11.95","11.61","4.52M","-2.10%"
"03/25/2026","11.89","12.10","12.11","11.87","3.20M","-1.08%"
"03/24/2026","12.02","11.70","12.11","11.70","4.87M","3.18%"
"03/18/2026","11.65","11.97","11.99","11.62","5.11M","-2.27%"
"03/17/2026","11.92","12.05","12.12","11.91","3.74M","-0.67%"
"03/16/2026","12.00","12.11","12.20","11.92","3.12M","-0.74%"
"03/15/2026","12.09","12.40","12.45","12.09","4.44M","-1.63%"
"03/12/2026","12.29","12.54","12.74","12.22","6.87M","-0.57%"
"03/11/2026","12.36","12.18","12.41","12.15","5.27M","1.73%"
"03/10/2026","12.15","12.35","12.45","12.04","8.47M","-2.80%"
"03/09/2026","12.50","13.20","13.28","12.45","23.84M","-2.80%"
"03/08/2026","12.86","12.28","12.99","12.24","40.23M","6.02%"
"03/05/2026","12.13","12.56","12.65","11.71","31.20M","-3.35%"
"03/04/2026","12.55","13.69","13.97","12.40","38.28M","-4.92%"
"03/03/2026","13.20","12.21","13.40","11.90","11.89M","8.02%"
"03/02/2026","12.22","12.40","12.59","12.10","1.62M","-1.61%"
"03/01/2026","12.42","12.31","12.57","12.02","5.46M","-5.12%"
"02/26/2026","13.09","13.12","13.40","12.91","6.27M","0.38%"
"02/25/2026","13.04","13.00","13.35","12.93","16.02M","0.31%"
"02/24/2026","13.00","13.08","13.26","12.96","5.77M","-0.08%"
"02/23/2026","13.01","12.88","13.16","12.75","4.11M","1.01%"
"02/22/2026","12.88","12.85","13.02","12.65","3.04M","0.39%"
"02/19/2026","12.83","13.20","13.20","12.80","2.93M","-2.43%"
"02/18/2026","13.15","13.15","13.41","13.13","7.20M","0.92%"
"02/17/2026","13.03","12.99","13.16","12.85","3.96M","0.15%"
"02/16/2026","13.01","13.38","13.43","13.01","6.34M","-2.03%"
"02/15/2026","13.28","12.59","13.39","12.59","19.69M","6.58%"
"02/12/2026","12.46","12.66","12.79","12.46","4.48M","-1.11%"
"02/11/2026","12.60","12.33","12.71","12.30","8.75M","2.44%"
"02/10/2026","12.30","12.34","12.48","12.22","3.81M","-0.24%"
"02/09/2026","12.33","12.49","12.49","12.19","3.19M","-0.72%"
"02/08/2026","12.42","12.25","12.47","12.13","7.67M","2.31%"
"02/05/2026","12.14","12.35","12.37","12.07","6.04M","-1.30%"
"02/04/2026","12.30","11.82","12.32","11.73","15.88M","4.95%"
"02/03/2026","11.72","11.79","11.95","11.61","5.30M","0.60%"
"02/02/2026","11.65","11.30","11.80","11.12","6.10M","3.56%"
"02/01/2026","11.25","11.16","11.30","11.00","1.28M","1.26%"
"01/28/2026","11.11","11.47","11.68","10.90","6.61M","-2.37%"
"01/27/2026","11.38","10.90","11.44","10.85","7.70M","4.88%"
"01/26/2026","10.85","10.80","10.95","10.67","2.48M","0.46%"
"01/25/2026","10.80","11.11","11.20","10.80","2.73M","-1.37%"
"01/22/2026","10.95","11.10","11.33","10.95","4.63M","-0.36%"
"01/21/2026","10.99","10.57","11.05","10.50","3.60M","4.17%"
"01/20/2026","10.55","10.79","10.88","10.40","3.39M","-1.59%"
"01/19/2026","10.72","10.70","10.92","10.70","2.41M","0.37%"
"01/18/2026","10.68","10.84","10.90","10.61","485.95K","1.71%"
"01/15/2026","10.50","10.90","11.00","10.47","944.53K","-2.78%"
"01/14/2026","10.80","11.15","11.24","9.77","2.14M","-3.14%"
"01/13/2026","11.15","11.52","11.60","11.14","1.34M","-3.04%"
"01/12/2026","11.50","11.71","11.92","11.46","2.61M","-1.79%"
