"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","0.578","0.580","0.601","0.572","63.32M","-0.14%"
"06/23/2026","0.579","0.600","0.602","0.574","64.70M","-3.68%"
"06/22/2026","0.601","0.617","0.621","0.586","66.65M","-3.06%"
"06/21/2026","0.620","0.572","0.622","0.572","184.00M","8.43%"
"06/17/2026","0.572","0.582","0.586","0.553","59.01M","-1.76%"
"06/16/2026","0.582","0.605","0.609","0.578","88.84M","-1.99%"
"06/15/2026","0.594","0.588","0.598","0.561","165.73M","3.16%"
"06/14/2026","0.576","0.527","0.576","0.513","299.35M","11.81%"
"06/11/2026","0.515","0.497","0.523","0.490","43.22M","2.03%"
"06/10/2026","0.504","0.496","0.543","0.492","126.99M","1.75%"
"06/09/2026","0.496","0.502","0.510","0.490","27.31M","-0.48%"
"06/08/2026","0.498","0.513","0.516","0.495","106.58M","-3.96%"
"06/07/2026","0.519","0.471","0.534","0.471","280.68M","13.08%"
"06/04/2026","0.459","0.452","0.459","0.452","27.53M","1.93%"
"06/03/2026","0.450","0.446","0.450","0.446","10.40M","0.88%"
"06/02/2026","0.446","0.440","0.448","0.440","16.15M","1.44%"
"06/01/2026","0.440","0.440","0.441","0.436","2.94M","0.91%"
"05/25/2026","0.436","0.438","0.439","0.433","9.39M","-0.36%"
"05/24/2026","0.437","0.440","0.440","0.434","5.54M","0.73%"
"05/21/2026","0.434","0.439","0.442","0.429","10.53M","-1.26%"
"05/20/2026","0.440","0.451","0.452","0.439","8.60M","-2.11%"
"05/19/2026","0.449","0.442","0.461","0.441","26.81M","1.79%"
"05/18/2026","0.441","0.450","0.450","0.434","18.79M","-1.93%"
"05/17/2026","0.450","0.451","0.454","0.447","12.33M","-0.35%"
"05/14/2026","0.452","0.456","0.458","0.448","12.97M","-0.17%"
"05/13/2026","0.452","0.456","0.465","0.452","35.95M","-0.17%"
"05/12/2026","0.453","0.437","0.454","0.437","39.65M","3.80%"
"05/11/2026","0.437","0.437","0.440","0.435","6.96M","-0.18%"
"05/10/2026","0.437","0.438","0.440","0.436","7.17M","-0.18%"
"05/06/2026","0.438","0.439","0.441","0.432","8.12M","0.91%"
"05/05/2026","0.434","0.434","0.436","0.427","10.25M","0.00%"
"05/04/2026","0.434","0.442","0.443","0.433","10.57M","-1.43%"
"05/03/2026","0.441","0.442","0.444","0.438","10.21M","0.54%"
"04/30/2026","0.438","0.448","0.448","0.437","14.19M","-1.25%"
"04/29/2026","0.444","0.437","0.445","0.434","28.96M","2.18%"
"04/28/2026","0.434","0.434","0.437","0.433","11.10M","0.18%"
"04/27/2026","0.433","0.432","0.436","0.431","10.16M","0.55%"
"04/26/2026","0.431","0.432","0.433","0.429","12.80M","0.55%"
"04/23/2026","0.429","0.429","0.432","0.429","10.34M","0.00%"
"04/22/2026","0.429","0.429","0.434","0.426","22.50M","0.18%"
"04/21/2026","0.428","0.422","0.429","0.420","14.15M","1.69%"
"04/20/2026","0.421","0.422","0.424","0.419","4.82M","0.00%"
"04/19/2026","0.421","0.423","0.424","0.419","7.89M","0.38%"
"04/16/2026","0.419","0.420","0.423","0.418","9.74M","0.19%"
"04/15/2026","0.418","0.418","0.422","0.418","9.52M","0.38%"
"04/14/2026","0.417","0.418","0.419","0.417","6.91M","-21.05%"
"04/12/2026","0.528","0.529","0.528","0.528","3.42M","26.67%"
"04/09/2026","0.417","0.418","0.420","0.417","4.33M","-0.19%"
"04/08/2026","0.418","0.418","0.421","0.415","7.80M","0.95%"
"04/07/2026","0.414","0.418","0.422","0.413","7.81M","-0.57%"
"04/06/2026","0.416","0.419","0.420","0.416","7.97M","-0.57%"
"04/05/2026","0.418","0.418","0.421","0.416","3.64M","0.57%"
"04/02/2026","0.416","0.426","0.426","0.414","9.79M","-1.31%"
"04/01/2026","0.422","0.416","0.439","0.413","24.97M","2.10%"
"03/31/2026","0.413","0.413","0.418","0.411","5.71M","-0.19%"
"03/30/2026","0.414","0.417","0.418","0.413","3.59M","-0.76%"
"03/29/2026","0.417","0.419","0.425","0.417","5.55M","-0.75%"
"03/26/2026","0.420","0.422","0.427","0.418","10.46M","-0.19%"
"03/25/2026","0.421","0.423","0.426","0.418","6.20M","0.57%"
"03/24/2026","0.418","0.422","0.427","0.417","8.66M","0.00%"
"03/18/2026","0.418","0.418","0.422","0.415","7.29M","0.19%"
"03/17/2026","0.418","0.418","0.421","0.414","4.15M","0.38%"
"03/16/2026","0.416","0.418","0.423","0.414","4.93M","-1.13%"
"03/15/2026","0.421","0.425","0.428","0.420","2.58M","-0.93%"
"03/12/2026","0.425","0.430","0.432","0.424","3.94M","-0.92%"
"03/11/2026","0.429","0.430","0.433","0.426","6.40M","-0.18%"
"03/10/2026","0.429","0.421","0.436","0.419","18.16M","2.84%"
"03/09/2026","0.418","0.418","0.426","0.412","9.95M","-0.19%"
"03/08/2026","0.418","0.421","0.422","0.411","8.65M","0.38%"
"03/05/2026","0.417","0.421","0.426","0.416","4.17M","-0.38%"
"03/04/2026","0.418","0.409","0.419","0.405","5.48M","2.71%"
"03/03/2026","0.407","0.411","0.411","0.403","3.61M","-0.58%"
"03/02/2026","0.410","0.411","0.414","0.407","2.64M","-0.19%"
"03/01/2026","0.411","0.395","0.412","0.380","8.15M","-1.70%"
"02/26/2026","0.418","0.415","0.441","0.413","6.87M","0.76%"
"02/25/2026","0.414","0.426","0.430","0.414","15.84M","-2.60%"
"02/24/2026","0.426","0.430","0.432","0.426","5.27M","-0.92%"
"02/23/2026","0.429","0.426","0.433","0.425","3.29M","0.74%"
"02/22/2026","0.426","0.434","0.434","0.426","6.23M","-1.46%"
"02/19/2026","0.433","0.443","0.446","0.433","8.67M","-2.32%"
"02/18/2026","0.443","0.443","0.446","0.442","8.20M","0.18%"
"02/17/2026","0.442","0.447","0.447","0.441","6.48M","-0.53%"
"02/16/2026","0.444","0.454","0.454","0.443","12.00M","-1.40%"
"02/15/2026","0.451","0.450","0.459","0.448","24.76M","0.53%"
"02/12/2026","0.448","0.451","0.452","0.445","6.87M","-0.35%"
"02/11/2026","0.450","0.454","0.459","0.449","38.38M","-0.35%"
"02/10/2026","0.452","0.447","0.452","0.443","29.58M","1.96%"
"02/09/2026","0.443","0.451","0.452","0.441","10.66M","-0.71%"
"02/08/2026","0.446","0.449","0.449","0.444","7.29M","0.71%"
"02/05/2026","0.443","0.450","0.450","0.438","10.03M","-0.88%"
"02/04/2026","0.447","0.448","0.454","0.447","24.50M","1.07%"
"02/03/2026","0.442","0.437","0.446","0.434","10.16M","1.63%"
"02/02/2026","0.435","0.435","0.437","0.432","10.19M","1.10%"
"02/01/2026","0.430","0.430","0.441","0.422","19.77M","1.11%"
"01/28/2026","0.426","0.441","0.441","0.419","18.53M","-2.71%"
"01/27/2026","0.437","0.438","0.444","0.436","14.28M","0.18%"
"01/26/2026","0.437","0.447","0.450","0.434","19.87M","-2.47%"
"01/25/2026","0.448","0.458","0.459","0.447","13.50M","-2.07%"
"01/22/2026","0.457","0.454","0.459","0.451","16.09M","1.22%"
"01/21/2026","0.452","0.454","0.455","0.447","16.25M","-0.35%"
"01/20/2026","0.453","0.463","0.463","0.452","21.72M","-1.20%"
"01/19/2026","0.459","0.444","0.463","0.443","47.42M","4.12%"
"01/18/2026","0.441","0.441","0.449","0.435","20.74M","1.45%"
"01/15/2026","0.434","0.459","0.462","0.429","46.46M","-4.51%"
