"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","6.71","6.87","6.87","6.68","171.62K","0.60%"
"06/23/2026","6.67","6.76","6.88","6.66","383.26K","-0.60%"
"06/22/2026","6.71","6.82","6.90","6.70","276.37K","-1.32%"
"06/21/2026","6.80","6.88","7.01","6.77","742.59K","-1.02%"
"06/17/2026","6.87","6.70","7.09","6.69","1.93M","2.54%"
"06/16/2026","6.70","6.69","6.81","6.66","279.63K","-0.45%"
"06/15/2026","6.73","6.85","6.86","6.60","1.04M","0.60%"
"06/14/2026","6.69","6.80","6.98","6.41","1.62M","0.75%"
"06/11/2026","6.64","6.77","6.89","6.61","619.37K","-2.50%"
"06/10/2026","6.81","6.77","7.14","6.71","1.97M","0.59%"
"06/09/2026","6.77","6.77","6.94","6.66","502.03K","0.45%"
"06/08/2026","6.74","6.69","7.00","6.62","1.35M","0.60%"
"06/07/2026","6.70","7.10","7.16","6.50","1.79M","-5.50%"
"06/04/2026","7.09","7.17","7.21","7.01","2.31M","0.57%"
"06/03/2026","7.05","7.26","7.75","7.03","11.61M","-3.29%"
"06/02/2026","7.29","6.37","7.58","6.32","9.24M","14.62%"
"06/01/2026","6.36","6.43","6.52","6.22","771.50K","-0.16%"
"05/25/2026","6.37","6.48","6.59","6.35","712.15K","-1.39%"
"05/24/2026","6.46","6.21","6.70","6.21","1.96M","4.70%"
"05/21/2026","6.17","6.45","6.50","6.15","639.77K","-3.14%"
"05/20/2026","6.37","6.73","6.77","6.31","1.69M","-4.64%"
"05/19/2026","6.68","6.19","6.80","6.12","6.54M","9.51%"
"05/18/2026","6.10","5.98","6.23","5.98","2.39M","2.18%"
"05/17/2026","5.97","6.18","6.45","5.91","1.80M","-0.67%"
"05/14/2026","6.01","5.97","6.23","5.83","1.91M","2.04%"
"05/13/2026","5.89","5.96","6.00","5.88","584.63K","-0.84%"
"05/12/2026","5.94","5.82","5.97","5.80","620.69K","1.54%"
"05/11/2026","5.85","5.78","5.85","5.76","496.07K","1.04%"
"05/10/2026","5.79","5.82","5.87","5.78","268.21K","-0.86%"
"05/06/2026","5.84","5.92","5.96","5.81","324.20K","0.17%"
"05/05/2026","5.83","5.85","5.95","5.75","817.15K","0.00%"
"05/04/2026","5.83","5.79","5.90","5.72","2.61M","1.39%"
"05/03/2026","5.75","5.78","5.88","5.62","845.46K","-0.52%"
"04/30/2026","5.78","5.84","5.91","5.78","867.25K","-1.03%"
"04/29/2026","5.84","5.79","6.05","5.70","3.72M","1.57%"
"04/28/2026","5.75","5.78","5.85","5.70","546.14K","0.00%"
"04/27/2026","5.75","5.80","5.80","5.70","394.26K","-0.35%"
"04/26/2026","5.77","5.82","5.92","5.70","1.26M","-0.86%"
"04/23/2026","5.82","5.85","5.95","5.71","1.41M","-0.51%"
"04/22/2026","5.85","5.89","5.93","5.80","740.43K","-0.51%"
"04/21/2026","5.88","6.16","6.18","5.85","2.12M","-2.81%"
"04/20/2026","6.05","6.08","6.18","5.80","3.32M","0.33%"
"04/19/2026","6.03","5.85","6.27","5.80","2.92M","3.25%"
"04/16/2026","5.84","5.77","5.92","5.75","2.80M","1.21%"
"04/15/2026","5.77","5.69","5.84","5.55","3.25M","1.76%"
"04/14/2026","5.67","5.39","5.70","5.39","4.22M","5.19%"
"04/12/2026","5.39","5.40","5.39","5.39","705.79K","0.00%"
"04/09/2026","5.39","5.40","5.45","5.31","705.79K","-0.19%"
"04/08/2026","5.40","5.23","5.46","5.22","1.57M","4.25%"
"04/07/2026","5.18","5.23","5.35","5.18","597.28K","-0.96%"
"04/06/2026","5.23","5.17","5.27","5.14","617.47K","0.97%"
"04/05/2026","5.18","5.17","5.27","5.10","508.91K","0.19%"
"04/02/2026","5.17","5.29","5.29","5.16","656.39K","-2.08%"
"04/01/2026","5.28","5.25","5.35","5.16","1.07M","0.38%"
"03/31/2026","5.26","5.17","5.41","5.06","4.11M","1.54%"
"03/30/2026","5.18","5.00","5.24","4.90","4.67M","3.60%"
"03/29/2026","5.00","4.10","5.04","4.10","759.95K","0.00%"
"03/26/2026","5.00","4.84","5.00","4.70","2.08M","3.73%"
"03/25/2026","4.82","4.65","4.86","4.62","795.30K","3.43%"
"03/24/2026","4.66","4.60","4.72","4.60","87.97K","1.08%"
"03/18/2026","4.61","4.62","4.75","4.54","78.06K","-1.50%"
"03/17/2026","4.68","4.55","4.75","4.52","187.87K","0.43%"
"03/16/2026","4.66","4.65","4.79","4.64","158.68K","-1.06%"
"03/15/2026","4.71","4.55","4.86","4.46","759.99K","2.39%"
"03/12/2026","4.60","4.56","4.69","4.56","129.17K","0.44%"
"03/11/2026","4.58","4.65","4.73","4.56","180.12K","0.00%"
"03/10/2026","4.58","4.52","4.65","4.52","127.94K","0.44%"
"03/09/2026","4.56","4.55","4.70","4.52","128.07K","-0.87%"
"03/08/2026","4.60","4.67","4.74","4.52","2.35M","-1.92%"
"03/05/2026","4.69","4.33","4.76","4.27","1.93M","8.56%"
"03/04/2026","4.32","4.13","4.34","4.13","286.00K","2.86%"
"03/03/2026","4.20","4.20","4.22","4.10","362.11K","-0.47%"
"03/02/2026","4.22","4.13","4.33","4.11","275.96K","1.93%"
"03/01/2026","4.14","4.11","4.15","4.05","488.37K","-0.24%"
"02/26/2026","4.15","4.17","4.19","4.14","192.31K","-0.48%"
"02/25/2026","4.17","4.31","4.39","4.16","1.10M","-3.25%"
"02/24/2026","4.31","4.35","4.40","4.29","211.54K","-0.92%"
"02/23/2026","4.35","4.40","4.40","4.35","131.55K","-1.14%"
"02/22/2026","4.40","4.40","4.45","4.34","2.17M","0.00%"
"02/19/2026","4.40","4.50","4.50","4.36","329.52K","-2.44%"
"02/18/2026","4.51","4.50","4.55","4.50","445.93K","-0.22%"
"02/17/2026","4.52","4.48","4.55","4.47","228.80K","0.67%"
"02/16/2026","4.49","4.57","4.58","4.47","288.59K","-1.97%"
"02/15/2026","4.58","4.56","4.61","4.52","371.10K","0.44%"
"02/12/2026","4.56","4.52","4.63","4.41","689.61K","1.33%"
"02/11/2026","4.50","4.54","4.56","4.45","395.85K","-0.44%"
"02/10/2026","4.52","4.50","4.57","4.50","166.46K","-0.44%"
"02/09/2026","4.54","4.49","4.62","4.47","1.14M","1.11%"
"02/08/2026","4.49","4.50","4.54","4.45","319.23K","1.13%"
"02/05/2026","4.44","4.44","4.66","4.32","1.76M","0.45%"
"02/04/2026","4.42","4.38","4.44","4.35","757.47K","0.91%"
"02/03/2026","4.38","4.34","4.45","4.31","718.51K","1.15%"
