"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","100.87","101.01","102.90","100.27","13.44K","-0.38%"
"06/23/2026","101.25","103.00","104.00","101.00","12.56K","-2.50%"
"06/22/2026","103.85","102.60","104.00","102.00","13.83K","1.77%"
"06/21/2026","102.04","102.02","105.00","102.00","17.34K","-0.06%"
"06/17/2026","102.10","103.68","104.50","100.80","10.84K","-1.52%"
"06/16/2026","103.68","104.60","106.50","103.51","17.62K","0.19%"
"06/15/2026","103.48","106.53","107.00","103.00","18.39K","-2.21%"
"06/14/2026","105.82","104.44","107.48","104.35","12.08K","2.40%"
"06/11/2026","103.34","104.30","105.00","100.53","10.81K","-1.73%"
"06/10/2026","105.16","106.50","106.50","104.50","9.46K","0.07%"
"06/09/2026","105.09","106.00","107.25","105.00","12.16K","-1.40%"
"06/08/2026","106.58","108.00","108.60","106.15","11.57K","0.09%"
"06/07/2026","106.48","105.55","109.49","104.50","26.49K","0.87%"
"06/04/2026","105.56","108.60","108.60","104.00","17.68K","-1.26%"
"06/03/2026","106.91","109.10","109.48","106.67","13.04K","-1.27%"
"06/02/2026","108.28","108.38","109.89","107.12","29.70K","1.08%"
"06/01/2026","107.12","107.00","108.97","106.25","22.90K","0.89%"
"05/25/2026","106.17","105.13","109.99","105.13","36.28K","0.64%"
"05/24/2026","105.50","106.18","108.95","103.07","16.19K","-2.15%"
"05/21/2026","107.82","111.94","111.94","107.02","6.39K","-2.27%"
"05/20/2026","110.33","110.26","115.00","110.25","77.39K","0.10%"
"05/19/2026","110.22","112.99","113.10","110.00","17.80K","-0.03%"
"05/18/2026","110.25","114.22","116.00","110.01","55.44K","-3.30%"
"05/17/2026","114.01","117.00","119.89","114.00","174.05K","1.51%"
"05/14/2026","112.31","111.94","114.97","108.10","61.04K","1.34%"
"05/13/2026","110.83","110.01","112.97","110.00","22.92K","1.27%"
"05/12/2026","109.44","112.99","112.99","108.03","28.23K","-1.56%"
"05/11/2026","111.17","113.00","117.00","110.01","35.31K","-1.22%"
"05/10/2026","112.54","109.99","117.00","108.02","92.88K","4.87%"
"05/06/2026","107.31","113.90","114.00","106.25","99.60K","-5.31%"
"05/05/2026","113.33","103.01","119.90","97.10","412.79K","10.64%"
"05/04/2026","102.43","106.00","106.89","102.00","24.13K","-1.59%"
"05/03/2026","104.09","103.00","108.00","102.51","91.73K","1.48%"
"04/30/2026","102.57","102.96","104.00","101.83","28.95K","0.53%"
