"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","243.50","243.01","245.30","242.20","42.35K","-0.59%"
"06/23/2026","244.95","248.70","249.92","243.00","98.29K","-1.47%"
"06/22/2026","248.60","252.39","252.39","247.50","64.28K","-0.96%"
"06/21/2026","251.00","252.03","253.80","250.05","64.94K","-0.40%"
"06/17/2026","252.01","251.92","253.94","248.50","131.97K","0.04%"
"06/16/2026","251.92","253.89","254.99","251.57","142.15K","-7.22%"
"06/15/2026","271.52","275.26","276.97","271.50","252.60K","-1.23%"
"06/14/2026","274.90","275.00","276.99","272.53","150.95K","1.07%"
"06/11/2026","271.99","270.50","272.50","267.11","136.87K","0.37%"
"06/10/2026","270.98","276.00","277.85","270.13","112.40K","-1.73%"
"06/09/2026","275.75","277.35","279.50","274.50","159.93K","-0.22%"
"06/08/2026","276.35","271.00","279.00","270.99","234.49K","2.09%"
"06/07/2026","270.70","272.92","274.00","270.14","113.24K","-0.64%"
"06/04/2026","272.43","272.00","272.90","270.00","127.44K","0.08%"
"06/03/2026","272.22","273.89","273.89","270.00","108.87K","0.42%"
"06/02/2026","271.08","270.01","274.80","269.10","88.08K","0.80%"
"06/01/2026","268.93","276.00","278.90","267.85","149.05K","-1.48%"
"05/25/2026","272.96","281.00","281.00","271.05","293.59K","-2.51%"
"05/24/2026","280.00","288.35","288.35","278.10","143.06K","-1.41%"
"05/21/2026","284.00","291.45","295.00","284.00","187.51K","-2.22%"
"05/20/2026","290.45","288.00","294.00","286.05","221.14K","1.91%"
"05/19/2026","285.00","277.00","285.00","275.05","324.65K","3.64%"
"05/18/2026","275.00","265.45","280.00","265.01","288.84K","3.77%"
"05/17/2026","265.00","264.00","266.97","262.02","99.60K","0.76%"
"05/14/2026","263.00","265.00","267.00","261.52","146.69K","-0.56%"
"05/13/2026","264.48","267.00","269.48","263.25","138.68K","-0.57%"
"05/12/2026","266.00","263.62","269.98","262.30","256.59K","1.56%"
"05/11/2026","261.91","262.00","264.00","261.87","90.22K","0.02%"
"05/10/2026","261.87","259.75","263.98","259.63","211.69K","1.11%"
"05/06/2026","259.00","264.96","264.96","259.00","190.37K","-0.77%"
"05/05/2026","261.00","260.91","265.00","258.50","197.03K","0.04%"
"05/04/2026","260.90","266.75","267.93","260.10","112.39K","-1.40%"
"05/03/2026","264.60","265.00","268.00","264.00","69.66K","0.23%"
"04/30/2026","264.00","271.00","272.00","263.20","151.98K","-2.55%"
"04/29/2026","270.90","272.09","274.95","270.50","137.22K","-0.77%"
"04/28/2026","272.99","276.49","276.68","272.22","45.13K","-0.71%"
"04/27/2026","274.95","277.50","277.50","271.00","99.78K","0.34%"
"04/26/2026","274.02","270.10","274.02","268.50","85.25K","2.25%"
"04/23/2026","268.00","278.40","285.00","268.00","299.72K","-0.74%"
"04/22/2026","270.00","291.98","300.00","270.00","230.21K","5.46%"
"04/21/2026","256.01","253.97","257.74","252.00","52.97K","1.67%"
"04/20/2026","251.80","255.00","255.00","251.07","37.04K","-0.87%"
"04/19/2026","254.01","253.98","256.75","253.00","21.68K","0.47%"
"04/16/2026","252.83","254.01","259.79","252.51","86.27K","-0.22%"
"04/15/2026","253.39","262.00","264.90","253.00","98.96K","-2.68%"
"04/14/2026","260.36","249.00","262.00","249.00","69.66K","4.81%"
"04/12/2026","248.41","249.36","248.41","248.41","68.36K","0.00%"
"04/09/2026","248.41","250.88","252.50","248.00","68.36K","-0.38%"
"04/08/2026","249.36","252.93","252.93","249.02","31.10K","0.14%"
"04/07/2026","249.02","252.20","255.50","248.21","65.51K","-1.18%"
"04/06/2026","252.00","252.01","256.99","250.07","19.51K","0.40%"
"04/05/2026","250.99","258.70","258.70","250.50","64.21K","-1.47%"
"04/02/2026","254.74","256.00","259.50","254.00","18.66K","-0.10%"
"04/01/2026","255.00","255.00","260.00","252.03","11.02K","1.18%"
"03/31/2026","252.03","253.95","257.00","251.50","19.95K","-0.74%"
"03/30/2026","253.91","257.00","265.00","251.40","19.86K","-1.20%"
"03/29/2026","257.00","270.00","270.00","251.16","14.72K","-2.54%"
"03/26/2026","263.70","269.00","274.70","263.11","43.45K","-1.60%"
"03/25/2026","268.00","272.99","274.90","267.51","19.86K","-0.77%"
"03/24/2026","270.08","275.17","275.90","270.00","14.60K","-0.97%"
"03/18/2026","272.72","273.00","275.00","271.25","2.58K","-0.32%"
"03/17/2026","273.59","273.90","275.00","270.00","2.00K","1.33%"
"03/16/2026","270.00","271.01","274.00","267.00","10.05K","-0.30%"
"03/15/2026","270.81","275.00","275.00","270.00","7.93K","-1.52%"
"03/12/2026","274.98","275.00","276.94","273.00","35.88K","0.10%"
"03/11/2026","274.71","275.99","277.00","273.33","15.26K","-0.12%"
"03/10/2026","275.05","274.00","277.00","272.40","14.10K","0.63%"
"03/09/2026","273.34","277.00","277.90","273.00","17.17K","-0.65%"
"03/08/2026","275.13","276.59","278.00","274.00","12.74K","0.57%"
"03/05/2026","273.58","277.00","278.50","273.14","7.63K","-0.04%"
"03/04/2026","273.69","274.95","276.00","273.12","12.81K","0.19%"
"03/03/2026","273.17","278.00","278.00","271.01","3.15K","-0.42%"
"03/02/2026","274.31","271.00","281.90","271.00","25.26K","0.90%"
"03/01/2026","271.86","274.00","275.00","269.00","13.28K","-4.07%"
"02/26/2026","283.38","278.79","284.00","270.11","15.34K","3.56%"
"02/25/2026","273.63","280.30","283.80","272.27","13.00K","-2.28%"
"02/24/2026","280.02","281.00","285.00","279.02","24.16K","0.00%"
"02/23/2026","280.01","275.06","285.00","275.00","22.86K","1.39%"
"02/22/2026","276.18","282.00","285.00","270.10","39.73K","-2.36%"
"02/19/2026","282.85","290.00","290.99","271.00","18.58K","-2.09%"
"02/18/2026","288.89","282.50","295.00","282.05","70.96K","2.28%"
"02/17/2026","282.46","288.00","289.00","280.05","42.89K","-1.57%"
"02/16/2026","286.96","288.99","291.98","286.02","15.91K","-0.66%"
"02/15/2026","288.88","284.96","290.00","282.00","12.31K","2.18%"
"02/12/2026","282.72","285.07","288.50","277.00","11.70K","-0.62%"
"02/11/2026","284.47","295.00","296.77","283.13","16.67K","-2.51%"
"02/10/2026","291.78","298.00","298.93","289.10","18.26K","-0.97%"
"02/09/2026","294.65","282.23","302.00","281.00","104.52K","5.18%"
"02/08/2026","280.14","277.00","285.00","274.01","21.81K","1.49%"
"02/05/2026","276.02","277.85","277.90","272.50","5.95K","0.21%"
"02/04/2026","275.44","278.50","278.99","275.00","12.98K","0.06%"
"02/03/2026","275.27","275.01","279.00","272.02","8.68K","0.24%"
"02/02/2026","274.60","275.02","280.00","273.50","10.50K","0.04%"
"02/01/2026","274.48","267.01","281.40","267.01","62.35K","3.14%"
"01/28/2026","266.13","267.99","272.00","265.80","7.26K","-0.05%"
"01/27/2026","266.27","267.95","273.00","265.70","8.52K","0.24%"
"01/26/2026","265.64","265.23","271.00","265.14","4.70K","-0.78%"
"01/25/2026","267.74","270.00","273.95","263.05","6.85K","-1.03%"
"01/22/2026","270.53","270.02","274.49","269.00","5.49K","0.27%"
"01/21/2026","269.80","265.50","277.00","262.50","38.26K","1.51%"
"01/20/2026","265.78","269.99","274.00","265.00","27.26K","-1.28%"
"01/19/2026","269.22","265.87","274.90","265.00","38.37K","2.67%"
"01/18/2026","262.21","251.96","266.00","251.00","26.93K","5.90%"
"01/15/2026","247.61","244.75","252.89","244.75","11.98K","1.55%"
