"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","38.20","38.50","39.10","38.05","359.15K","-0.75%"
"06/23/2026","38.49","38.85","38.85","36.63","706.37K","0.50%"
"06/22/2026","38.30","39.25","39.33","38.01","299.99K","-1.79%"
"06/21/2026","39.00","37.69","39.10","37.25","768.32K","3.48%"
"06/17/2026","37.69","37.90","37.90","36.90","242.86K","-0.26%"
"06/16/2026","37.79","37.47","37.90","37.02","190.06K","2.14%"
"06/15/2026","37.00","37.48","38.29","36.01","290.08K","0.16%"
"06/14/2026","36.94","37.28","37.49","36.61","255.46K","1.21%"
"06/11/2026","36.50","37.84","38.46","36.45","725.48K","-3.21%"
"06/10/2026","37.71","37.00","40.40","36.70","2.55M","2.08%"
"06/09/2026","36.94","37.14","37.14","36.55","104.71K","-0.05%"
"06/08/2026","36.96","36.99","37.05","36.11","201.48K","0.03%"
"06/07/2026","36.95","36.53","37.10","35.40","248.62K","1.15%"
"06/04/2026","36.53","37.11","37.30","36.50","167.47K","-1.32%"
"06/03/2026","37.02","37.05","37.40","36.61","315.37K","0.24%"
"06/02/2026","36.93","35.93","37.30","35.72","539.09K","3.19%"
"06/01/2026","35.79","35.60","35.84","35.46","68.00K","0.93%"
"05/25/2026","35.46","35.75","35.80","35.31","84.34K","0.54%"
"05/24/2026","35.27","35.81","35.84","35.20","82.03K","0.28%"
"05/21/2026","35.17","35.60","35.70","35.05","107.29K","-0.26%"
"05/20/2026","35.26","35.90","36.15","35.11","152.54K","-0.73%"
"05/19/2026","35.52","36.60","36.80","35.52","166.67K","-1.74%"
"05/18/2026","36.15","37.70","37.80","36.10","395.91K","-2.35%"
"05/17/2026","37.02","35.79","38.00","35.45","1.16M","4.37%"
"05/14/2026","35.47","35.85","35.85","35.01","127.03K","-0.11%"
"05/13/2026","35.51","35.79","35.90","35.42","165.04K","-0.48%"
"05/12/2026","35.68","35.64","35.88","35.52","202.41K","0.96%"
"05/11/2026","35.34","35.40","35.48","35.20","168.59K","0.51%"
"05/10/2026","35.16","35.49","35.49","35.10","183.59K","-0.03%"
"05/06/2026","35.17","35.60","35.61","35.04","280.96K","-0.26%"
"05/05/2026","35.26","35.59","35.59","34.96","114.57K","0.43%"
"05/04/2026","35.11","35.88","35.96","35.03","218.56K","-1.29%"
"05/03/2026","35.57","36.15","36.15","35.50","224.89K","0.37%"
"04/30/2026","35.44","35.30","35.75","35.05","306.59K","1.17%"
"04/29/2026","35.03","35.49","35.50","34.95","164.85K","-0.31%"
"04/28/2026","35.14","35.70","35.77","35.01","135.04K","0.09%"
"04/27/2026","35.11","35.13","35.47","34.95","164.29K","0.60%"
"04/26/2026","34.90","36.34","36.34","34.90","420.76K","-2.05%"
"04/23/2026","35.63","37.00","37.00","35.34","384.26K","-2.97%"
"04/22/2026","36.72","34.43","37.00","34.21","924.33K","7.37%"
"04/21/2026","34.20","34.97","34.97","34.16","176.21K","-1.13%"
"04/20/2026","34.59","34.57","35.17","34.25","305.80K","0.93%"
"04/19/2026","34.27","34.45","34.78","34.25","177.53K","-0.15%"
"04/16/2026","34.32","35.00","35.00","34.20","346.93K","-1.12%"
"04/15/2026","34.71","36.00","36.10","34.10","468.10K","-3.18%"
"04/14/2026","35.85","36.00","36.20","35.61","110.59K","-0.03%"
"04/12/2026","35.86","34.86","35.86","35.86","217.60K","0.00%"
"04/09/2026","35.86","35.35","35.90","34.42","217.60K","2.87%"
"04/08/2026","34.86","36.48","36.48","32.30","217.56K","-2.49%"
"04/07/2026","35.75","36.50","36.58","35.75","402.73K","-1.49%"
"04/06/2026","36.29","36.02","36.87","36.02","210.00K","0.81%"
"04/05/2026","36.00","36.49","36.50","35.90","210.90K","-0.83%"
"04/02/2026","36.30","37.21","37.39","36.30","262.82K","-1.44%"
"04/01/2026","36.83","37.55","37.95","36.75","217.70K","-1.39%"
"03/31/2026","37.35","36.90","38.30","36.55","283.36K","1.22%"
"03/30/2026","36.90","39.00","39.21","36.90","475.49K","-5.14%"
"03/29/2026","38.90","38.50","39.39","37.90","804.29K","2.18%"
"03/26/2026","38.07","37.60","39.25","37.60","2.42M","1.49%"
"03/25/2026","37.51","37.01","37.95","36.25","444.90K","0.78%"
"03/24/2026","37.22","35.12","38.15","35.12","4.50M","7.88%"
"03/18/2026","34.50","34.62","34.83","34.00","184.75K","-0.03%"
"03/17/2026","34.51","34.37","34.77","34.00","215.59K","1.17%"
"03/16/2026","34.11","35.84","35.84","34.00","353.88K","-4.19%"
"03/15/2026","35.60","35.99","36.49","35.40","524.16K","0.28%"
"03/12/2026","35.50","36.97","37.29","35.50","861.92K","-0.84%"
"03/11/2026","35.80","35.31","36.97","34.02","1.43M","1.99%"
"03/10/2026","35.10","36.97","37.09","34.65","1.38M","-7.63%"
"03/09/2026","38.00","34.65","38.98","34.65","4.15M","16.96%"
"03/08/2026","32.49","31.00","32.88","30.61","1.07M","6.52%"
"03/05/2026","30.50","30.50","30.60","30.00","161.60K","0.93%"
"03/04/2026","30.22","30.50","31.00","29.90","512.65K","1.07%"
"03/03/2026","29.90","29.35","29.97","28.80","157.80K","3.78%"
"03/02/2026","28.81","29.00","29.10","28.70","134.33K","-0.21%"
"03/01/2026","28.87","28.03","28.92","27.30","150.29K","-0.93%"
"02/26/2026","29.14","29.29","29.29","29.00","72.42K","0.80%"
"02/25/2026","28.91","30.06","30.06","28.85","268.73K","0.00%"
"02/24/2026","28.91","30.28","30.30","28.90","374.24K","-2.82%"
"02/23/2026","29.75","29.21","30.00","29.10","148.17K","1.85%"
"02/22/2026","29.21","29.90","30.35","28.50","294.36K","-1.02%"
"02/19/2026","29.51","30.82","30.89","29.51","440.52K","-3.59%"
"02/18/2026","30.61","30.38","30.75","30.16","438.81K","1.80%"
"02/17/2026","30.07","29.48","30.50","29.00","639.92K","2.52%"
"02/16/2026","29.33","29.67","29.67","29.30","120.65K","0.41%"
"02/15/2026","29.21","29.35","29.70","29.14","353.14K","0.27%"
"02/12/2026","29.13","29.30","29.35","29.05","75.55K","-0.38%"
"02/11/2026","29.24","29.30","29.50","28.90","164.65K","0.83%"
"02/10/2026","29.00","29.50","29.55","28.80","200.16K","-0.17%"
"02/09/2026","29.05","29.80","29.89","29.00","357.15K","-1.22%"
"02/08/2026","29.41","29.00","29.79","28.72","881.22K","2.83%"
"02/05/2026","28.60","28.65","28.86","28.20","284.58K","0.78%"
"02/04/2026","28.38","28.39","28.49","28.21","134.74K","0.96%"
"02/03/2026","28.11","28.20","28.30","28.00","161.17K","0.75%"
"02/02/2026","27.90","28.00","28.30","27.70","151.18K","0.72%"
"02/01/2026","27.70","28.50","28.50","27.50","271.33K","-1.35%"
"01/28/2026","28.08","28.70","28.82","28.02","196.66K","-1.13%"
"01/27/2026","28.40","28.36","28.60","28.10","125.67K","0.82%"
"01/26/2026","28.17","28.54","28.94","28.00","146.18K","-1.19%"
"01/25/2026","28.51","28.34","29.12","28.15","315.26K","1.03%"
"01/22/2026","28.22","28.20","28.68","28.00","168.81K","0.71%"
"01/21/2026","28.02","27.99","28.30","27.75","191.41K","0.39%"
"01/20/2026","27.91","28.00","28.24","27.85","93.86K","-0.18%"
"01/19/2026","27.96","27.64","28.54","27.49","118.60K","1.60%"
"01/18/2026","27.52","27.22","27.80","27.21","42.60K","1.36%"
"01/15/2026","27.15","27.10","27.90","27.09","166.81K","0.22%"
"01/14/2026","27.09","27.95","28.00","26.50","169.61K","-2.41%"
"01/13/2026","27.76","28.85","28.88","27.50","133.94K","-3.14%"
"01/12/2026","28.66","28.76","28.89","28.60","59.95K","-0.17%"
"01/11/2026","28.71","28.76","28.97","28.70","86.19K","-0.10%"
"01/08/2026","28.74","28.75","29.00","28.60","180.44K","0.03%"
"01/06/2026","28.73","28.75","28.89","28.55","80.31K","0.21%"
"01/05/2026","28.67","28.75","28.98","28.54","84.37K","-0.86%"
"01/04/2026","28.92","29.01","29.23","28.79","119.35K","-0.21%"
