"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","36.15","35.85","36.24","35.46","2.77M","1.37%"
"06/23/2026","35.66","35.29","35.77","35.15","2.70M","1.31%"
"06/22/2026","35.20","37.35","37.56","35.01","6.99M","-5.43%"
"06/21/2026","37.22","36.97","37.70","36.76","4.28M","1.42%"
"06/17/2026","36.70","37.25","37.38","36.50","3.31M","-1.26%"
"06/16/2026","37.17","37.61","37.70","37.02","2.29M","-0.61%"
"06/15/2026","37.40","38.50","38.99","36.90","4.05M","-2.65%"
"06/14/2026","38.42","40.65","40.70","38.15","4.72M","-3.90%"
"06/11/2026","39.98","41.20","41.45","39.47","3.11M","-2.96%"
"06/10/2026","41.20","42.20","42.48","41.05","1.25M","-2.25%"
"06/09/2026","42.15","42.84","42.84","42.01","927.48K","-0.96%"
"06/08/2026","42.56","42.57","43.33","42.42","1.57M","0.40%"
"06/07/2026","42.39","42.98","43.10","42.30","807.37K","-1.40%"
"06/04/2026","42.99","42.90","43.20","42.85","1.03M","0.23%"
"06/03/2026","42.89","43.00","43.30","42.63","1.03M","0.21%"
"06/02/2026","42.80","43.60","43.84","42.55","1.81M","-1.65%"
"06/01/2026","43.52","43.84","43.84","43.20","1.63M","-1.09%"
"05/25/2026","44.00","44.70","44.74","43.14","1.88M","-0.99%"
"05/24/2026","44.44","43.55","45.10","43.27","1.91M","2.82%"
"05/21/2026","43.22","43.54","43.90","43.10","1.37M","-0.64%"
"05/20/2026","43.50","44.60","44.88","43.50","1.46M","-2.27%"
"05/19/2026","44.51","45.31","45.78","44.50","1.98M","-1.66%"
"05/18/2026","45.26","46.50","46.60","45.26","3.83M","-1.61%"
"05/17/2026","46.00","44.70","46.09","44.70","3.85M","3.46%"
"05/14/2026","44.46","44.80","45.39","44.21","1.13M","-0.63%"
"05/13/2026","44.74","45.90","45.95","44.72","1.77M","-2.10%"
"05/12/2026","45.70","45.78","46.60","45.41","2.50M","1.22%"
"05/11/2026","45.15","44.20","45.30","44.20","2.93M","3.15%"
"05/10/2026","43.77","43.61","44.16","43.44","2.20M","0.62%"
