"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","108.00","108.00","108.00","108.00","0.01K","0.00%"
"06/22/2026","108.00","107.10","108.00","107.00","0.06K","0.93%"
"06/17/2026","107.00","108.50","108.50","107.00","0.25K","0.00%"
"06/15/2026","107.00","106.95","107.00","106.95","0.54K","0.05%"
"06/10/2026","106.95","107.00","107.00","106.95","0.24K","-0.05%"
"06/08/2026","107.00","92.20","107.00","92.20","0.10K","18.89%"
"06/03/2026","90.00","109.50","109.50","90.00","0.02K","-17.42%"
"06/01/2026","108.99","109.99","109.99","108.99","0.01K","31.31%"
"05/25/2026","83.00","110.01","110.01","80.10","0.42K","-24.55%"
"05/20/2026","110.01","110.01","110.01","110.01","0.02K","-1.78%"
"05/18/2026","112.00","114.00","114.00","112.00","0.05K","0.00%"
"05/13/2026","112.00","112.00","112.00","111.20","0.17K","-0.09%"
"05/11/2026","112.10","112.00","112.10","112.00","0.09K","0.75%"
"05/06/2026","111.26","112.00","112.00","111.26","0.06K","0.00%"
"05/04/2026","111.26","111.26","111.26","111.26","0.02K","-3.88%"
"04/29/2026","115.75","115.94","115.94","115.74","0.06K","4.04%"
"04/27/2026","111.26","111.24","111.26","111.26","","0.00%"
"04/22/2026","111.26","111.24","111.26","111.24","0.00K","0.04%"
"04/20/2026","111.22","111.10","117.00","111.10","0.06K","0.11%"
"04/15/2026","111.10","117.80","117.80","110.50","0.06K","-5.04%"
"04/08/2026","117.00","111.00","117.00","110.01","0.11K","6.35%"
"04/06/2026","110.01","117.80","117.80","110.01","0.01K","0.01%"
"04/01/2026","110.00","117.90","117.90","109.00","0.10K","-6.78%"
"03/30/2026","118.00","118.00","118.00","118.00","","0.00%"
"03/25/2026","118.00","118.00","118.00","118.00","0.01K","0.00%"
"03/18/2026","118.00","110.00","120.00","81.18","0.13K","7.27%"
"03/16/2026","110.00","110.00","110.00","110.00","0.01K","0.00%"
"03/11/2026","110.00","110.00","110.00","110.00","0.07K","-8.33%"
"03/04/2026","120.00","128.98","128.98","120.00","0.04K","-7.66%"
"02/23/2026","129.96","125.00","129.96","125.00","0.02K","-0.03%"
"02/18/2026","130.00","112.16","130.00","112.16","0.03K","8.33%"
"02/16/2026","120.00","120.00","120.00","120.00","0.03K","-0.83%"
"02/11/2026","121.00","120.00","121.00","121.00","","0.00%"
"02/09/2026","121.00","120.00","121.00","121.00","","0.00%"
"02/04/2026","121.00","120.00","138.00","117.02","0.20K","-10.37%"
"02/02/2026","135.00","145.00","145.00","135.00","0.04K","0.00%"
"01/28/2026","135.00","130.00","150.00","115.00","0.16K","18.42%"
"01/26/2026","114.00","114.00","114.00","105.02","0.01K","0.65%"
"01/21/2026","113.26","112.00","113.50","112.00","0.02K","8.36%"
"01/19/2026","104.52","129.03","104.52","104.52","","0.00%"
"01/14/2026","104.52","129.03","132.00","104.52","0.24K","-18.34%"
"01/12/2026","128.00","128.60","134.99","128.00","0.04K","-0.39%"
"01/05/2026","128.50","148.00","148.00","127.11","0.04K","-14.33%"
