"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","23.51","23.17","23.19","23.02","3.82K","0.00%"
"06/23/2026","23.51","23.70","23.71","23.20","5.93K","0.00%"
"06/22/2026","23.51","24.29","24.29","23.30","34.10K","-2.41%"
"06/21/2026","24.09","24.60","24.60","24.01","32.51K","-0.66%"
"06/17/2026","24.25","24.42","24.68","24.20","38.44K","-0.37%"
"06/16/2026","24.34","24.51","24.97","24.30","59.50K","-2.17%"
"06/15/2026","24.88","25.01","25.01","24.39","27.39K","-0.44%"
"06/14/2026","24.99","24.98","25.25","24.62","25.57K","-0.08%"
"06/11/2026","25.01","25.00","25.00","24.32","8.55K","0.00%"
"06/10/2026","25.01","25.00","25.30","24.41","26.26K","0.00%"
"06/09/2026","25.01","25.29","25.29","24.99","19.11K","0.08%"
"06/08/2026","24.99","25.04","25.28","24.66","57.20K","-0.24%"
"06/07/2026","25.05","25.02","25.10","25.02","12.22K","-1.18%"
"06/04/2026","25.35","25.07","25.66","25.00","24.88K","0.96%"
"06/03/2026","25.11","25.32","25.32","25.00","79.14K","-0.83%"
"06/02/2026","25.32","25.46","25.46","24.87","53.64K","0.32%"
"06/01/2026","25.24","25.27","25.30","24.91","48.06K","-0.12%"
"05/25/2026","25.27","25.01","25.50","24.80","84.71K","0.32%"
"05/24/2026","25.19","25.25","25.40","24.12","55.92K","1.37%"
"05/21/2026","24.85","24.96","25.29","24.40","105.74K","-0.04%"
"05/20/2026","24.86","24.10","26.40","24.10","413.63K","2.01%"
"05/19/2026","24.37","24.50","24.50","24.10","17.92K","-0.85%"
"05/18/2026","24.58","25.20","25.20","24.50","51.41K","-1.21%"
"05/17/2026","24.88","24.89","25.00","24.40","120.56K","2.09%"
"05/14/2026","24.37","24.80","24.88","24.02","79.76K","-1.06%"
"05/13/2026","24.63","24.50","25.00","24.13","58.08K","1.44%"
"05/12/2026","24.28","24.52","25.00","24.10","67.97K","-1.18%"
"05/11/2026","24.57","24.15","25.00","23.13","107.15K","0.49%"
"05/10/2026","24.45","24.51","24.74","24.15","72.48K","-0.24%"
"05/06/2026","24.51","25.30","25.33","24.45","94.01K","-1.68%"
"05/05/2026","24.93","25.07","25.38","24.55","101.33K","-0.52%"
"05/04/2026","25.06","26.00","26.49","25.06","379.90K","-3.54%"
"05/03/2026","25.98","25.03","26.00","24.26","365.25K","3.80%"
"04/30/2026","25.03","25.49","25.50","24.75","93.26K","-0.67%"
"04/29/2026","25.20","26.10","26.80","25.11","212.20K","-2.06%"
"04/28/2026","25.73","24.90","26.40","24.45","502.86K","5.28%"
