"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","66.69","67.52","68.13","66.51","72.65K","-0.97%"
"06/23/2026","67.34","70.76","70.76","67.32","68.39K","-2.67%"
"06/22/2026","69.19","70.57","71.40","69.00","66.57K","-1.86%"
"06/21/2026","70.50","69.15","71.79","69.15","119.47K","2.23%"
"06/17/2026","68.96","68.20","69.40","68.00","69.49K","1.31%"
"06/16/2026","68.07","68.00","69.00","68.00","43.31K","0.52%"
"06/15/2026","67.72","68.00","68.75","67.51","29.86K","-0.06%"
"06/14/2026","67.76","67.73","69.43","67.50","31.40K","0.55%"
"06/11/2026","67.39","67.00","68.65","65.03","53.83K","-0.49%"
"06/10/2026","67.72","69.50","69.99","67.00","47.27K","-2.56%"
"06/09/2026","69.50","69.97","70.34","69.00","89.59K","1.56%"
"06/08/2026","68.43","68.02","68.99","68.02","15.10K","-0.22%"
"06/07/2026","68.58","69.00","69.59","67.53","75.65K","-0.65%"
"06/04/2026","69.03","69.20","69.97","68.90","56.54K","-0.14%"
"06/03/2026","69.13","70.29","70.50","69.10","47.26K","-1.10%"
"06/02/2026","69.90","70.46","70.80","69.77","39.76K","0.07%"
"06/01/2026","69.85","69.99","70.98","68.80","68.37K","1.73%"
"05/25/2026","68.66","69.21","69.99","68.51","42.40K","-0.64%"
"05/24/2026","69.10","69.57","71.99","68.20","66.25K","0.93%"
"05/21/2026","68.46","69.07","69.93","67.56","49.74K","-0.87%"
"05/20/2026","69.06","70.02","71.50","69.00","154.17K","-1.23%"
"05/19/2026","69.92","69.35","72.00","69.35","54.79K","1.25%"
"05/18/2026","69.06","70.64","70.64","69.01","95.13K","-1.68%"
"05/17/2026","70.24","71.61","71.90","70.21","92.84K","-1.78%"
"05/14/2026","71.51","72.26","72.50","71.20","130.87K","-0.54%"
"05/13/2026","71.90","72.70","73.00","71.66","118.45K","0.43%"
"05/12/2026","71.59","71.90","72.59","71.36","152.69K","0.34%"
"05/11/2026","71.35","72.50","72.84","71.14","273.25K","-0.40%"
"05/10/2026","71.64","71.70","73.95","71.00","749.48K","2.17%"
"05/06/2026","70.12","73.00","76.00","70.00","686.63K","-3.30%"
"05/05/2026","72.51","72.80","73.29","71.00","100.75K","-0.64%"
"05/04/2026","72.98","75.10","75.70","72.72","179.57K","-2.69%"
"05/03/2026","75.00","77.00","80.00","75.00","243.24K","-2.01%"
"04/30/2026","76.54","72.86","76.88","71.91","200.50K","5.07%"
"04/29/2026","72.85","72.50","74.69","71.11","264.68K","4.47%"
"04/28/2026","69.73","66.84","71.48","66.83","214.18K","4.40%"
"04/27/2026","66.79","67.44","67.99","66.26","22.95K","-0.09%"
"04/26/2026","66.85","65.70","68.00","65.07","80.98K","2.77%"
"04/23/2026","65.05","65.40","65.70","65.00","12.74K","-0.38%"
"04/22/2026","65.30","65.00","66.50","64.65","38.60K","1.30%"
"04/21/2026","64.46","65.00","65.98","64.15","26.59K","0.40%"
"04/20/2026","64.20","65.00","65.20","64.01","28.33K","-1.14%"
"04/19/2026","64.94","65.30","65.87","64.66","29.05K","0.03%"
"04/16/2026","64.92","66.90","66.90","64.55","25.41K","-1.61%"
"04/15/2026","65.98","65.01","67.30","65.00","68.32K","1.65%"
"04/14/2026","64.91","64.84","66.80","64.61","36.05K","0.42%"
"04/12/2026","64.64","66.01","64.64","64.64","34.86K","0.00%"
"04/09/2026","64.64","66.20","67.19","64.50","34.86K","-2.08%"
"04/08/2026","66.01","63.67","69.98","63.20","318.52K","4.99%"
"04/07/2026","62.87","63.50","64.69","62.61","34.92K","-1.29%"
"04/06/2026","63.69","64.80","64.80","63.17","35.54K","-0.52%"
"04/05/2026","64.02","62.02","64.75","62.02","61.73K","3.14%"
"04/02/2026","62.07","62.62","63.00","62.00","24.35K","-0.45%"
"04/01/2026","62.35","63.00","64.20","62.17","32.14K","-0.83%"
"03/31/2026","62.87","64.65","64.88","62.57","71.50K","0.14%"
"03/30/2026","62.78","65.66","65.66","62.21","16.85K","-2.14%"
"03/29/2026","64.15","66.90","66.90","64.00","45.82K","-1.41%"
"03/26/2026","65.07","66.30","68.00","65.00","105.83K","-1.86%"
