"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","0.104","0.104","0.104","0.103","14.62K","0.00%"
"06/23/2026","0.104","0.103","0.104","0.103","80.87K","0.97%"
"06/22/2026","0.103","0.103","0.103","0.102","62.27K","0.98%"
"06/21/2026","0.102","0.103","0.103","0.102","64.80K","-0.97%"
"06/17/2026","0.103","0.103","0.103","0.103","53.92K","0.00%"
"06/16/2026","0.103","0.103","0.103","0.102","6.50K","0.00%"
"06/15/2026","0.103","0.103","0.103","0.102","326.45K","0.00%"
"06/14/2026","0.103","0.103","0.103","0.103","6.62K","0.00%"
"06/11/2026","0.103","0.102","0.103","0.102","62.26K","0.00%"
"06/10/2026","0.103","0.104","0.104","0.103","392.56K","-0.96%"
"06/09/2026","0.104","0.103","0.104","0.103","85.00K","0.97%"
"06/08/2026","0.103","0.103","0.104","0.103","311.10K","0.00%"
"06/07/2026","0.103","0.104","0.104","0.103","342.00K","-0.96%"
"06/04/2026","0.104","0.105","0.106","0.103","1.61M","-0.95%"
"06/03/2026","0.105","0.105","0.107","0.105","263.90K","0.00%"
"06/02/2026","0.105","0.103","0.105","0.103","249.27K","1.94%"
"06/01/2026","0.103","0.102","0.104","0.102","23.15K","0.00%"
"05/25/2026","0.103","0.104","0.104","0.103","270.17K","-0.96%"
"05/24/2026","0.104","0.105","0.105","0.104","1.55M","0.97%"
"05/21/2026","0.103","0.105","0.106","0.103","441.01K","-1.90%"
"05/20/2026","0.105","0.105","0.106","0.105","253.21K","0.00%"
"05/19/2026","0.105","0.106","0.106","0.105","57.43K","0.00%"
"05/18/2026","0.105","0.106","0.106","0.105","255.23K","-0.94%"
"05/17/2026","0.106","0.107","0.107","0.106","69.52K","-0.93%"
"05/14/2026","0.107","0.106","0.106","0.106","50.31K","0.00%"
"05/13/2026","0.107","0.107","0.107","0.106","222.52K","0.00%"
"05/12/2026","0.107","0.105","0.107","0.105","344.54K","1.90%"
"05/11/2026","0.105","0.105","0.106","0.103","400.17K","0.96%"
"05/10/2026","0.104","0.104","0.104","0.104","18.00K","0.00%"
"05/06/2026","0.104","0.105","0.105","0.102","276.06K","-0.95%"
"05/05/2026","0.105","0.104","0.105","0.104","161.80K","0.00%"
"05/04/2026","0.105","0.103","0.105","0.102","251.08K","0.96%"
"05/03/2026","0.104","0.103","0.105","0.101","381.28K","0.97%"
"04/30/2026","0.103","0.104","0.104","0.100","1.55M","-0.96%"
"04/29/2026","0.104","0.105","0.105","0.104","25.69K","0.00%"
"04/28/2026","0.104","0.103","0.104","0.103","618.74K","0.97%"
"04/27/2026","0.103","0.103","0.103","0.103","122.68K","0.00%"
"04/26/2026","0.103","0.105","0.106","0.103","657.21K","-1.90%"
"04/23/2026","0.105","0.105","0.106","0.105","145.14K","-0.94%"
"04/22/2026","0.106","0.105","0.106","0.105","215.06K","0.95%"
