"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","13.97","14.39","14.60","13.80","1.03M","-2.58%"
"06/23/2026","14.34","13.85","14.79","12.79","6.89M","7.58%"
"06/22/2026","13.33","13.91","13.91","12.70","2.79M","-4.79%"
"06/21/2026","14.00","13.25","15.09","13.25","10.60M","9.03%"
"06/17/2026","12.84","12.35","14.44","12.33","5.02M","4.65%"
"06/16/2026","12.27","10.28","12.27","10.26","5.07M","19.94%"
"06/15/2026","10.23","10.01","10.29","9.95","1.20M","3.33%"
"06/14/2026","9.90","9.79","9.98","9.61","1.24M","3.12%"
"06/11/2026","9.60","9.70","9.70","9.41","464.97K","-1.03%"
"06/10/2026","9.70","9.70","9.82","9.56","539.12K","0.31%"
"06/09/2026","9.67","9.61","9.71","9.53","253.52K","0.73%"
"06/08/2026","9.60","9.63","9.68","9.50","163.63K","-0.41%"
"06/07/2026","9.64","9.70","9.72","9.62","305.29K","0.31%"
"06/04/2026","9.61","9.71","9.80","9.35","189.17K","-0.93%"
"06/03/2026","9.70","9.68","9.89","9.66","343.29K","0.21%"
"06/02/2026","9.68","9.65","9.80","9.62","213.68K","0.52%"
"06/01/2026","9.63","9.52","9.66","9.51","368.12K","1.69%"
"05/25/2026","9.47","9.60","9.79","9.45","493.87K","-1.97%"
"05/24/2026","9.66","9.55","9.73","9.54","208.77K","0.10%"
"05/21/2026","9.65","9.85","9.85","9.50","254.07K","-0.52%"
"05/20/2026","9.70","9.78","9.80","9.68","271.23K","-0.41%"
"05/19/2026","9.74","9.80","9.98","9.68","207.87K","-0.61%"
"05/18/2026","9.80","9.92","9.95","9.71","307.38K","-1.21%"
"05/17/2026","9.92","10.05","10.15","9.88","924.53K","-0.80%"
"05/14/2026","10.00","10.27","10.28","9.99","1.10M","-1.57%"
"05/13/2026","10.16","10.30","10.58","10.01","2.56M","0.59%"
"05/12/2026","10.10","10.09","10.42","9.98","4.44M","1.61%"
"05/11/2026","9.94","9.50","10.27","9.44","3.92M","5.63%"
"05/10/2026","9.41","9.39","9.50","9.34","226.54K","0.21%"
"05/06/2026","9.39","9.38","9.45","9.35","217.71K","-0.11%"
