"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","5.29","5.42","5.46","5.29","3.07M","-1.55%"
"06/23/2026","5.37","5.54","5.81","5.33","14.92M","-2.27%"
"06/22/2026","5.50","5.35","5.63","5.19","9.80M","3.61%"
"06/21/2026","5.31","5.25","5.32","5.17","2.42M","2.58%"
"06/17/2026","5.17","5.24","5.26","5.08","3.49M","-0.96%"
"06/16/2026","5.22","5.37","5.39","5.22","2.25M","-2.49%"
"06/15/2026","5.36","5.48","5.61","5.33","4.58M","-2.13%"
"06/14/2026","5.47","5.34","5.52","5.32","3.98M","4.62%"
"06/11/2026","5.23","5.22","5.37","5.08","3.29M","-2.33%"
"06/10/2026","5.36","5.53","5.62","5.21","7.55M","-2.72%"
"06/09/2026","5.51","5.25","5.69","5.25","17.51M","5.76%"
"06/08/2026","5.21","5.08","5.28","4.94","8.28M","1.63%"
"06/07/2026","5.12","5.16","5.42","5.00","15.69M","0.49%"
"06/04/2026","5.10","4.44","5.17","4.42","27.34M","15.25%"
"06/03/2026","4.42","4.52","4.56","4.41","3.87M","-1.67%"
"06/02/2026","4.50","4.57","4.57","4.47","1.43M","-1.28%"
"06/01/2026","4.56","4.42","4.56","4.42","975.50K","3.21%"
"05/25/2026","4.42","4.45","4.46","4.35","654.55K","0.00%"
"05/24/2026","4.42","4.35","4.43","4.29","1.39M","2.91%"
"05/21/2026","4.29","4.37","4.39","4.27","997.96K","-1.90%"
"05/20/2026","4.37","4.48","4.48","4.34","1.21M","-1.69%"
"05/19/2026","4.45","4.37","4.47","4.37","1.66M","2.30%"
"05/18/2026","4.35","4.57","4.57","4.35","3.37M","-4.92%"
"05/17/2026","4.57","4.59","4.62","4.52","1.71M","-0.18%"
"05/14/2026","4.58","4.63","4.63","4.57","1.77M","-0.90%"
"05/13/2026","4.62","4.61","4.65","4.58","1.75M","0.91%"
"05/12/2026","4.58","4.58","4.62","4.54","2.46M","0.00%"
"05/11/2026","4.58","4.62","4.62","4.54","2.50M","-0.90%"
"05/10/2026","4.62","4.65","4.71","4.58","2.16M","-0.54%"
"05/06/2026","4.65","4.60","4.65","4.57","1.87M","1.45%"
"05/05/2026","4.58","4.66","4.67","4.53","3.29M","-1.79%"
"05/04/2026","4.67","4.75","4.82","4.58","6.53M","-0.53%"
"05/03/2026","4.69","4.58","4.69","4.54","4.07M","3.49%"
"04/30/2026","4.53","4.62","4.66","4.42","4.91M","-0.91%"
"04/29/2026","4.57","4.48","4.66","4.42","10.18M","3.98%"
"04/28/2026","4.40","4.33","4.46","4.32","3.28M","1.54%"
"04/27/2026","4.33","4.37","4.38","4.33","1.28M","0.00%"
"04/26/2026","4.33","4.33","4.42","4.32","3.10M","0.39%"
"04/23/2026","4.32","4.32","4.37","4.30","2.97M","0.58%"
"04/22/2026","4.29","4.29","4.34","4.25","4.57M","0.19%"
"04/21/2026","4.28","4.18","4.32","4.17","4.10M","2.80%"
"04/20/2026","4.17","4.19","4.22","4.12","2.49M","-0.60%"
"04/19/2026","4.19","4.25","4.25","4.17","2.15M","0.00%"
"04/16/2026","4.19","4.21","4.24","4.17","3.20M","0.40%"
"04/15/2026","4.17","4.23","4.30","4.14","5.79M","-0.99%"
"04/14/2026","4.22","4.17","4.25","4.12","5.90M","-14.81%"
"04/12/2026","4.95","4.80","4.95","4.95","5.29M","20.00%"
"04/09/2026","4.12","4.02","4.16","4.01","6.35M","3.13%"
"04/08/2026","4.00","4.00","4.03","3.95","1.41M","1.48%"
"04/07/2026","3.94","3.99","3.99","3.90","1.71M","-0.42%"
"04/06/2026","3.96","4.00","4.01","3.95","1.87M","-1.04%"
"04/05/2026","4.00","4.02","4.06","4.00","1.45M","0.00%"
"04/02/2026","4.00","3.99","4.05","3.95","2.17M","0.42%"
"04/01/2026","3.98","3.92","4.03","3.89","3.37M","2.58%"
"03/31/2026","3.88","3.96","4.00","3.83","5.62M","-1.48%"
"03/30/2026","3.94","4.10","4.12","3.88","3.15M","-3.47%"
"03/29/2026","4.08","4.07","4.19","3.96","8.59M","1.03%"
"03/26/2026","4.04","3.90","4.20","3.85","12.86M","4.98%"
"03/25/2026","3.85","3.68","3.91","3.67","6.26M","4.76%"
"03/24/2026","3.67","3.70","3.72","3.67","1.76M","-0.45%"
"03/18/2026","3.69","3.68","3.72","3.67","881.06K","0.45%"
"03/17/2026","3.67","3.70","3.72","3.66","699.18K","-0.45%"
"03/16/2026","3.69","3.75","3.75","3.66","669.30K","-0.23%"
"03/15/2026","3.70","3.75","3.77","3.68","728.11K","-1.33%"
"03/12/2026","3.75","3.78","3.81","3.74","627.50K","-0.66%"
"03/11/2026","3.77","3.74","3.80","3.72","990.00K","1.12%"
"03/10/2026","3.73","3.72","3.75","3.68","725.34K","0.90%"
"03/09/2026","3.70","3.74","3.74","3.69","710.77K","0.23%"
"03/08/2026","3.69","3.74","3.75","3.67","1.02M","-0.45%"
"03/05/2026","3.71","3.67","3.75","3.67","739.14K","1.14%"
"03/04/2026","3.67","3.68","3.69","3.62","641.38K","-0.23%"
"03/03/2026","3.67","3.66","3.68","3.62","1.54M","0.46%"
"03/02/2026","3.66","3.67","3.74","3.63","902.21K","0.00%"
"03/01/2026","3.66","3.52","3.72","3.48","1.24M","-4.98%"
"02/26/2026","3.85","3.89","3.93","3.78","1.27M","-0.43%"
"02/25/2026","3.87","4.07","4.08","3.85","2.63M","-3.93%"
"02/24/2026","4.02","4.18","4.21","4.02","2.57M","-3.40%"
"02/23/2026","4.17","4.11","4.21","4.08","3.02M","2.04%"
"02/22/2026","4.08","4.17","4.21","4.05","2.69M","-2.58%"
"02/19/2026","4.19","4.31","4.31","4.18","2.39M","-1.95%"
"02/18/2026","4.27","4.27","4.33","4.25","3.86M","0.79%"
"02/17/2026","4.24","4.30","4.31","4.22","5.47M","-0.59%"
"02/16/2026","4.27","4.37","4.41","4.23","7.74M","-1.73%"
"02/15/2026","4.34","4.28","4.51","4.24","17.15M","2.36%"
"02/12/2026","4.24","4.27","4.30","4.24","2.00M","-0.78%"
"02/11/2026","4.27","4.42","4.46","4.27","5.37M","-2.10%"
"02/10/2026","4.37","4.32","4.48","4.23","16.55M","3.97%"
"02/09/2026","4.20","4.16","4.22","4.12","3.48M","2.86%"
"02/08/2026","4.08","4.23","4.23","4.08","3.87M","-2.00%"
"02/05/2026","4.17","4.24","4.24","4.15","4.39M","-0.79%"
"02/04/2026","4.20","4.27","4.28","4.19","4.24M","-1.18%"
"02/03/2026","4.25","4.17","4.30","4.14","8.47M","2.41%"
"02/02/2026","4.15","4.17","4.19","4.12","1.60M","-0.40%"
"02/01/2026","4.17","4.17","4.23","4.08","2.28M","-0.20%"
"01/28/2026","4.17","4.30","4.33","4.09","4.37M","-2.53%"
"01/27/2026","4.28","4.22","4.29","4.12","2.51M","2.59%"
"01/26/2026","4.17","4.50","4.53","4.17","2.35M","-6.18%"
"01/25/2026","4.45","4.62","4.64","4.43","802.67K","-3.09%"
"01/22/2026","4.59","4.67","4.70","4.58","764.00K","-1.78%"
"01/21/2026","4.67","4.72","4.75","4.63","289.10K","-1.06%"
"01/20/2026","4.72","4.66","4.75","4.55","1.29M","2.53%"
"01/19/2026","4.61","4.60","4.67","4.56","520.19K","0.73%"
"01/18/2026","4.57","4.51","4.61","4.50","325.15K","2.04%"
"01/15/2026","4.48","4.52","4.58","4.44","667.36K","-0.92%"
"01/14/2026","4.52","4.77","4.80","4.43","1.59M","-5.40%"
"01/13/2026","4.78","4.93","4.94","4.76","1.28M","-3.04%"
"01/12/2026","4.93","5.04","5.09","4.92","1.15M","-1.82%"
"01/11/2026","5.02","4.92","5.05","4.92","1.01M","2.03%"
"01/08/2026","4.92","4.97","4.97","4.89","847.98K","0.00%"
"01/06/2026","4.92","4.94","5.00","4.92","723.57K","-1.01%"
"01/05/2026","4.97","5.07","5.07","4.93","1.11M","-1.81%"
"01/04/2026","5.07","5.12","5.15","5.02","2.77M","-0.65%"
