"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","133.53","133.98","137.00","131.50","58.49K","2.49%"
"06/23/2026","130.29","138.15","138.94","130.11","53.84K","-5.51%"
"06/22/2026","137.89","138.55","139.29","135.04","33.29K","-0.31%"
"06/21/2026","138.32","139.15","139.93","138.00","44.39K","-0.49%"
"06/17/2026","139.00","143.20","144.77","138.60","76.71K","-1.99%"
"06/16/2026","141.82","144.95","147.70","140.01","94.80K","-2.86%"
"06/15/2026","146.00","149.80","151.48","145.90","139.68K","-0.74%"
"06/14/2026","147.09","143.90","149.50","143.00","121.67K","4.79%"
"06/11/2026","140.36","138.50","143.97","137.00","84.77K","1.31%"
"06/10/2026","138.55","143.75","144.95","138.40","38.08K","-3.71%"
"06/09/2026","143.89","140.82","145.90","140.82","49.82K","2.25%"
"06/08/2026","140.73","143.06","144.99","140.40","59.96K","-1.59%"
"06/07/2026","143.00","140.00","147.90","139.22","118.04K","2.14%"
"06/04/2026","140.00","137.01","142.00","136.40","78.73K","2.19%"
"06/03/2026","137.00","139.52","141.20","132.25","81.69K","-1.86%"
"06/02/2026","139.59","136.36","141.85","136.36","73.50K","1.85%"
"06/01/2026","137.06","132.51","139.88","132.51","81.48K","4.02%"
"05/25/2026","131.76","131.86","135.97","131.58","62.27K","0.17%"
"05/24/2026","131.54","135.00","136.90","130.40","54.15K","-1.84%"
"05/21/2026","134.01","139.02","141.49","132.25","71.20K","-3.52%"
"05/20/2026","138.90","141.75","146.70","138.00","244.64K","8.92%"
"05/19/2026","127.52","143.59","148.00","127.01","137.15K","-10.28%"
"05/18/2026","142.13","145.03","149.00","140.16","308.56K","1.11%"
"05/17/2026","140.57","145.00","153.00","137.60","535.60K","-0.66%"
"05/14/2026","141.50","132.00","142.00","131.01","411.34K","7.67%"
"05/13/2026","131.42","130.94","132.80","129.26","84.05K","2.11%"
"05/12/2026","128.71","131.90","131.90","127.56","65.75K","-1.39%"
"05/11/2026","130.53","133.90","136.00","130.17","106.13K","-1.86%"
"05/10/2026","133.00","129.98","134.97","128.01","229.81K","3.91%"
"05/06/2026","128.00","136.02","136.80","126.02","387.01K","-6.57%"
"05/05/2026","137.00","117.99","139.89","117.50","872.80K","16.87%"
"05/04/2026","117.22","119.00","119.99","117.01","93.90K","-0.91%"
"05/03/2026","118.30","114.02","127.00","114.02","224.76K","5.44%"
"04/30/2026","112.20","110.00","114.15","109.00","153.18K","2.72%"
"04/29/2026","109.23","109.49","110.45","108.07","32.45K","1.24%"
"04/28/2026","107.89","111.48","111.48","107.08","41.55K","-1.18%"
"04/27/2026","109.18","108.15","113.89","108.15","127.54K","1.49%"
"04/26/2026","107.58","107.25","109.90","105.54","43.68K","0.51%"
"04/23/2026","107.03","108.55","109.20","106.50","30.05K","-1.11%"
"04/22/2026","108.23","107.00","109.80","106.60","67.51K","1.82%"
"04/21/2026","106.30","106.20","107.69","105.51","28.95K","0.31%"
"04/20/2026","105.97","108.65","109.00","105.00","49.08K","-2.47%"
"04/19/2026","108.65","104.50","111.68","104.02","140.17K","5.19%"
"04/16/2026","103.29","102.08","105.45","102.08","39.27K","1.20%"
"04/15/2026","102.07","101.00","103.00","100.77","30.44K","0.76%"
"04/14/2026","101.30","100.50","101.90","100.00","20.96K","0.91%"
"04/12/2026","100.39","100.01","100.39","100.39","15.61K","0.00%"
"04/09/2026","100.39","101.00","102.00","100.06","15.61K","0.38%"
"04/08/2026","100.01","102.51","103.20","100.00","27.38K","-1.60%"
"04/07/2026","101.64","101.69","104.55","100.50","47.90K","0.22%"
"04/06/2026","101.42","99.99","103.50","99.33","48.27K","2.08%"
"04/05/2026","99.35","97.70","100.33","97.00","52.10K","2.35%"
"04/02/2026","97.07","97.90","98.98","96.65","16.90K","-0.84%"
"04/01/2026","97.89","96.50","99.70","96.00","32.68K","1.46%"
"03/31/2026","96.48","97.00","98.00","95.60","18.13K","-0.57%"
"03/30/2026","97.03","99.48","99.60","96.55","22.51K","-2.38%"
"03/29/2026","99.40","102.12","103.59","98.00","29.64K","-2.58%"
"03/26/2026","102.03","102.80","106.77","102.00","100.96K","-0.28%"
