"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","2.740","2.780","2.780","2.740","116.18K","-0.72%"
"06/23/2026","2.760","2.780","2.800","2.750","218.31K","-0.36%"
"06/22/2026","2.770","2.790","2.800","2.750","99.26K","0.00%"
"06/21/2026","2.770","2.760","2.800","2.740","36.90K","0.00%"
"06/17/2026","2.770","2.810","2.810","2.750","141.74K","-1.42%"
"06/16/2026","2.810","2.810","2.820","2.780","135.16K","2.18%"
"06/15/2026","2.750","2.730","2.830","2.730","55.68K","0.00%"
"06/14/2026","2.750","2.720","2.820","2.710","55.13K","0.00%"
"06/11/2026","2.750","2.770","2.770","2.710","183.23K","-1.43%"
"06/10/2026","2.790","2.800","2.830","2.770","128.26K","-0.36%"
"06/09/2026","2.800","2.840","2.840","2.780","47.28K","0.00%"
"06/08/2026","2.800","2.820","2.840","2.770","116.51K","-1.06%"
"06/07/2026","2.830","2.820","2.840","2.750","492.25K","1.80%"
"06/04/2026","2.780","2.840","2.840","2.680","305.94K","-1.42%"
"06/03/2026","2.820","2.750","2.840","2.740","443.86K","3.68%"
"06/02/2026","2.720","2.710","2.740","2.700","176.04K","-0.37%"
"06/01/2026","2.730","2.730","2.740","2.690","52.16K","0.00%"
"05/25/2026","2.730","2.680","2.740","2.650","91.12K","0.00%"
"05/24/2026","2.730","2.750","2.770","2.670","81.98K","0.00%"
"05/21/2026","2.730","2.700","2.770","2.680","162.15K","-0.73%"
"05/20/2026","2.750","2.750","2.780","2.710","106.01K","0.00%"
"05/19/2026","2.750","2.790","2.800","2.750","42.40K","0.00%"
"05/18/2026","2.750","2.800","2.830","2.710","254.35K","-1.79%"
"05/17/2026","2.800","2.830","2.870","2.780","194.61K","-1.06%"
"05/14/2026","2.830","2.830","2.870","2.760","414.93K","1.43%"
"05/13/2026","2.790","2.830","2.840","2.750","226.51K","-1.06%"
"05/12/2026","2.820","2.760","2.840","2.710","362.70K","1.81%"
"05/11/2026","2.770","2.720","2.800","2.710","233.03K","2.21%"
"05/10/2026","2.710","2.780","2.850","2.690","898.36K","-2.52%"
"05/06/2026","2.780","2.830","2.830","2.750","195.21K","0.00%"
"05/05/2026","2.780","2.860","2.900","2.760","443.27K","-1.42%"
"05/04/2026","2.820","2.890","3.030","2.790","1.13M","-2.42%"
"05/03/2026","2.890","2.890","2.890","2.890","350.93K","-4.93%"
"04/30/2026","3.040","3.190","3.190","3.040","594.08K","-5.00%"
"04/29/2026","3.200","3.080","3.220","3.060","1.63M","3.90%"
"04/28/2026","3.080","2.940","3.080","2.860","827.17K","4.76%"
"04/27/2026","2.940","2.830","2.940","2.760","1.02M","5.00%"
"04/26/2026","2.800","2.680","2.830","2.670","459.20K","2.94%"
"04/23/2026","2.720","2.750","2.750","2.630","486.99K","-0.73%"
"04/22/2026","2.740","2.690","2.750","2.650","401.62K","1.86%"
"04/21/2026","2.690","2.550","2.690","2.530","1.19M","4.67%"
"04/20/2026","2.570","2.510","2.610","2.490","684.73K","0.78%"
"04/19/2026","2.550","2.500","2.560","2.500","494.24K","2.00%"
"04/16/2026","2.500","2.470","2.520","2.460","767.07K","0.81%"
"04/15/2026","2.480","2.460","2.550","2.420","254.57K","0.81%"
"04/14/2026","2.460","2.350","2.460","2.350","1.15M","4.68%"
"04/12/2026","2.350","2.350","2.350","2.350","95.08K","0.00%"
"04/09/2026","2.350","2.330","2.350","2.310","95.08K","0.00%"
"04/08/2026","2.350","2.330","2.370","2.330","190.80K","0.00%"
"04/07/2026","2.350","2.340","2.370","2.330","130.82K","0.43%"
"04/06/2026","2.340","2.320","2.380","2.320","287.15K","-0.85%"
"04/05/2026","2.360","2.360","2.400","2.320","187.12K","-0.42%"
"04/02/2026","2.370","2.420","2.420","2.310","84.52K","0.00%"
"04/01/2026","2.370","2.330","2.370","2.260","292.87K","4.87%"
"03/31/2026","2.260","2.250","2.320","2.220","293.77K","-2.59%"
"03/30/2026","2.320","2.350","2.400","2.250","313.53K","1.31%"
"03/29/2026","2.290","2.340","2.350","2.270","206.68K","-3.38%"
"03/26/2026","2.370","2.390","2.450","2.330","318.92K","-0.84%"
"03/25/2026","2.390","2.270","2.390","2.250","738.26K","4.82%"
"03/24/2026","2.280","2.180","2.280","2.180","687.31K","4.59%"
"03/18/2026","2.180","2.170","2.200","2.160","164.16K","0.93%"
"03/17/2026","2.160","2.170","2.180","2.160","221.56K","-1.37%"
"03/16/2026","2.190","2.200","2.200","2.170","63.01K","0.00%"
"03/15/2026","2.190","2.210","2.210","2.180","130.88K","0.00%"
"03/12/2026","2.190","2.210","2.220","2.180","54.60K","0.00%"
"03/11/2026","2.190","2.210","2.210","2.180","172.39K","0.00%"
"03/10/2026","2.190","2.240","2.240","2.180","384.42K","-1.35%"
"03/09/2026","2.220","2.240","2.240","2.200","108.02K","0.00%"
"03/08/2026","2.220","2.200","2.250","2.190","128.71K","0.00%"
"03/05/2026","2.220","2.200","2.250","2.200","131.38K","0.00%"
"03/04/2026","2.220","2.240","2.240","2.180","49.06K","0.00%"
"03/03/2026","2.220","2.200","2.240","2.180","36.63K","0.00%"
