"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","2.100","2.100","2.110","2.060","1.73M","0.00%"
"06/23/2026","2.100","2.150","2.180","2.090","2.74M","-2.33%"
"06/22/2026","2.150","2.220","2.230","2.140","3.15M","-2.71%"
"06/21/2026","2.210","2.210","2.250","2.190","5.87M","0.91%"
"06/17/2026","2.190","2.210","2.250","2.170","3.50M","-0.90%"
"06/16/2026","2.210","2.190","2.250","2.170","8.49M","1.84%"
"06/15/2026","2.170","2.180","2.230","2.150","8.80M","0.93%"
"06/14/2026","2.150","2.090","2.150","2.060","5.28M","5.91%"
"06/11/2026","2.030","2.070","2.080","2.010","4.07M","-2.40%"
"06/10/2026","2.080","2.190","2.190","2.080","6.57M","-4.59%"
"06/09/2026","2.180","2.070","2.180","2.060","7.13M","6.34%"
"06/08/2026","2.050","2.080","2.110","2.010","3.52M","-1.44%"
"06/07/2026","2.080","2.110","2.140","2.080","4.20M","-0.95%"
"06/04/2026","2.100","2.090","2.140","2.080","10.67M","3.96%"
"06/03/2026","2.020","1.990","2.080","1.990","8.99M","2.54%"
"06/02/2026","1.970","1.950","2.020","1.940","7.38M","2.07%"
"06/01/2026","1.930","1.940","1.940","1.920","1.58M","1.05%"
"05/25/2026","1.910","1.920","1.970","1.900","8.33M","0.00%"
"05/24/2026","1.910","1.920","1.930","1.900","2.86M","1.06%"
"05/21/2026","1.890","1.910","1.930","1.890","1.24M","-1.05%"
"05/20/2026","1.910","1.950","1.960","1.910","1.95M","-1.04%"
"05/19/2026","1.930","1.940","1.970","1.930","2.15M","-0.52%"
"05/18/2026","1.940","1.970","2.000","1.930","6.04M","-2.02%"
"05/17/2026","1.980","2.040","2.040","1.970","2.67M","-2.46%"
"05/14/2026","2.030","2.060","2.070","2.030","3.71M","-0.98%"
"05/13/2026","2.050","2.020","2.050","2.000","4.62M","1.99%"
"05/12/2026","2.010","1.970","2.050","1.970","14.40M","2.55%"
"05/11/2026","1.960","1.970","1.990","1.950","4.61M","0.51%"
"05/10/2026","1.950","1.940","1.980","1.940","3.10M","1.04%"
"05/06/2026","1.930","1.970","2.000","1.920","6.36M","-1.03%"
"05/05/2026","1.950","1.960","1.980","1.930","2.56M","0.00%"
"05/04/2026","1.950","2.000","2.010","1.940","3.90M","-2.01%"
"05/03/2026","1.990","1.930","2.020","1.910","15.28M","3.11%"
"04/30/2026","1.930","1.940","1.950","1.910","5.26M","0.00%"
"04/29/2026","1.930","1.970","1.970","1.930","6.34M","-0.52%"
