"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","21.82","22.00","22.02","21.81","444.60K","-0.91%"
"06/23/2026","22.02","22.37","22.37","21.92","590.33K","-0.77%"
"06/22/2026","22.19","22.60","22.85","22.00","1.17M","-1.38%"
"06/21/2026","22.50","22.18","22.50","22.06","1.45M","1.95%"
"06/17/2026","22.07","22.09","22.35","22.00","1.20M","0.32%"
"06/16/2026","22.00","22.46","22.46","21.85","1.01M","-1.65%"
"06/15/2026","22.37","22.70","23.08","22.20","2.16M","-1.19%"
"06/14/2026","22.64","22.48","22.77","22.24","1.68M","2.44%"
"06/11/2026","22.10","21.78","22.13","21.50","2.64M","1.38%"
"06/10/2026","21.80","21.79","22.01","21.50","1.61M","0.00%"
"06/09/2026","21.80","21.74","21.80","21.51","636.19K","0.32%"
"06/08/2026","21.73","21.50","21.83","21.41","675.95K","0.79%"
"06/07/2026","21.56","21.50","21.84","21.42","458.70K","0.09%"
"06/04/2026","21.54","21.68","21.69","21.44","436.71K","-0.09%"
"06/03/2026","21.56","21.70","21.80","21.48","318.17K","-0.60%"
"06/02/2026","21.69","21.58","21.95","21.39","705.72K","0.98%"
"06/01/2026","21.48","21.59","21.70","21.41","477.61K","-0.19%"
"05/25/2026","21.52","21.80","21.81","21.43","523.59K","-1.01%"
"05/24/2026","21.74","21.47","21.99","21.30","792.87K","2.45%"
"05/21/2026","21.22","21.30","21.30","21.00","313.21K","0.95%"
"05/20/2026","21.02","21.56","21.56","21.02","542.38K","-1.55%"
"05/19/2026","21.35","21.65","21.79","21.13","728.10K","-0.79%"
"05/18/2026","21.52","21.87","21.89","21.52","467.32K","-1.42%"
"05/17/2026","21.83","22.20","22.20","21.80","775.08K","-1.44%"
"05/14/2026","22.15","22.40","22.41","22.00","1.15M","-0.23%"
"05/13/2026","22.20","22.74","22.80","22.20","1.08M","-2.29%"
"05/12/2026","22.72","22.54","22.78","22.30","1.39M","1.43%"
"05/11/2026","22.40","22.74","22.74","22.10","1.16M","-0.58%"
"05/10/2026","22.53","22.50","22.90","22.41","3.19M","0.40%"
"05/06/2026","22.44","21.97","22.44","21.80","3.06M","3.03%"
"05/05/2026","21.78","21.80","21.89","21.43","1.91M","-0.41%"
"05/04/2026","21.87","22.20","22.20","21.81","456.25K","-0.68%"
"05/03/2026","22.02","22.24","22.33","21.90","1.04M","-0.23%"
"04/30/2026","22.07","22.21","22.39","22.00","484.07K","-1.21%"
"04/29/2026","22.34","22.29","22.45","21.91","625.04K","0.68%"
"04/28/2026","22.19","22.45","22.46","21.83","1.67M","-0.05%"
"04/27/2026","22.20","22.84","22.98","22.13","2.56M","-1.20%"
"04/26/2026","22.47","21.36","22.62","21.16","3.82M","6.29%"
"04/23/2026","21.14","21.18","21.24","21.09","416.67K","0.05%"
"04/22/2026","21.13","21.22","21.24","21.03","483.73K","0.09%"
"04/21/2026","21.11","21.29","21.29","21.08","554.49K","-0.24%"
"04/20/2026","21.16","21.50","21.65","21.05","1.02M","-1.12%"
"04/19/2026","21.40","21.17","21.60","21.02","1.02M","2.00%"
"04/16/2026","20.98","20.95","21.20","20.90","1.52M","0.48%"
"04/15/2026","20.88","20.97","20.97","20.86","362.94K","0.10%"
"04/14/2026","20.86","20.89","20.90","20.75","402.78K","0.53%"
"04/12/2026","20.75","20.80","20.75","20.75","567.79K","0.00%"
"04/09/2026","20.75","20.97","20.97","20.73","567.79K","-0.24%"
"04/08/2026","20.80","20.96","20.96","20.50","444.96K","0.92%"
"04/07/2026","20.61","20.89","20.89","20.58","314.93K","3.00%"
"04/06/2026","20.01","20.97","20.97","20.01","2.97M","-3.94%"
"04/05/2026","20.83","20.99","20.99","20.80","207.12K","0.10%"
"04/02/2026","20.81","21.10","21.11","20.81","407.52K","-0.57%"
"04/01/2026","20.93","21.00","21.00","20.76","209.58K","0.58%"
"03/31/2026","20.81","21.10","21.15","20.65","196.81K","-0.05%"
"03/30/2026","20.82","21.13","21.14","20.65","262.23K","-0.86%"
"03/29/2026","21.00","21.28","21.29","20.98","286.21K","-0.71%"
"03/26/2026","21.15","21.38","21.38","20.99","472.35K","0.00%"
"03/25/2026","21.15","21.49","21.50","21.08","319.29K","-0.19%"
"03/24/2026","21.19","21.19","21.42","20.81","922.16K","-4.76%"
"03/18/2026","22.25","21.95","22.49","21.73","967.53K","1.83%"
"03/17/2026","21.85","21.54","21.88","21.48","720.43K","2.06%"
"03/16/2026","21.41","21.63","21.68","21.40","409.58K","-0.46%"
"03/15/2026","21.51","21.44","21.72","21.44","501.67K","0.51%"
"03/12/2026","21.40","21.46","21.55","21.33","737.72K","0.00%"
"03/11/2026","21.40","21.80","21.82","21.30","1.51M","-0.14%"
"03/10/2026","21.43","22.00","22.35","21.40","1.33M","-1.56%"
"03/09/2026","21.77","21.70","22.20","21.10","891.16K","1.21%"
"03/08/2026","21.51","22.00","22.50","21.43","775.18K","-1.78%"
"03/05/2026","21.90","21.80","22.20","21.59","1.20M","1.48%"
"03/04/2026","21.58","21.80","21.99","21.51","298.52K","-0.37%"
"03/03/2026","21.66","21.70","21.98","21.50","196.24K","-0.05%"
"03/02/2026","21.67","21.77","22.75","21.51","349.00K","-0.46%"
"03/01/2026","21.77","20.21","21.80","20.02","338.38K","-0.46%"
"02/26/2026","21.87","21.83","22.00","21.70","198.58K","0.18%"
"02/25/2026","21.83","22.37","22.49","21.65","412.82K","-2.41%"
"02/24/2026","22.37","22.60","22.60","22.35","203.74K","-0.89%"
"02/23/2026","22.57","22.55","22.79","22.41","179.13K","-0.09%"
"02/22/2026","22.59","22.95","23.00","22.51","254.45K","-1.57%"
"02/19/2026","22.95","23.25","23.30","22.80","386.17K","-1.12%"
"02/18/2026","23.21","23.05","23.39","23.00","710.79K","0.91%"
"02/17/2026","23.00","22.97","23.00","22.70","330.13K","0.39%"
"02/16/2026","22.91","23.00","23.06","22.85","403.80K","-0.22%"
"02/15/2026","22.96","22.92","23.10","22.90","349.91K","0.26%"
"02/12/2026","22.90","23.19","23.30","22.85","950.69K","-0.52%"
"02/11/2026","23.02","23.38","23.50","23.01","556.72K","-1.50%"
"02/10/2026","23.37","23.67","23.76","23.35","581.84K","-0.55%"
"02/09/2026","23.50","23.99","24.20","23.45","1.50M","-1.26%"
"02/08/2026","23.80","23.46","23.85","23.45","544.38K","1.49%"
"02/05/2026","23.45","23.60","23.60","23.30","385.23K","-0.17%"
"02/04/2026","23.49","23.70","23.90","23.40","475.26K","-0.89%"
"02/03/2026","23.70","23.50","23.94","23.45","296.86K","0.85%"
"02/02/2026","23.50","23.81","23.99","23.15","480.39K","-0.93%"
"02/01/2026","23.72","23.13","23.79","23.10","187.28K","2.55%"
"01/28/2026","23.13","24.12","24.25","23.05","502.47K","-4.10%"
"01/27/2026","24.12","24.89","24.89","24.00","496.94K","-3.44%"
"01/26/2026","24.98","25.80","25.89","24.53","941.53K","-3.18%"
"01/25/2026","25.80","25.69","26.10","25.63","172.20K","0.70%"
"01/22/2026","25.62","26.40","26.40","25.62","368.52K","-3.32%"
"01/21/2026","26.50","26.49","26.50","25.63","389.19K","0.00%"
"01/20/2026","26.50","26.44","26.50","25.58","549.39K","0.00%"
"01/19/2026","26.50","25.50","26.50","25.21","476.39K","3.96%"
"01/18/2026","25.49","24.64","25.50","24.64","1.02M","3.45%"
"01/15/2026","24.64","24.03","24.64","23.63","350.55K","0.69%"
"01/14/2026","24.47","23.88","24.47","23.00","348.80K","2.17%"
"01/13/2026","23.95","24.17","24.50","23.80","141.36K","-0.83%"
"01/12/2026","24.15","24.40","24.80","23.95","210.27K","-0.98%"
"01/11/2026","24.39","24.23","25.00","24.05","304.13K","1.50%"
"01/08/2026","24.03","24.72","24.73","23.90","329.09K","-1.92%"
"01/06/2026","24.50","24.10","24.50","23.84","359.92K","1.87%"
"01/05/2026","24.05","24.95","25.09","23.93","265.62K","-3.76%"
"01/04/2026","24.99","25.00","25.10","24.63","110.19K","0.00%"
