"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","171.14","176.00","178.00","170.55","26.67K","-2.38%"
"06/23/2026","175.31","174.50","187.00","173.29","143.50K","1.17%"
"06/22/2026","173.29","169.50","174.49","167.63","40.46K","2.35%"
"06/21/2026","169.31","170.26","172.49","168.50","36.55K","-0.41%"
"06/17/2026","170.00","173.45","173.48","170.00","55.79K","-1.16%"
"06/16/2026","172.00","172.51","174.49","171.35","13.20K","-0.17%"
"06/15/2026","172.29","173.50","176.50","170.15","12.40K","-0.38%"
"06/14/2026","172.95","173.01","177.49","170.00","14.14K","0.18%"
"06/11/2026","172.65","175.00","177.45","168.50","35.99K","-1.53%"
"06/10/2026","175.33","180.50","184.25","173.01","26.59K","-2.87%"
"06/09/2026","180.51","181.00","187.49","178.90","39.93K","0.93%"
"06/08/2026","178.85","180.15","181.95","177.50","14.47K","-0.63%"
"06/07/2026","179.98","178.50","188.50","178.04","53.69K","1.40%"
"06/04/2026","177.50","177.84","181.97","176.63","32.94K","-0.19%"
"06/03/2026","177.84","179.50","182.50","177.65","16.45K","-0.24%"
"06/02/2026","178.26","179.00","182.45","175.00","52.02K","-0.97%"
"06/01/2026","180.01","182.50","184.75","179.00","30.23K","0.06%"
"05/25/2026","179.90","180.51","183.48","177.50","23.29K","-0.07%"
"05/24/2026","180.01","186.75","186.75","180.00","16.44K","0.17%"
"05/21/2026","179.71","183.00","187.50","175.51","26.65K","0.82%"
"05/20/2026","178.26","181.50","182.55","177.50","39.45K","-1.51%"
"05/19/2026","181.00","185.00","189.75","180.50","39.05K","-1.38%"
"05/18/2026","183.54","194.94","194.95","175.15","43.14K","-4.73%"
"05/17/2026","192.65","195.38","197.25","192.51","37.18K","-1.39%"
"05/14/2026","195.37","198.00","202.40","193.41","74.80K","-1.26%"
"05/13/2026","197.87","197.68","204.50","195.50","122.18K","0.44%"
"05/12/2026","197.00","196.20","198.00","193.57","71.04K","1.77%"
"05/11/2026","193.57","196.10","198.90","193.01","51.80K","-1.13%"
"05/10/2026","195.79","196.00","203.95","194.01","103.92K","0.01%"
"05/06/2026","195.79","193.01","202.00","191.01","117.75K","1.76%"
"05/05/2026","192.40","202.50","208.25","191.05","196.80K","-3.35%"
"05/04/2026","199.07","189.50","202.22","186.50","267.29K","5.54%"
"05/03/2026","188.62","175.50","189.38","171.56","371.82K","9.59%"
"04/30/2026","172.12","171.50","181.99","167.11","291.65K","0.36%"
"04/29/2026","171.50","157.40","182.49","151.80","662.30K","10.63%"
"04/28/2026","155.02","151.00","174.50","147.00","214.22K","5.88%"
"04/27/2026","146.42","146.83","147.90","146.00","17.50K","-0.28%"
"04/26/2026","146.83","148.51","148.85","146.00","30.04K","-0.61%"
