"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","39.30","38.80","39.67","38.71","3.21M","1.03%"
"06/23/2026","38.90","39.28","39.40","38.55","3.67M","-0.51%"
"06/22/2026","39.10","39.80","40.48","39.10","6.33M","-1.26%"
"06/21/2026","39.60","38.36","39.68","38.36","6.86M","3.42%"
"06/17/2026","38.29","37.38","38.47","37.15","3.87M","2.41%"
"06/16/2026","37.39","37.31","37.80","37.08","3.16M","0.65%"
"06/15/2026","37.15","38.40","38.69","37.15","4.41M","-2.24%"
"06/14/2026","38.00","37.25","38.90","36.92","7.72M","5.23%"
"06/11/2026","36.11","36.35","36.99","35.01","3.83M","-1.34%"
"06/10/2026","36.60","37.20","38.51","36.60","8.42M","-1.08%"
"06/09/2026","37.00","37.04","37.61","36.70","4.84M","1.23%"
"06/08/2026","36.55","36.97","37.74","36.11","4.59M","-1.22%"
"06/07/2026","37.00","37.70","37.89","36.62","2.88M","-2.81%"
"06/04/2026","38.07","38.18","38.83","38.02","2.85M","-0.16%"
"06/03/2026","38.13","38.03","38.29","37.42","3.51M","0.29%"
"06/02/2026","38.02","38.92","39.09","37.40","6.34M","-2.29%"
"06/01/2026","38.91","37.59","39.61","37.40","4.70M","3.90%"
"05/25/2026","37.45","36.65","37.88","36.00","4.66M","2.60%"
"05/24/2026","36.50","36.88","37.56","36.45","4.03M","-0.03%"
"05/21/2026","36.51","33.90","36.51","33.81","8.80M","8.27%"
"05/20/2026","33.72","34.80","35.10","33.71","3.64M","-2.82%"
"05/19/2026","34.70","33.80","35.50","33.51","9.77M","3.89%"
"05/18/2026","33.40","33.36","33.90","33.09","2.64M","0.12%"
"05/17/2026","33.36","34.09","34.43","33.25","3.10M","-1.88%"
"05/14/2026","34.00","33.23","34.40","33.00","6.30M","2.41%"
"05/13/2026","33.20","33.60","33.85","33.04","6.80M","-0.45%"
"05/12/2026","33.35","33.90","33.94","32.90","4.62M","-0.83%"
"05/11/2026","33.63","34.31","34.39","33.00","6.12M","-1.06%"
"05/10/2026","33.99","33.90","35.00","33.85","8.22M","1.46%"
"05/06/2026","33.50","30.60","33.50","30.56","18.20M","10.05%"
"05/05/2026","30.44","30.51","30.67","30.15","5.69M","-0.20%"
"05/04/2026","30.50","31.53","31.78","30.50","5.34M","-3.14%"
"05/03/2026","31.49","31.19","32.11","31.16","7.56M","1.74%"
"04/30/2026","30.95","31.25","31.80","30.95","7.52M","-0.48%"
"04/29/2026","31.10","30.54","31.15","30.21","5.11M","1.83%"
"04/28/2026","30.54","30.61","30.81","30.20","3.38M","0.13%"
"04/27/2026","30.50","29.80","31.10","29.77","5.70M","2.52%"
"04/26/2026","29.75","30.49","30.64","29.53","6.87M","-1.65%"
"04/23/2026","30.25","31.13","31.60","30.25","7.77M","-2.73%"
"04/22/2026","31.10","31.88","31.90","30.60","6.53M","-2.51%"
"04/21/2026","31.90","29.60","31.90","29.60","11.23M","8.14%"
"04/20/2026","29.50","30.00","30.05","28.97","3.74M","-1.17%"
"04/19/2026","29.85","29.09","29.89","28.82","6.21M","3.25%"
"04/16/2026","28.91","29.50","31.00","28.71","15.25M","0.03%"
"04/15/2026","28.90","27.20","29.19","27.20","13.78M","6.48%"
"04/14/2026","27.14","27.16","27.65","26.93","6.29M","-0.04%"
"04/12/2026","27.15","26.10","27.15","27.15","14.04M","0.00%"
"04/09/2026","27.15","26.07","27.36","25.73","14.04M","4.02%"
"04/08/2026","26.10","25.25","26.47","25.25","9.40M","5.88%"
"04/07/2026","24.65","25.21","25.29","24.63","1.91M","-2.07%"
"04/06/2026","25.17","24.96","25.41","24.85","4.75M","1.70%"
"04/05/2026","24.75","24.80","24.92","24.70","917.22K","0.20%"
"04/02/2026","24.70","24.80","24.98","24.55","1.71M","-1.20%"
"04/01/2026","25.00","24.48","25.08","24.33","4.32M","3.43%"
"03/31/2026","24.17","24.25","24.59","24.00","2.50M","-0.53%"
"03/30/2026","24.30","24.63","24.87","24.20","2.88M","-1.30%"
"03/29/2026","24.62","25.27","25.30","24.50","4.80M","-2.53%"
"03/26/2026","25.26","25.85","25.97","25.26","4.23M","-2.28%"
"03/25/2026","25.85","25.55","26.23","25.55","5.39M","1.57%"
