"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","1.820","1.850","1.860","1.800","645.81K","-1.09%"
"06/23/2026","1.840","1.950","1.950","1.820","919.97K","-3.66%"
"06/22/2026","1.910","1.940","1.960","1.900","421.71K","0.53%"
"06/21/2026","1.900","1.900","1.940","1.900","982.37K","0.00%"
"06/17/2026","1.900","1.910","1.950","1.880","550.38K","0.00%"
"06/16/2026","1.900","1.880","1.960","1.830","1.03M","0.53%"
"06/15/2026","1.890","1.890","1.990","1.880","1.28M","0.00%"
"06/14/2026","1.890","1.810","1.910","1.780","1.91M","6.18%"
"06/11/2026","1.780","1.820","1.820","1.770","353.23K","-2.20%"
"06/10/2026","1.820","1.830","1.870","1.820","148.06K","0.00%"
"06/09/2026","1.820","1.850","1.880","1.800","474.00K","-1.09%"
"06/08/2026","1.840","1.880","1.900","1.830","605.33K","-2.65%"
"06/07/2026","1.890","1.980","1.980","1.870","1.35M","-2.58%"
"06/04/2026","1.940","1.840","2.090","1.800","8.69M","6.01%"
"06/03/2026","1.830","1.810","1.850","1.780","3.30M","1.67%"
"06/02/2026","1.800","1.690","1.810","1.690","5.61M","7.78%"
"06/01/2026","1.670","1.670","1.690","1.660","196.99K","0.00%"
"05/25/2026","1.670","1.680","1.690","1.660","176.24K","0.00%"
"05/24/2026","1.670","1.660","1.700","1.640","137.09K","0.00%"
"05/21/2026","1.670","1.650","1.670","1.640","160.42K","0.00%"
"05/20/2026","1.670","1.720","1.730","1.650","498.35K","-2.34%"
"05/19/2026","1.710","1.690","1.750","1.690","432.28K","0.59%"
"05/18/2026","1.700","1.770","1.770","1.690","1.08M","-3.95%"
"05/17/2026","1.770","1.790","1.800","1.760","374.46K","-1.12%"
"05/14/2026","1.790","1.800","1.820","1.780","1.48M","-0.56%"
"05/13/2026","1.800","1.820","1.850","1.790","1.94M","-0.55%"
"05/12/2026","1.810","1.790","1.820","1.790","252.23K","0.56%"
"05/11/2026","1.800","1.810","1.840","1.790","1.49M","-0.55%"
"05/10/2026","1.810","1.830","1.850","1.800","864.14K","-0.55%"
"05/06/2026","1.820","1.860","1.860","1.810","1.74M","-3.19%"
"05/05/2026","1.880","1.770","1.890","1.760","2.07M","5.62%"
"05/04/2026","1.780","1.810","1.820","1.770","861.19K","-1.66%"
"05/03/2026","1.810","1.860","1.880","1.800","1.50M","-2.69%"
"04/30/2026","1.860","1.880","1.900","1.830","1.64M","0.54%"
"04/29/2026","1.850","1.870","1.900","1.830","1.13M","0.00%"
"04/28/2026","1.850","1.780","1.890","1.760","2.26M","4.52%"
"04/27/2026","1.770","1.820","1.820","1.760","830.48K","-1.67%"
"04/26/2026","1.800","1.770","1.840","1.750","2.46M","2.27%"
"04/23/2026","1.760","1.720","1.780","1.720","1.61M","1.15%"
"04/22/2026","1.740","1.700","1.750","1.670","1.83M","1.75%"
"04/21/2026","1.710","1.600","1.720","1.590","3.57M","6.88%"
"04/20/2026","1.600","1.610","1.630","1.600","619.61K","-0.62%"
"04/19/2026","1.610","1.630","1.640","1.600","964.02K","-0.62%"
"04/16/2026","1.620","1.650","1.650","1.610","814.94K","-0.61%"
"04/15/2026","1.630","1.600","1.690","1.600","3.00M","1.87%"
"04/14/2026","1.600","1.630","1.630","1.590","2.08M","-1.84%"
"04/12/2026","1.630","1.580","1.630","1.630","2.91M","0.00%"
"04/09/2026","1.630","1.590","1.670","1.590","2.91M","3.16%"
"04/08/2026","1.580","1.580","1.610","1.580","1.94M","0.64%"
"04/07/2026","1.570","1.600","1.610","1.570","869.47K","-1.26%"
"04/06/2026","1.590","1.600","1.600","1.580","363.39K","0.00%"
"04/05/2026","1.590","1.630","1.630","1.580","1.26M","-2.45%"
"04/02/2026","1.630","1.580","1.630","1.570","1.26M","3.16%"
"04/01/2026","1.580","1.560","1.600","1.560","1.19M","0.64%"
"03/31/2026","1.570","1.570","1.590","1.550","563.97K","0.00%"
"03/30/2026","1.570","1.600","1.610","1.570","1.11M","-1.87%"
"03/29/2026","1.600","1.610","1.640","1.570","2.39M","0.00%"
"03/26/2026","1.600","1.710","1.800","1.590","7.00M","-6.43%"
"03/25/2026","1.710","1.610","1.740","1.580","2.67M","6.88%"
"03/24/2026","1.600","1.600","1.630","1.570","376.61K","0.00%"
"03/18/2026","1.600","1.580","1.610","1.570","380.66K","1.91%"
"03/17/2026","1.570","1.570","1.600","1.550","125.30K","0.00%"
"03/16/2026","1.570","1.600","1.630","1.570","322.01K","-2.48%"
"03/15/2026","1.610","1.630","1.650","1.600","293.57K","-0.62%"
"03/12/2026","1.620","1.660","1.670","1.600","898.39K","-1.82%"
"03/11/2026","1.650","1.650","1.670","1.630","1.19M","1.85%"
"03/10/2026","1.620","1.640","1.640","1.600","909.00K","1.25%"
"03/09/2026","1.600","1.610","1.650","1.590","677.00K","0.00%"
"03/08/2026","1.600","1.620","1.640","1.590","941.95K","0.00%"
"03/05/2026","1.600","1.620","1.690","1.600","3.44M","0.00%"
"03/04/2026","1.600","1.650","1.670","1.600","650.14K","-4.19%"
"03/03/2026","1.670","1.640","1.680","1.600","180.70K","0.00%"
"03/02/2026","1.670","1.650","1.680","1.630","196.71K","4.37%"
"03/01/2026","1.600","1.550","1.670","1.500","491.45K","-5.88%"
"02/26/2026","1.700","1.650","1.830","1.640","815.64K","1.19%"
"02/25/2026","1.680","1.780","1.800","1.520","1.15M","-6.15%"
"02/24/2026","1.790","1.800","1.830","1.760","756.84K","0.00%"
"02/23/2026","1.790","1.770","1.840","1.770","260.13K","0.00%"
"02/22/2026","1.790","1.780","1.850","1.760","365.29K","-1.10%"
"02/19/2026","1.810","1.880","1.900","1.760","656.48K","-3.72%"
"02/18/2026","1.880","1.890","1.900","1.870","595.39K","0.00%"
"02/17/2026","1.880","1.900","1.900","1.870","406.99K","-0.53%"
"02/16/2026","1.890","1.930","1.940","1.880","766.18K","-1.05%"
"02/15/2026","1.910","1.920","1.950","1.900","678.96K","0.53%"
"02/12/2026","1.900","1.900","1.950","1.870","1.30M","1.60%"
"02/11/2026","1.870","1.880","1.900","1.860","425.66K","-0.53%"
"02/10/2026","1.880","1.900","1.910","1.880","285.16K","0.00%"
"02/09/2026","1.880","1.920","1.920","1.870","130.73K","0.00%"
"02/08/2026","1.880","1.930","1.940","1.880","663.88K","-2.59%"
"02/05/2026","1.930","1.910","1.940","1.880","924.12K","1.05%"
"02/04/2026","1.910","1.900","1.940","1.890","594.80K","0.53%"
"02/03/2026","1.900","1.900","1.910","1.890","407.93K","1.06%"
"02/02/2026","1.880","1.890","1.920","1.880","341.75K","0.00%"
"02/01/2026","1.880","1.890","1.930","1.880","683.13K","-0.53%"
"01/28/2026","1.890","1.930","1.950","1.880","2.64M","0.53%"
"01/27/2026","1.880","1.860","1.960","1.850","3.15M","1.62%"
"01/26/2026","1.850","1.960","1.960","1.840","2.00M","-5.13%"
"01/25/2026","1.950","1.960","2.070","1.920","7.85M","-1.02%"
"01/22/2026","1.970","1.870","1.980","1.860","2.89M","5.35%"
"01/21/2026","1.870","1.900","1.940","1.860","1.40M","-1.06%"
"01/20/2026","1.890","1.860","2.010","1.860","4.14M","2.16%"
"01/19/2026","1.850","1.870","1.890","1.830","512.61K","0.00%"
"01/18/2026","1.850","1.790","1.910","1.780","809.09K","3.35%"
"01/15/2026","1.790","1.790","1.830","1.780","1.04M","-1.10%"
"01/14/2026","1.810","1.850","1.860","1.790","1.54M","-2.16%"
"01/13/2026","1.850","1.950","1.950","1.830","2.45M","-3.65%"
"01/12/2026","1.920","1.980","2.040","1.910","3.52M","-2.54%"
"01/11/2026","1.970","2.050","2.050","1.950","2.28M","-3.43%"
"01/08/2026","2.040","2.080","2.120","2.020","6.85M","-0.49%"
"01/06/2026","2.050","2.050","2.080","2.030","3.00M","0.99%"
"01/05/2026","2.030","2.040","2.160","1.990","9.40M","1.00%"
"01/04/2026","2.010","2.060","2.130","1.970","4.16M","-1.47%"
