"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","85.00","80.00","85.00","80.00","0.15K","6.25%"
"06/22/2026","80.00","82.00","82.00","71.00","0.14K","0.00%"
"06/17/2026","80.00","79.80","83.00","79.80","2.06K","9.57%"
"06/15/2026","73.01","80.00","80.00","73.01","0.01K","2.80%"
"06/10/2026","71.02","81.00","71.02","71.02","","0.00%"
"06/08/2026","71.02","81.00","81.00","71.02","0.00K","-11.23%"
"06/03/2026","80.00","83.99","83.99","80.00","0.01K","-4.75%"
"06/01/2026","83.99","84.50","84.50","80.00","0.00K","19.56%"
"05/25/2026","70.25","84.50","84.50","70.05","0.09K","-17.35%"
"05/20/2026","85.00","80.00","85.00","80.00","0.48K","6.25%"
"05/18/2026","80.00","71.50","80.00","71.50","0.58K","11.89%"
"05/13/2026","71.50","71.00","71.50","70.05","0.51K","1.42%"
"05/11/2026","70.50","71.00","71.00","70.50","0.38K","0.00%"
"05/06/2026","70.50","70.50","70.50","70.50","0.01K","0.64%"
"05/04/2026","70.05","71.30","71.50","70.05","0.99K","-1.75%"
"04/29/2026","71.30","72.00","72.00","71.30","0.06K","-0.97%"
"04/27/2026","72.00","71.30","72.00","71.30","0.48K","0.98%"
"04/22/2026","71.30","71.40","71.40","71.30","0.01K","1.76%"
"04/20/2026","70.07","70.05","71.99","70.05","0.11K","0.03%"
"04/15/2026","70.05","71.00","71.00","70.05","0.06K","0.06%"
"04/08/2026","70.01","70.01","70.01","70.01","0.01K","0.00%"
"04/06/2026","70.01","70.01","70.01","70.01","0.00K","0.00%"
"04/01/2026","70.01","70.01","70.01","70.01","","0.00%"
"03/30/2026","70.01","70.01","70.01","70.01","","0.00%"
"03/25/2026","70.01","70.01","70.01","70.01","0.00K","0.00%"
"03/16/2026","70.01","70.01","70.01","70.01","0.01K","0.01%"
"03/11/2026","70.00","72.00","72.00","70.00","0.02K","-2.78%"
"03/09/2026","72.00","70.00","72.00","70.00","0.02K","2.86%"
"03/04/2026","70.00","70.00","72.00","70.00","0.30K","0.00%"
"03/02/2026","70.00","72.00","72.00","70.00","0.06K","0.00%"
"02/23/2026","70.00","71.75","72.00","70.00","0.23K","-2.44%"
"02/18/2026","71.75","70.00","71.75","70.00","0.03K","2.50%"
"02/16/2026","70.00","70.01","70.00","70.00","","0.00%"
"02/11/2026","70.00","70.01","70.01","70.00","0.59K","0.00%"
"02/09/2026","70.00","73.00","73.00","70.00","3.78K","-2.10%"
"02/04/2026","71.50","71.00","71.50","71.00","0.52K","0.70%"
"02/02/2026","71.00","70.00","71.00","70.00","0.11K","1.43%"
"01/28/2026","70.00","70.05","72.99","70.00","0.56K","-0.07%"
"01/26/2026","70.05","73.85","73.90","70.00","0.25K","-5.21%"
"01/21/2026","73.90","73.90","73.90","73.90","0.01K","5.57%"
"01/19/2026","70.00","70.10","73.98","70.00","0.28K","0.00%"
"01/14/2026","70.00","71.00","71.00","70.00","0.01K","-2.78%"
"01/12/2026","72.00","71.70","74.02","71.60","0.21K","0.42%"
"01/05/2026","71.70","71.70","71.70","71.70","0.00K","2.24%"
