"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","2.5900","2.7100","2.7400","2.5700","15.41M","-4.07%"
"06/23/2026","2.7000","2.8100","2.8300","2.7000","5.36M","-3.57%"
"06/22/2026","2.8000","2.8600","2.8800","2.7900","5.02M","-1.41%"
"06/21/2026","2.8400","2.8300","2.9500","2.7500","15.01M","2.16%"
"06/17/2026","2.7800","2.8600","2.8700","2.7000","13.65M","-2.46%"
"06/16/2026","2.8500","2.8000","3.0200","2.7800","15.53M","2.89%"
"06/15/2026","2.7700","2.9100","2.9300","2.7500","8.89M","-4.48%"
"06/14/2026","2.9000","2.6700","2.9400","2.6700","65.88M","10.27%"
"06/11/2026","2.6300","2.6200","2.6800","2.5600","5.81M","-0.38%"
"06/10/2026","2.6400","2.8000","2.8100","2.6400","4.80M","-4.69%"
"06/09/2026","2.7700","2.8600","2.9000","2.7700","5.80M","-1.77%"
"06/08/2026","2.8200","2.7700","2.8600","2.7200","8.81M","1.08%"
"06/07/2026","2.7900","2.8600","2.9400","2.7500","7.35M","-1.76%"
"06/04/2026","2.8400","2.5800","2.9900","2.5800","20.09M","10.94%"
"06/03/2026","2.5600","2.6600","2.6600","2.5200","5.40M","-1.92%"
"06/02/2026","2.6100","2.2800","2.6700","2.2800","18.12M","14.98%"
"06/01/2026","2.2700","2.2800","2.2900","2.2600","1.17M","0.44%"
"05/25/2026","2.2600","2.2800","2.3000","2.2300","2.63M","-0.44%"
"05/24/2026","2.2700","2.2600","2.3400","2.2400","2.81M","1.34%"
"05/21/2026","2.2400","2.2500","2.2800","2.2100","2.46M","-0.44%"
"05/20/2026","2.2500","2.3000","2.3200","2.2400","2.27M","-1.32%"
"05/19/2026","2.2800","2.2100","2.3500","2.2100","4.62M","3.17%"
"05/18/2026","2.2100","2.2700","2.2800","2.1900","2.10M","-3.49%"
"05/17/2026","2.2900","2.3300","2.3500","2.2800","3.39M","-0.43%"
"05/14/2026","2.3000","2.2700","2.3400","2.2500","5.59M","2.68%"
"05/13/2026","2.2400","2.2000","2.2600","2.2000","2.87M","2.28%"
"05/12/2026","2.1900","2.2000","2.2200","2.1700","4.52M","0.46%"
"05/11/2026","2.1800","2.2000","2.2800","2.1800","5.44M","0.00%"
"05/10/2026","2.1800","2.2300","2.3100","2.1700","8.95M","-0.91%"
"05/06/2026","2.2000","2.3100","2.3200","2.1900","5.70M","-3.93%"
"05/05/2026","2.2900","2.0800","2.3200","2.0500","17.19M","9.57%"
"05/04/2026","2.0900","2.1200","2.1300","2.0800","3.58M","-0.95%"
"05/03/2026","2.1100","2.1000","2.1200","2.0800","2.64M","1.93%"
"04/30/2026","2.0700","2.0700","2.1300","2.0500","11.07M","0.49%"
"04/29/2026","2.0600","2.0400","2.0700","2.0100","3.68M","1.48%"
"04/28/2026","2.0300","2.0300","2.0500","2.0100","3.85M","0.50%"
"04/27/2026","2.0200","2.0100","2.0300","2.0100","4.30M","0.50%"
"04/26/2026","2.0100","2.0400","2.0400","2.0100","4.74M","-0.99%"
"04/23/2026","2.0300","2.0200","2.0500","2.0100","6.43M","2.01%"
"04/22/2026","1.9900","1.9800","2.0300","1.9800","8.22M","0.51%"
"04/21/2026","1.9800","1.9800","2.0100","1.9500","10.62M","-1.00%"
"04/20/2026","2.0000","2.0300","2.0300","1.9800","4.36M","-1.48%"
"04/19/2026","2.0300","2.0700","2.0800","2.0200","8.13M","-1.93%"
