"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","5.030","5.070","5.110","4.970","68.16M","-0.59%"
"06/23/2026","5.060","5.260","5.280","5.060","107.31M","-2.88%"
"06/22/2026","5.210","5.080","5.210","5.060","153.07M","2.96%"
"06/21/2026","5.060","5.080","5.150","5.050","67.55M","0.40%"
"06/17/2026","5.040","5.120","5.150","5.010","103.37M","-1.56%"
"06/16/2026","5.120","5.080","5.170","4.980","143.61M","1.79%"
"06/15/2026","5.030","5.290","5.290","4.920","200.11M","-4.55%"
"06/14/2026","5.270","5.220","5.320","5.170","129.09M","2.53%"
"06/11/2026","5.140","5.150","5.270","5.060","113.09M","-0.19%"
"06/10/2026","5.150","5.550","5.580","5.130","221.54M","-6.70%"
"06/09/2026","5.520","5.580","5.620","5.500","104.02M","-1.08%"
"06/08/2026","5.580","5.710","5.780","5.560","168.18M","-2.11%"
"06/07/2026","5.700","5.340","5.720","5.260","236.42M","6.34%"
"06/04/2026","5.360","5.430","5.450","5.360","74.43M","-1.29%"
"06/03/2026","5.430","5.550","5.580","5.400","85.17M","-1.27%"
"06/02/2026","5.500","5.500","5.570","5.460","139.06M","1.10%"
"06/01/2026","5.440","5.160","5.440","5.160","165.51M","6.25%"
"05/25/2026","5.120","5.060","5.170","5.040","123.91M","1.19%"
"05/24/2026","5.060","5.130","5.150","4.940","113.42M","-2.13%"
"05/21/2026","5.170","5.200","5.260","5.080","101.66M","-0.58%"
"05/20/2026","5.200","5.360","5.400","5.200","95.04M","-2.62%"
"05/19/2026","5.340","5.360","5.460","5.300","187.42M","1.14%"
"05/18/2026","5.280","5.560","5.660","5.280","240.38M","-5.04%"
"05/17/2026","5.560","5.480","5.640","5.370","249.89M","6.51%"
"05/14/2026","5.220","4.850","5.230","4.820","365.99M","9.89%"
"05/13/2026","4.750","4.720","4.820","4.700","115.48M","1.06%"
"05/12/2026","4.700","4.710","4.800","4.680","151.13M","0.64%"
"05/11/2026","4.670","4.730","4.800","4.660","113.24M","-1.06%"
"05/10/2026","4.720","4.580","4.720","4.550","165.14M","4.19%"
"05/06/2026","4.530","4.800","4.830","4.470","256.31M","-6.21%"
"05/05/2026","4.830","4.880","4.930","4.830","218.21M","0.42%"
"05/04/2026","4.810","4.680","4.850","4.680","132.50M","2.78%"
"05/03/2026","4.680","4.740","4.820","4.650","129.35M","-1.06%"
"04/30/2026","4.730","4.860","4.920","4.730","182.74M","-0.84%"
"04/29/2026","4.770","4.630","4.770","4.590","133.86M","3.02%"
"04/28/2026","4.630","4.630","4.810","4.600","160.10M","2.21%"
"04/27/2026","4.530","4.550","4.600","4.510","74.76M","-0.44%"
"04/26/2026","4.550","4.580","4.690","4.520","226.34M","3.64%"
"04/23/2026","4.390","4.140","4.440","4.110","407.94M","8.66%"
"04/22/2026","4.040","3.930","4.130","3.910","341.28M","6.04%"
"04/21/2026","3.810","3.920","3.940","3.800","177.74M","-2.56%"
"04/20/2026","3.910","3.960","3.990","3.910","80.97M","-0.76%"
"04/19/2026","3.940","3.990","4.000","3.930","78.61M","-1.01%"
"04/16/2026","3.980","3.930","4.040","3.920","136.39M","1.53%"
"04/15/2026","3.920","3.980","4.000","3.900","89.78M","-1.01%"
"04/14/2026","3.960","4.010","4.050","3.930","93.87M","0.25%"
