"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","53.76","55.00","55.00","53.60","101.90K","-2.18%"
"06/23/2026","54.96","53.61","55.00","53.40","215.36K","2.69%"
"06/22/2026","53.52","53.28","55.24","53.07","345.60K","0.85%"
"06/21/2026","53.07","53.07","53.46","52.53","65.52K","0.00%"
"06/17/2026","53.07","53.65","53.90","53.00","91.35K","-0.41%"
"06/16/2026","53.29","53.89","54.00","53.01","73.07K","-0.41%"
"06/15/2026","53.51","53.00","53.60","52.70","209.92K","1.92%"
"06/14/2026","52.50","53.00","53.50","52.10","116.79K","1.80%"
"06/11/2026","51.57","52.76","52.76","51.50","108.47K","-2.72%"
"06/10/2026","53.01","54.50","54.50","53.00","86.78K","-0.53%"
"06/09/2026","53.29","53.99","55.00","53.02","99.01K","-0.49%"
"06/08/2026","53.55","52.66","54.12","52.60","119.74K","1.04%"
"06/07/2026","53.00","53.90","53.90","52.55","84.64K","-1.08%"
"06/04/2026","53.58","55.00","55.00","53.53","108.43K","-2.58%"
"06/03/2026","55.00","55.14","56.39","53.40","197.07K","-0.18%"
"06/02/2026","55.10","54.23","55.50","54.02","181.11K","1.62%"
"06/01/2026","54.22","54.30","54.99","53.12","90.14K","0.30%"
"05/25/2026","54.06","54.60","54.99","53.70","97.14K","-0.73%"
"05/24/2026","54.46","53.78","55.50","53.22","110.22K","2.50%"
"05/21/2026","53.13","52.87","54.00","52.87","115.98K","0.63%"
"05/20/2026","52.80","55.00","55.00","52.77","321.02K","-3.98%"
"05/19/2026","54.99","54.32","55.79","54.32","157.62K","1.23%"
"05/18/2026","54.32","55.50","55.99","54.16","195.58K","-1.24%"
"05/17/2026","55.00","57.55","57.55","54.01","881.66K","-4.43%"
"05/14/2026","57.55","58.50","59.00","57.40","385.04K","-1.59%"
"05/13/2026","58.48","58.10","59.10","57.55","719.88K","0.72%"
"05/12/2026","58.06","58.20","58.50","56.51","767.39K","-0.14%"
"05/11/2026","58.14","58.70","60.00","58.05","526.19K","-0.95%"
"05/10/2026","58.70","59.70","61.00","58.31","577.55K","-1.68%"
"05/06/2026","59.70","58.72","60.94","58.00","995.39K","1.67%"
"05/05/2026","58.72","55.40","59.45","54.16","994.21K","5.80%"
"05/04/2026","55.50","54.65","58.00","54.10","1.60M","1.28%"
"05/03/2026","54.80","50.50","54.90","50.25","2.44M","9.82%"
"04/30/2026","49.90","48.30","50.00","48.20","1.36M","3.53%"
"04/29/2026","48.20","47.80","48.25","47.70","432.78K","0.90%"
"04/28/2026","47.77","47.98","48.09","47.25","676.76K","0.57%"
"04/27/2026","47.50","47.14","48.50","47.00","349.32K","0.76%"
"04/26/2026","47.14","47.65","48.00","47.05","267.39K","-1.07%"
"04/23/2026","47.65","48.05","48.06","47.56","261.05K","-0.83%"
"04/22/2026","48.05","48.37","48.78","47.55","596.56K","0.04%"
"04/21/2026","48.03","47.35","48.90","47.15","1.99M","1.50%"
"04/20/2026","47.32","47.70","48.19","47.00","641.50K","-0.11%"
"04/19/2026","47.37","46.97","49.00","46.61","1.98M","3.20%"
"04/16/2026","45.90","44.70","46.22","44.52","1.25M","3.19%"
"04/15/2026","44.48","43.91","44.49","43.61","820.71K","1.32%"
"04/14/2026","43.90","43.15","44.20","43.00","426.05K","1.74%"
"04/12/2026","43.15","42.79","43.15","43.15","294.67K","0.00%"
"04/09/2026","43.15","43.00","43.75","42.83","294.67K","0.84%"
"04/08/2026","42.79","43.50","43.50","42.70","258.24K","0.42%"
"04/07/2026","42.61","43.00","43.20","42.40","97.53K","-0.93%"
"04/06/2026","43.01","44.00","44.00","42.90","189.05K","-1.89%"
"04/05/2026","43.84","43.10","45.03","42.79","288.78K","1.81%"
"04/02/2026","43.06","43.01","43.15","42.18","322.33K","-0.28%"
"04/01/2026","43.18","41.47","43.59","41.03","654.21K","5.32%"
"03/31/2026","41.00","38.88","42.30","38.80","619.38K","5.56%"
"03/30/2026","38.84","38.87","39.33","38.75","57.70K","-0.08%"
"03/29/2026","38.87","39.30","39.55","38.81","114.83K","-1.02%"
"03/26/2026","39.27","39.60","39.63","39.11","152.57K","-0.61%"
"03/25/2026","39.51","39.34","39.65","39.26","44.20K","0.43%"
"03/24/2026","39.34","39.35","39.89","39.25","70.66K","0.10%"
"03/18/2026","39.30","39.25","39.45","39.21","34.23K","0.13%"
"03/17/2026","39.25","39.34","39.48","39.01","72.53K","0.18%"
"03/16/2026","39.18","39.17","39.59","39.01","22.50K","0.13%"
"03/15/2026","39.13","40.00","40.28","39.11","59.75K","-2.15%"
"03/12/2026","39.99","40.50","40.50","39.42","171.41K","-0.74%"
"03/11/2026","40.29","40.75","40.76","40.21","107.69K","-1.03%"
"03/10/2026","40.71","41.00","41.00","40.22","138.53K","-3.71%"
"03/09/2026","42.28","42.27","42.30","41.80","112.13K","0.52%"
"03/08/2026","42.06","42.20","42.49","41.95","121.12K","0.07%"
"03/05/2026","42.03","42.25","42.50","41.66","102.48K","1.20%"
"03/04/2026","41.53","42.30","42.80","41.00","226.62K","-1.40%"
"03/03/2026","42.12","42.45","42.75","41.82","47.33K","-0.19%"
"03/02/2026","42.20","42.20","42.44","41.81","71.46K","1.05%"
"03/01/2026","41.76","41.00","42.20","40.50","216.02K","0.70%"
"02/26/2026","41.47","40.89","41.80","40.70","33.23K","1.64%"
"02/25/2026","40.80","42.00","42.32","40.55","146.99K","-2.79%"
"02/24/2026","41.97","42.20","42.35","41.50","61.04K","-0.21%"
