"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","3.820","3.810","3.850","3.800","549.43K","0.53%"
"06/23/2026","3.800","3.890","3.920","3.790","989.93K","-2.56%"
"06/22/2026","3.900","3.920","4.000","3.880","2.00M","-0.51%"
"06/21/2026","3.920","3.870","3.960","3.840","843.90K","2.08%"
"06/17/2026","3.840","3.850","3.900","3.810","1.24M","0.26%"
"06/16/2026","3.830","3.880","3.930","3.830","1.77M","-0.52%"
"06/15/2026","3.850","3.850","3.880","3.840","662.92K","0.52%"
"06/14/2026","3.830","3.900","3.920","3.820","1.09M","-0.26%"
"06/11/2026","3.840","3.810","3.920","3.800","708.89K","-1.79%"
"06/10/2026","3.910","3.980","4.050","3.900","1.56M","-3.46%"
"06/09/2026","4.050","3.990","4.140","3.930","2.18M","1.50%"
"06/08/2026","3.990","3.800","3.990","3.770","2.60M","5.00%"
"06/07/2026","3.800","3.830","3.890","3.780","1.66M","-0.78%"
"06/04/2026","3.830","3.810","3.850","3.800","1.77M","0.26%"
"06/03/2026","3.820","3.870","3.900","3.810","2.01M","-0.52%"
"06/02/2026","3.840","3.880","3.900","3.820","1.30M","0.26%"
"06/01/2026","3.830","3.770","3.870","3.760","768.10K","1.86%"
"05/25/2026","3.760","3.810","3.910","3.750","975.66K","-2.08%"
"05/24/2026","3.840","3.820","3.880","3.770","349.73K","0.79%"
"05/21/2026","3.810","3.820","3.920","3.790","577.04K","-1.04%"
"05/20/2026","3.850","3.940","3.990","3.800","1.10M","-2.53%"
"05/19/2026","3.950","3.950","4.050","3.930","934.05K","-0.75%"
"05/18/2026","3.980","4.000","4.000","3.900","1.19M","0.51%"
"05/17/2026","3.960","4.050","4.080","3.960","1.90M","-1.25%"
"05/14/2026","4.010","4.130","4.130","4.000","3.63M","-2.67%"
"05/13/2026","4.120","4.400","4.400","4.110","3.17M","-4.63%"
"05/12/2026","4.320","4.110","4.320","4.010","4.71M","4.85%"
"05/11/2026","4.120","3.890","4.180","3.890","825.53K","0.73%"
"05/10/2026","4.090","3.990","4.140","3.960","610.98K","2.76%"
"05/06/2026","3.980","3.950","4.040","3.950","1.37M","0.25%"
"05/05/2026","3.970","4.040","4.060","3.950","617.29K","-0.75%"
"05/04/2026","4.000","4.190","4.190","3.990","2.40M","-4.53%"
"05/03/2026","4.190","4.090","4.190","4.020","1.05M","2.95%"
