"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","9.85","9.93","10.04","9.76","680.92K","-0.81%"
"06/23/2026","9.93","10.19","10.38","9.90","2.65M","-1.68%"
"06/22/2026","10.10","9.95","10.38","9.92","2.95M","2.12%"
"06/21/2026","9.89","9.80","9.90","9.76","630.23K","1.02%"
"06/17/2026","9.79","9.71","9.83","9.69","317.38K","1.03%"
"06/16/2026","9.69","9.80","9.86","9.69","417.28K","0.10%"
"06/15/2026","9.68","9.80","9.86","9.66","561.18K","-0.31%"
"06/14/2026","9.71","9.90","9.96","9.68","703.55K","0.52%"
"06/11/2026","9.66","9.40","9.83","9.38","1.17M","1.26%"
"06/10/2026","9.54","9.85","9.90","9.54","806.35K","-3.05%"
"06/09/2026","9.84","9.85","9.92","9.80","437.29K","0.00%"
"06/08/2026","9.84","9.74","9.95","9.70","463.48K","-0.81%"
"06/07/2026","9.92","10.00","10.03","9.84","941.53K","-1.00%"
"06/04/2026","10.02","10.00","10.07","9.91","665.65K","0.20%"
"06/03/2026","10.00","10.11","10.11","9.83","1.09M","0.00%"
"06/02/2026","10.00","10.18","10.22","9.96","1.82M","-1.67%"
"06/01/2026","10.17","10.17","10.27","10.00","891.46K","0.49%"
"05/25/2026","10.12","10.12","10.30","10.05","1.35M","0.80%"
"05/24/2026","10.04","9.60","10.11","9.59","1.91M","5.02%"
"05/21/2026","9.56","9.80","9.83","9.56","788.14K","-1.54%"
"05/20/2026","9.71","9.99","10.05","9.70","778.29K","-1.92%"
"05/19/2026","9.90","9.80","9.91","9.70","716.40K","2.27%"
"05/18/2026","9.68","9.73","10.00","9.61","1.41M","-0.31%"
"05/17/2026","9.71","10.18","10.18","9.60","2.37M","-4.33%"
"05/14/2026","10.15","10.26","10.39","10.08","1.34M","-0.98%"
"05/13/2026","10.25","10.39","10.56","10.25","2.12M","0.00%"
"05/12/2026","10.25","12.02","12.02","10.10","2.09M","0.49%"
"05/11/2026","10.20","10.40","10.40","10.06","4.16M","-1.92%"
"05/10/2026","10.40","10.65","10.69","10.25","3.31M","-1.89%"
"05/06/2026","10.60","10.60","11.00","10.51","8.03M","-0.09%"
"05/05/2026","10.61","10.36","10.83","10.36","10.27M","2.91%"
"05/04/2026","10.31","10.21","10.78","10.21","15.64M","2.89%"
"05/03/2026","10.02","9.32","10.09","9.32","9.36M","7.51%"
"04/30/2026","9.32","9.43","9.45","9.28","1.79M","-0.21%"
"04/29/2026","9.34","9.22","9.35","9.10","2.55M","1.08%"
"04/28/2026","9.24","9.35","9.42","9.22","1.41M","-1.18%"
"04/27/2026","9.35","9.48","9.48","9.29","1.28M","-0.53%"
"04/26/2026","9.40","9.49","9.65","9.35","4.27M","1.18%"
"04/23/2026","9.29","9.45","9.48","9.28","3.54M","-0.96%"
"04/22/2026","9.38","9.00","9.38","8.96","6.24M","4.69%"
"04/21/2026","8.96","8.90","8.98","8.85","1.43M","1.36%"
"04/20/2026","8.84","8.98","9.06","8.70","2.43M","-1.56%"
"04/19/2026","8.98","9.10","9.10","8.88","2.05M","0.22%"
"04/16/2026","8.96","9.07","9.21","8.92","2.14M","-0.67%"
"04/15/2026","9.02","9.00","9.22","8.93","3.35M","0.56%"
"04/14/2026","8.97","8.74","9.07","8.73","3.86M","2.63%"
"04/12/2026","8.74","8.69","8.74","8.74","1.15M","0.00%"
"04/09/2026","8.74","8.75","8.80","8.67","1.15M","0.58%"
"04/08/2026","8.69","8.75","8.80","8.68","857.61K","0.93%"
"04/07/2026","8.61","8.67","8.79","8.58","1.32M","-0.69%"
"04/06/2026","8.67","8.61","8.71","8.56","1.04M","0.70%"
"04/05/2026","8.61","8.65","8.69","8.57","1.01M","-0.35%"
"04/02/2026","8.64","8.68","8.74","8.56","899.23K","-1.03%"
