"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","41.50","42.53","42.94","41.30","354.60K","-2.72%"
"06/23/2026","42.66","41.95","44.79","41.18","1.47M","3.62%"
"06/22/2026","41.17","43.51","44.35","40.81","739.18K","-4.61%"
"06/21/2026","43.16","44.35","47.64","43.16","2.70M","1.22%"
"06/17/2026","42.64","35.80","42.64","35.70","3.61M","19.98%"
"06/16/2026","35.54","34.70","35.85","34.50","439.65K","3.10%"
"06/15/2026","34.47","33.99","35.19","33.99","225.09K","2.07%"
"06/14/2026","33.77","34.00","34.50","33.70","130.64K","1.35%"
"06/11/2026","33.32","33.60","34.00","33.06","232.95K","-0.83%"
"06/10/2026","33.60","35.50","35.70","33.52","255.88K","-4.36%"
"06/09/2026","35.13","33.91","35.99","33.91","651.39K","3.66%"
"06/08/2026","33.89","33.90","34.70","33.60","243.58K","-0.70%"
"06/07/2026","34.13","33.79","35.24","33.33","593.41K","1.55%"
"06/04/2026","33.61","33.41","34.18","33.06","340.16K","0.48%"
"06/03/2026","33.45","33.94","34.00","33.20","307.73K","-0.45%"
"06/02/2026","33.60","33.40","33.96","33.00","344.61K","1.97%"
"06/01/2026","32.95","32.91","33.70","32.91","141.97K","0.58%"
"05/25/2026","32.76","33.14","33.50","32.66","199.71K","-0.91%"
"05/24/2026","33.06","33.59","34.00","32.90","215.47K","-0.12%"
"05/21/2026","33.10","33.89","34.15","32.80","254.26K","-1.55%"
"05/20/2026","33.62","33.13","35.70","33.10","1.28M","1.23%"
"05/19/2026","33.21","33.50","33.75","33.02","227.13K","0.64%"
"05/18/2026","33.00","34.73","35.00","32.77","623.15K","-4.98%"
"05/17/2026","34.73","35.04","35.97","34.63","326.35K","-0.26%"
"05/14/2026","34.82","33.86","36.29","33.69","924.23K","2.84%"
"05/13/2026","33.86","33.80","34.33","33.36","414.06K","1.90%"
"05/12/2026","33.23","33.13","33.60","33.01","163.65K","0.30%"
"05/11/2026","33.13","33.70","33.99","33.02","153.51K","-1.90%"
"05/10/2026","33.77","34.00","34.25","33.71","140.48K","-0.68%"
"05/06/2026","34.00","34.00","34.70","33.80","108.11K","0.86%"
"05/05/2026","33.71","33.80","34.39","33.44","189.07K","-0.77%"
"05/04/2026","33.97","35.03","35.40","33.67","721.24K","-3.00%"
"05/03/2026","35.02","35.51","36.69","34.80","612.15K","-0.57%"
"04/30/2026","35.22","34.24","36.00","33.99","758.85K","3.96%"
"04/29/2026","33.88","33.98","34.00","33.33","123.63K","1.13%"
"04/28/2026","33.50","33.95","34.38","33.45","131.51K","0.03%"
"04/27/2026","33.49","34.80","35.49","33.37","451.08K","-3.79%"
"04/26/2026","34.81","31.95","34.88","31.50","1.00M","10.02%"
"04/23/2026","31.64","32.45","32.45","31.63","302.82K","-1.65%"
"04/22/2026","32.17","32.45","33.08","31.76","125.13K","-0.25%"
"04/21/2026","32.25","32.30","33.37","32.14","398.32K","0.34%"
"04/20/2026","32.14","32.00","32.38","31.30","297.77K","0.59%"
"04/19/2026","31.95","31.70","32.68","31.06","283.16K","0.95%"
"04/16/2026","31.65","32.29","32.32","31.50","234.67K","-1.09%"
"04/15/2026","32.00","31.47","32.25","31.10","549.48K","2.96%"
"04/14/2026","31.08","29.98","31.95","29.70","561.42K","4.75%"
"04/12/2026","29.67","29.63","29.67","29.67","119.81K","0.00%"
"04/09/2026","29.67","29.97","30.40","29.55","119.81K","0.14%"
"04/08/2026","29.63","30.00","30.05","29.51","143.42K","0.89%"
"04/07/2026","29.37","30.30","30.79","29.31","250.83K","-2.17%"
