"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","10.33","10.37","10.57","10.26","712.38K","0.19%"
"06/23/2026","10.31","10.53","10.60","10.27","805.53K","-1.34%"
"06/22/2026","10.45","9.98","10.90","9.98","6.00M","4.81%"
"06/21/2026","9.97","10.00","10.04","9.96","287.12K","0.50%"
"06/17/2026","9.92","10.10","10.10","9.90","467.56K","-0.40%"
"06/16/2026","9.96","9.90","10.20","9.80","626.09K","1.01%"
"06/15/2026","9.86","10.05","10.16","9.80","694.07K","-1.69%"
"06/14/2026","10.03","10.01","10.19","9.88","768.53K","1.62%"
"06/11/2026","9.87","10.12","10.15","9.80","486.66K","-2.47%"
"06/10/2026","10.12","10.50","10.60","10.11","789.45K","-3.44%"
"06/09/2026","10.48","10.26","10.76","10.21","2.51M","2.44%"
"06/08/2026","10.23","10.17","10.35","10.10","1.04M","0.39%"
"06/07/2026","10.19","10.33","10.35","10.18","443.80K","-0.10%"
"06/04/2026","10.20","10.38","10.39","10.12","1.02M","-0.97%"
"06/03/2026","10.30","10.44","10.66","10.23","859.39K","-0.87%"
"06/02/2026","10.39","10.25","10.51","10.20","908.12K","1.86%"
"06/01/2026","10.20","10.23","10.35","10.18","676.05K","0.39%"
"05/25/2026","10.16","10.33","10.40","10.16","949.06K","-0.59%"
"05/24/2026","10.22","10.30","10.49","10.18","690.45K","0.69%"
"05/21/2026","10.15","10.60","10.60","10.11","964.36K","-1.65%"
"05/20/2026","10.32","11.10","11.10","10.26","1.68M","-6.94%"
"05/19/2026","11.09","11.53","11.55","11.06","2.08M","-3.98%"
"05/18/2026","11.55","11.06","11.55","9.80","2.66M","4.24%"
"05/17/2026","11.08","11.29","11.36","11.05","820.76K","-1.16%"
"05/14/2026","11.21","11.30","11.37","11.19","1.04M","0.18%"
"05/13/2026","11.19","11.37","11.39","11.17","739.26K","-0.97%"
"05/12/2026","11.30","11.61","11.61","11.25","1.02M","-2.42%"
"05/11/2026","11.58","11.23","11.68","11.07","4.00M","3.12%"
"05/10/2026","11.23","11.34","11.46","11.20","1.17M","-0.09%"
"05/06/2026","11.24","11.43","11.48","11.21","1.80M","-0.44%"
"05/05/2026","11.29","11.39","11.43","11.21","1.88M","-0.18%"
"05/04/2026","11.31","11.49","11.69","11.26","3.12M","-0.79%"
"05/03/2026","11.40","11.62","11.63","11.17","2.88M","-0.87%"
"04/30/2026","11.50","11.80","11.98","11.30","4.15M","-2.13%"
