"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","2.11","2.11","2.11","2.11","","0.00%"
"06/23/2026","2.11","2.11","2.11","2.11","","0.00%"
"06/22/2026","2.11","2.11","2.11","2.11","","0.00%"
"06/21/2026","2.11","2.11","2.11","2.11","","0.00%"
"06/19/2026","2.11","2.11","2.11","2.11","","0.00%"
"06/17/2026","2.11","2.11","2.11","2.11","","0.00%"
"06/16/2026","2.11","2.11","2.11","2.11","","0.00%"
"06/15/2026","2.11","2.11","2.11","2.11","","0.00%"
"06/14/2026","2.11","2.11","2.11","2.11","","0.00%"
"06/11/2026","2.11","2.11","2.11","2.11","","0.00%"
"06/10/2026","2.11","2.11","2.11","2.11","","0.00%"
"06/09/2026","2.11","2.11","2.11","2.11","","0.00%"
"06/08/2026","2.11","2.11","2.11","2.11","","0.00%"
"06/07/2026","2.11","2.11","2.11","2.11","","0.00%"
"06/04/2026","2.11","2.11","2.11","2.11","","0.00%"
"06/03/2026","2.11","2.11","2.11","2.11","","0.00%"
"06/02/2026","2.11","2.11","2.11","2.11","","0.00%"
"06/01/2026","2.11","2.11","2.11","2.11","","0.00%"
"05/25/2026","2.11","2.11","2.11","2.11","","0.00%"
"05/24/2026","2.11","2.11","2.11","2.11","","0.00%"
"05/21/2026","2.11","2.11","2.11","2.11","","0.00%"
"05/20/2026","2.11","2.11","2.11","2.11","","0.00%"
"05/19/2026","2.11","2.11","2.11","2.11","","0.00%"
"05/18/2026","2.11","2.11","2.11","2.11","","0.00%"
"05/17/2026","2.11","2.11","2.11","2.11","","0.00%"
"05/14/2026","2.11","2.11","2.11","2.11","","0.00%"
"05/13/2026","2.11","2.11","2.11","2.11","","0.00%"
"05/12/2026","2.11","2.11","2.11","2.11","","0.00%"
"05/11/2026","2.11","2.11","2.11","2.11","","0.00%"
"05/10/2026","2.11","2.11","2.11","2.11","","0.00%"
"05/06/2026","2.11","2.11","2.11","2.11","","0.00%"
"05/05/2026","2.11","2.11","2.11","2.11","","0.00%"
"05/04/2026","2.11","2.11","2.11","2.11","","0.00%"
"05/03/2026","2.11","2.53","2.11","2.11","","0.00%"
"04/30/2026","2.11","2.11","2.11","2.11","","0.00%"
"04/29/2026","2.11","2.11","2.11","2.11","","0.00%"
"04/28/2026","2.11","2.11","2.11","2.11","","0.00%"
"04/27/2026","2.11","2.53","2.53","2.53","0.06K","0.00%"
"04/26/2026","2.11","2.11","2.11","2.11","","0.00%"
"04/23/2026","2.11","2.11","2.11","2.11","","0.00%"
"04/22/2026","2.11","2.11","2.11","2.11","","0.00%"
"04/21/2026","2.11","2.11","2.11","2.11","","0.00%"
"04/20/2026","2.11","2.11","2.11","2.11","","0.00%"
"04/19/2026","2.11","2.11","2.11","2.11","","0.00%"
"04/16/2026","2.11","2.11","2.11","2.11","","0.00%"
"04/15/2026","2.11","2.11","2.11","2.11","","0.00%"
"04/14/2026","2.11","2.11","2.11","2.11","","0.00%"
"04/12/2026","2.11","2.11","2.11","2.11","","0.00%"
"04/09/2026","2.11","2.11","2.11","2.11","","0.00%"
"04/08/2026","2.11","2.11","2.11","2.11","","0.00%"
"04/07/2026","2.11","2.11","2.11","2.11","","0.00%"
"04/06/2026","2.11","2.11","2.11","2.11","","0.00%"
"04/05/2026","2.11","2.11","2.11","2.11","","0.00%"
"04/02/2026","2.11","2.11","2.11","2.11","","0.00%"
"04/01/2026","2.11","2.11","2.11","2.11","","0.00%"
"03/31/2026","2.11","2.11","2.11","2.11","","0.00%"
"03/30/2026","2.11","2.11","2.11","2.11","","0.00%"
"03/29/2026","2.11","2.11","2.11","2.11","","0.00%"
"03/26/2026","2.11","2.11","2.11","2.11","","0.00%"
"03/25/2026","2.11","2.11","2.11","2.11","","0.00%"
"03/24/2026","2.11","2.11","2.11","2.11","","0.00%"
"03/18/2026","2.11","2.11","2.11","2.11","","0.00%"
"03/17/2026","2.11","2.11","2.11","2.11","","0.00%"
"03/16/2026","2.11","2.11","2.11","2.11","","0.00%"
"03/15/2026","2.11","2.11","2.11","2.11","","0.00%"
"03/12/2026","2.11","2.11","2.11","2.11","","0.00%"
"03/11/2026","2.11","2.11","2.11","2.11","","0.00%"
"03/10/2026","2.11","2.11","2.11","2.11","","0.00%"
"03/09/2026","2.11","2.11","2.11","2.11","","0.00%"
"03/08/2026","2.11","2.11","2.11","2.11","","0.00%"
"03/05/2026","2.11","2.11","2.11","2.11","","0.00%"
"03/04/2026","2.11","2.11","2.11","2.11","","0.00%"
"03/03/2026","2.11","2.11","2.11","2.11","","0.00%"
"03/02/2026","2.11","2.11","2.11","2.11","","0.00%"
"03/01/2026","2.11","2.11","2.11","2.11","","0.00%"
"02/26/2026","2.11","2.11","2.11","2.11","","0.00%"
