"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","3.420","3.470","3.480","3.420","996.64K","-1.16%"
"06/23/2026","3.460","3.500","3.530","3.440","1.23M","-0.86%"
"06/22/2026","3.490","3.600","3.600","3.480","1.80M","-1.69%"
"06/21/2026","3.550","3.500","3.590","3.500","1.97M","1.43%"
"06/17/2026","3.500","3.480","3.540","3.440","2.20M","1.16%"
"06/16/2026","3.460","3.470","3.490","3.430","4.38M","-0.29%"
"06/15/2026","3.470","3.520","3.580","3.470","1.75M","0.00%"
"06/14/2026","3.470","3.500","3.520","3.420","1.73M","1.46%"
"06/11/2026","3.420","3.560","3.560","3.400","2.07M","-3.93%"
"06/10/2026","3.560","3.640","3.660","3.530","5.48M","-1.39%"
"06/09/2026","3.610","3.650","3.720","3.600","5.20M","-0.55%"
"06/08/2026","3.630","3.650","3.690","3.600","3.80M","-1.09%"
"06/07/2026","3.670","3.700","3.740","3.650","6.75M","0.27%"
"06/04/2026","3.660","3.620","3.700","3.600","5.50M","1.10%"
"06/03/2026","3.620","3.680","3.700","3.610","2.84M","-1.09%"
"06/02/2026","3.660","3.590","3.730","3.590","9.90M","1.95%"
"06/01/2026","3.590","3.520","3.640","3.520","2.86M","1.99%"
"05/25/2026","3.520","3.550","3.550","3.500","1.09M","0.00%"
"05/24/2026","3.520","3.540","3.590","3.500","1.01M","0.28%"
"05/21/2026","3.510","3.500","3.520","3.400","2.13M","1.45%"
"05/20/2026","3.460","3.590","3.640","3.450","2.35M","-2.81%"
"05/19/2026","3.560","3.570","3.600","3.550","1.33M","0.28%"
"05/18/2026","3.550","3.650","3.660","3.550","4.39M","-2.47%"
"05/17/2026","3.640","3.660","3.690","3.630","2.95M","-0.27%"
"05/14/2026","3.650","3.690","3.710","3.640","3.30M","-1.08%"
"05/13/2026","3.690","3.740","3.750","3.650","2.64M","-0.54%"
"05/12/2026","3.710","3.670","3.800","3.620","9.45M","1.64%"
"05/11/2026","3.650","3.700","3.740","3.640","5.32M","-0.54%"
"05/10/2026","3.670","3.650","3.740","3.610","10.14M","2.23%"
"05/06/2026","3.590","3.550","3.590","3.530","2.63M","1.70%"
"05/05/2026","3.530","3.550","3.610","3.490","4.73M","-0.84%"
"05/04/2026","3.560","3.530","3.570","3.460","3.79M","1.42%"
"05/03/2026","3.510","3.500","3.570","3.450","3.74M","0.29%"
"04/30/2026","3.500","3.510","3.550","3.440","3.23M","-0.85%"
"04/29/2026","3.530","3.550","3.570","3.510","2.85M","-0.28%"
"04/28/2026","3.540","3.470","3.620","3.460","11.67M","2.02%"
"04/27/2026","3.470","3.540","3.540","3.470","2.46M","-0.86%"
"04/26/2026","3.500","3.490","3.500","3.420","3.67M","1.16%"
"04/23/2026","3.460","3.490","3.540","3.450","2.81M","-0.57%"
"04/22/2026","3.480","3.540","3.550","3.460","3.32M","-0.85%"
"04/21/2026","3.510","3.700","3.700","3.510","11.82M","-1.68%"
"04/20/2026","3.570","3.440","3.570","3.410","14.16M","4.08%"
"04/19/2026","3.430","3.420","3.500","3.410","2.84M","0.88%"
"04/16/2026","3.400","3.410","3.500","3.390","6.21M","0.29%"
"04/15/2026","3.390","3.480","3.490","3.370","3.77M","-1.45%"
"04/14/2026","3.440","3.410","3.520","3.390","10.15M","2.99%"
"04/12/2026","3.340","3.220","3.340","3.340","10.29M","0.00%"
"04/09/2026","3.340","3.240","3.400","3.230","10.29M","3.73%"
"04/08/2026","3.220","3.200","3.230","3.180","2.69M","1.90%"
"04/07/2026","3.160","3.180","3.220","3.160","2.69M","0.00%"
"04/06/2026","3.160","3.170","3.270","3.150","6.59M","0.00%"
"04/05/2026","3.160","3.180","3.230","3.150","2.06M","-0.32%"
"04/02/2026","3.170","3.140","3.250","3.110","2.94M","1.60%"
"04/01/2026","3.120","3.120","3.150","3.110","1.52M","0.65%"
"03/31/2026","3.100","3.140","3.170","3.090","1.27M","-1.27%"
"03/30/2026","3.140","3.210","3.230","3.090","2.92M","-1.87%"
"03/29/2026","3.200","3.250","3.310","3.180","2.72M","-1.84%"
"03/26/2026","3.260","3.340","3.370","3.250","3.21M","-2.10%"
"03/25/2026","3.330","3.230","3.370","3.230","3.87M","3.10%"
"03/24/2026","3.230","3.270","3.300","3.220","1.99M","-0.92%"
"03/18/2026","3.260","3.280","3.340","3.240","2.67M","0.62%"
"03/17/2026","3.240","3.210","3.270","3.210","1.41M","1.25%"
"03/16/2026","3.200","3.270","3.280","3.180","919.91K","-1.84%"
"03/15/2026","3.260","3.350","3.390","3.250","2.04M","-1.81%"
"03/12/2026","3.320","3.300","3.430","3.270","8.07M","1.22%"
"03/11/2026","3.280","3.280","3.320","3.270","1.79M","0.92%"
"03/10/2026","3.250","3.240","3.340","3.240","2.00M","0.62%"
"03/09/2026","3.230","3.220","3.320","3.190","3.73M","0.94%"
"03/08/2026","3.200","3.260","3.270","3.200","2.21M","-1.23%"
"03/05/2026","3.240","3.100","3.360","3.090","9.42M","5.19%"
"03/04/2026","3.080","3.110","3.150","3.010","1.83M","-0.65%"
"03/03/2026","3.100","3.130","3.130","3.020","1.66M","0.65%"
"03/02/2026","3.080","3.150","3.200","3.060","2.47M","-0.65%"
"03/01/2026","3.100","2.910","3.100","2.800","2.76M","-2.82%"
"02/26/2026","3.190","3.290","3.290","3.130","3.77M","-1.54%"
"02/25/2026","3.240","3.480","3.490","3.200","3.40M","-6.09%"
"02/24/2026","3.450","3.480","3.520","3.440","3.05M","-0.58%"
"02/23/2026","3.470","3.450","3.540","3.430","3.68M","1.46%"
"02/22/2026","3.420","3.550","3.620","3.380","2.57M","-2.84%"
"02/19/2026","3.520","3.700","3.760","3.520","4.11M","-4.61%"
"02/18/2026","3.690","3.590","3.790","3.580","12.90M","3.65%"
"02/17/2026","3.560","3.510","3.600","3.470","3.65M","1.71%"
"02/16/2026","3.500","3.590","3.630","3.480","2.70M","-2.51%"
"02/15/2026","3.590","3.590","3.650","3.580","1.89M","0.56%"
"02/12/2026","3.570","3.620","3.670","3.560","2.79M","-1.11%"
"02/11/2026","3.610","3.680","3.720","3.570","3.96M","-1.90%"
"02/10/2026","3.680","3.690","3.740","3.660","2.64M","0.00%"
"02/09/2026","3.680","3.750","3.750","3.680","2.77M","-0.81%"
"02/08/2026","3.710","3.800","3.850","3.710","7.13M","-1.59%"
