"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","46.70","46.55","47.25","46.16","95.66K","0.32%"
"06/23/2026","46.55","47.25","47.85","46.11","100.50K","-1.48%"
"06/22/2026","47.25","48.05","48.50","47.02","217.38K","-1.15%"
"06/21/2026","47.80","48.49","49.50","47.60","366.20K","-0.38%"
"06/17/2026","47.98","47.40","49.00","47.00","278.29K","2.22%"
"06/16/2026","46.94","47.74","47.74","46.31","77.14K","-0.04%"
"06/15/2026","46.96","47.90","47.99","46.80","71.66K","-1.18%"
"06/14/2026","47.52","47.45","47.90","46.50","146.00K","1.76%"
"06/11/2026","46.70","46.56","47.30","46.00","573.23K","0.39%"
"06/10/2026","46.52","47.65","47.74","46.00","263.28K","-2.06%"
"06/09/2026","47.50","46.00","47.88","45.81","481.82K","3.42%"
"06/08/2026","45.93","45.67","46.22","45.45","103.42K","0.57%"
"06/07/2026","45.67","46.58","46.66","45.50","173.27K","-1.91%"
"06/04/2026","46.56","45.83","46.58","45.00","740.82K","2.11%"
"06/03/2026","45.60","44.35","45.88","44.35","509.77K","3.17%"
"06/02/2026","44.20","44.26","44.88","44.17","201.83K","-0.16%"
"06/01/2026","44.27","45.00","45.00","44.03","117.43K","-1.47%"
"05/25/2026","44.93","44.00","44.97","43.60","578.65K","3.00%"
"05/24/2026","43.62","44.40","44.50","43.40","168.72K","-1.80%"
"05/21/2026","44.42","44.30","44.90","43.80","90.08K","0.16%"
"05/20/2026","44.35","44.55","44.90","43.50","250.86K","-0.34%"
"05/19/2026","44.50","44.11","45.10","44.11","454.00K","0.02%"
"05/18/2026","44.49","44.87","45.60","44.10","224.60K","-0.85%"
"05/17/2026","44.87","45.30","45.88","44.86","697.22K","-2.20%"
"05/14/2026","45.88","45.50","46.25","44.85","501.06K","1.21%"
"05/13/2026","45.33","44.46","45.45","44.30","537.79K","1.96%"
"05/12/2026","44.46","44.98","45.26","44.38","381.43K","-0.56%"
"05/11/2026","44.71","44.50","45.25","44.18","1.20M","0.47%"
"05/10/2026","44.50","44.07","44.90","43.95","916.91K","0.98%"
"05/06/2026","44.07","44.54","44.54","43.70","288.90K","-1.06%"
"05/05/2026","44.54","44.49","44.70","43.15","292.75K","1.23%"
"05/04/2026","44.00","44.31","44.70","44.00","523.24K","-0.68%"
"05/03/2026","44.30","44.20","44.98","44.00","511.88K","0.54%"
"04/30/2026","44.06","44.01","44.70","44.00","843.57K","0.11%"
"04/29/2026","44.01","44.71","44.96","43.93","654.58K","-1.48%"
"04/28/2026","44.67","43.51","46.49","43.50","940.71K","2.69%"
"04/27/2026","43.50","43.95","44.00","43.43","263.77K","0.00%"
"04/26/2026","43.50","43.65","43.94","43.00","884.34K","-0.21%"
"04/23/2026","43.59","42.50","43.85","42.50","954.82K","2.56%"
"04/22/2026","42.50","42.97","42.97","42.40","321.16K","0.00%"
"04/21/2026","42.50","42.90","43.06","42.41","426.14K","-0.38%"
"04/20/2026","42.66","42.91","43.06","42.60","186.55K","-0.58%"
"04/19/2026","42.91","43.50","43.94","42.44","1.12M","-0.79%"
"04/16/2026","43.25","41.70","43.49","41.50","876.84K","3.87%"
"04/15/2026","41.64","41.60","42.15","41.60","466.06K","0.10%"
"04/14/2026","41.60","41.72","42.19","41.20","356.84K","-0.34%"
"04/12/2026","41.74","41.86","41.74","41.74","426.76K","0.00%"
"04/09/2026","41.74","41.97","42.58","41.36","426.76K","-0.29%"
"04/08/2026","41.86","41.98","41.99","41.45","212.21K","1.63%"
"04/07/2026","41.19","41.60","41.69","41.12","202.55K","-0.41%"
"04/06/2026","41.36","41.25","42.15","41.25","575.44K","-0.05%"
"04/05/2026","41.38","40.80","41.50","40.80","341.09K","1.77%"
"04/02/2026","40.66","41.34","41.50","40.52","376.19K","-0.83%"
"04/01/2026","41.00","40.77","41.50","40.12","1.14M","2.45%"
"03/31/2026","40.02","40.10","40.45","39.90","1.23M","-0.42%"
"03/30/2026","40.19","40.10","41.00","39.85","720.73K","0.47%"
"03/29/2026","40.00","40.45","41.99","39.80","2.36M","-0.40%"
"03/26/2026","40.16","41.20","41.20","40.01","384.09K","-2.29%"
"03/25/2026","41.10","38.56","42.19","38.55","3.77M","6.64%"
"03/24/2026","38.54","39.20","39.45","38.51","393.42K","0.10%"
"03/18/2026","38.50","38.00","39.00","38.00","500.62K","1.32%"
"03/17/2026","38.00","38.47","38.47","37.50","666.16K","0.98%"
"03/16/2026","37.63","39.00","39.28","37.60","631.25K","-1.88%"
"03/15/2026","38.35","38.38","39.55","38.01","513.84K","-0.39%"
"03/12/2026","38.50","37.89","38.70","37.89","275.12K","1.34%"
"03/11/2026","37.99","37.49","38.38","36.85","413.04K","3.21%"
"03/10/2026","36.81","37.40","37.97","36.73","386.87K","-0.46%"
"03/09/2026","36.98","38.43","38.79","36.71","361.79K","-2.86%"
