"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","9.420","9.060","9.480","9.050","11.36M","4.32%"
"06/23/2026","9.030","9.120","9.350","9.000","5.24M","-0.77%"
"06/22/2026","9.100","9.300","9.300","9.100","3.53M","-1.52%"
"06/21/2026","9.240","9.420","9.590","9.180","8.78M","-1.60%"
"06/17/2026","9.390","9.090","9.410","9.020","13.55M","4.10%"
"06/16/2026","9.020","9.240","9.290","9.000","9.37M","-1.53%"
"06/15/2026","9.160","8.680","9.170","8.560","22.86M","8.27%"
"06/14/2026","8.460","8.570","8.650","8.350","2.03M","1.68%"
"06/11/2026","8.320","8.460","8.480","8.110","2.28M","-1.77%"
"06/10/2026","8.470","8.700","8.770","8.410","3.27M","-2.42%"
"06/09/2026","8.680","8.750","8.900","8.680","3.31M","-0.12%"
"06/08/2026","8.690","9.010","9.080","8.660","6.79M","-3.87%"
"06/07/2026","9.040","9.230","9.300","9.030","2.91M","-2.06%"
"06/04/2026","9.230","9.360","9.470","9.160","6.28M","-0.97%"
"06/03/2026","9.320","9.660","9.720","9.310","6.42M","-3.12%"
"06/02/2026","9.620","9.650","9.870","9.510","9.20M","0.31%"
"06/01/2026","9.590","9.300","9.610","9.300","7.41M","4.24%"
"05/25/2026","9.200","9.360","9.400","9.200","6.33M","-1.18%"
"05/24/2026","9.310","9.330","9.400","9.190","4.57M","1.31%"
"05/21/2026","9.190","9.290","9.440","9.150","10.31M","0.44%"
"05/20/2026","9.150","9.640","9.810","9.150","13.31M","-4.09%"
"05/19/2026","9.540","9.370","9.800","9.370","17.71M","2.58%"
"05/18/2026","9.300","9.370","9.600","9.160","17.92M","-0.43%"
"05/17/2026","9.340","9.150","9.850","9.120","30.48M","3.78%"
"05/14/2026","9.000","8.820","9.100","8.750","16.22M","2.86%"
"05/13/2026","8.750","8.500","8.940","8.410","19.78M","4.04%"
"05/12/2026","8.410","8.500","8.640","8.330","8.47M","-0.36%"
"05/11/2026","8.440","8.790","8.960","8.410","13.33M","-2.31%"
"05/10/2026","8.640","8.350","8.720","7.980","41.05M","4.10%"
"05/06/2026","8.300","8.900","9.060","8.250","17.25M","-6.21%"
"05/05/2026","8.850","9.000","9.340","8.660","20.39M","-1.56%"
"05/04/2026","8.990","9.670","10.150","8.820","43.42M","-3.85%"
"05/03/2026","9.350","8.110","9.360","8.000","50.58M","19.87%"
"04/30/2026","7.800","7.350","7.960","7.290","23.25M","6.41%"
"04/29/2026","7.330","7.490","7.880","7.150","21.86M","-1.61%"
"04/28/2026","7.450","6.660","7.850","6.600","32.71M","13.05%"
"04/27/2026","6.590","6.620","6.710","6.490","6.79M","0.00%"
