"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","0.434","0.429","0.441","0.425","53.88M","2.12%"
"06/23/2026","0.425","0.450","0.451","0.424","77.11M","-4.28%"
"06/22/2026","0.444","0.462","0.465","0.444","45.57M","-3.06%"
"06/21/2026","0.458","0.454","0.477","0.446","186.09M","1.10%"
"06/17/2026","0.453","0.422","0.455","0.421","305.26M","8.37%"
"06/16/2026","0.418","0.409","0.422","0.406","32.64M","3.21%"
"06/15/2026","0.405","0.410","0.413","0.403","6.18M","-0.74%"
"06/14/2026","0.408","0.409","0.413","0.404","9.40M","2.00%"
"06/11/2026","0.400","0.414","0.414","0.400","25.99M","-3.61%"
"06/10/2026","0.415","0.425","0.427","0.415","25.22M","-1.66%"
"06/09/2026","0.422","0.425","0.430","0.418","34.53M","0.96%"
"06/08/2026","0.418","0.428","0.443","0.418","78.73M","-2.34%"
"06/07/2026","0.428","0.420","0.432","0.416","50.56M","2.15%"
"06/04/2026","0.419","0.414","0.430","0.412","72.49M","1.95%"
"06/03/2026","0.411","0.420","0.425","0.411","43.82M","-1.67%"
"06/02/2026","0.418","0.430","0.431","0.414","69.77M","-1.65%"
"06/01/2026","0.425","0.418","0.436","0.416","91.13M","2.91%"
"05/25/2026","0.413","0.389","0.427","0.388","190.59M","6.72%"
"05/24/2026","0.387","0.390","0.391","0.386","11.89M","0.00%"
"05/21/2026","0.387","0.391","0.395","0.386","12.45M","-1.02%"
"05/20/2026","0.391","0.408","0.413","0.391","49.07M","-3.46%"
"05/19/2026","0.405","0.388","0.418","0.386","209.60M","5.19%"
"05/18/2026","0.385","0.389","0.391","0.384","22.29M","-1.28%"
"05/17/2026","0.390","0.393","0.401","0.389","51.84M","0.00%"
"05/14/2026","0.390","0.385","0.393","0.381","64.35M","1.30%"
"05/13/2026","0.385","0.387","0.393","0.384","29.78M","0.26%"
"05/12/2026","0.384","0.386","0.389","0.383","14.02M","-0.26%"
"05/11/2026","0.385","0.397","0.400","0.383","41.26M","-2.53%"
"05/10/2026","0.395","0.393","0.404","0.390","55.79M","1.28%"
"05/06/2026","0.390","0.392","0.395","0.385","51.82M","0.26%"
"05/05/2026","0.389","0.392","0.397","0.381","23.23M","-0.77%"
"05/04/2026","0.392","0.394","0.401","0.391","24.30M","-0.25%"
"05/03/2026","0.393","0.401","0.404","0.391","44.52M","-1.01%"
"04/30/2026","0.397","0.401","0.415","0.397","92.28M","0.25%"
"04/29/2026","0.396","0.391","0.407","0.386","114.76M","1.54%"
"04/28/2026","0.390","0.380","0.410","0.380","259.38M","6.27%"
"04/27/2026","0.367","0.358","0.372","0.350","36.07M","3.67%"
"04/26/2026","0.354","0.355","0.361","0.353","17.67M","0.28%"
"04/23/2026","0.353","0.356","0.356","0.347","22.92M","0.00%"
"04/22/2026","0.353","0.360","0.362","0.353","17.48M","-1.40%"
"04/21/2026","0.358","0.347","0.369","0.344","121.25M","4.37%"
"04/20/2026","0.343","0.345","0.348","0.341","28.31M","0.29%"
"04/19/2026","0.342","0.341","0.345","0.341","19.41M","0.29%"
"04/16/2026","0.341","0.342","0.343","0.340","9.34M","0.29%"
"04/15/2026","0.340","0.339","0.343","0.339","15.41M","0.29%"
"04/14/2026","0.339","0.338","0.340","0.336","6.86M","0.59%"
"04/12/2026","0.337","0.336","0.337","0.337","29.98M","0.00%"
"04/09/2026","0.337","0.336","0.345","0.335","29.98M","0.30%"
"04/08/2026","0.336","0.336","0.338","0.334","10.09M","0.90%"
"04/07/2026","0.333","0.333","0.336","0.332","8.00M","0.60%"
