"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","5.98","6.00","6.60","5.73","3.92M","-1.97%"
"06/23/2026","6.10","5.28","6.32","5.05","4.24M","15.75%"
"06/22/2026","5.27","5.35","5.35","5.25","320.28K","-1.31%"
"06/21/2026","5.34","5.44","5.49","5.31","245.03K","-1.84%"
"06/17/2026","5.44","5.48","5.51","5.31","194.11K","0.37%"
"06/16/2026","5.42","5.57","5.57","5.23","410.92K","-2.34%"
"06/15/2026","5.55","5.62","5.67","5.53","224.31K","-0.72%"
"06/14/2026","5.59","5.60","5.70","5.51","855.30K","0.00%"
"06/11/2026","5.59","5.41","5.60","5.02","757.86K","2.57%"
"06/10/2026","5.45","5.57","5.62","5.43","407.19K","-1.98%"
"06/09/2026","5.56","5.60","5.75","5.54","419.95K","-0.54%"
"06/08/2026","5.59","5.86","5.91","5.52","1.11M","-3.95%"
"06/07/2026","5.82","6.10","6.13","5.80","988.35K","-5.06%"
"06/04/2026","6.13","6.24","6.25","5.80","2.03M","-2.70%"
"06/03/2026","6.30","6.16","6.84","5.86","3.17M","-0.94%"
"06/02/2026","6.36","7.00","7.18","6.29","1.34M","-3.64%"
"06/01/2026","6.60","6.60","6.60","6.06","1.61M","10.00%"
"05/25/2026","6.00","6.00","6.00","6.00","504.42K","9.89%"
"05/24/2026","5.46","5.11","5.46","5.11","1.63M","9.86%"
"05/21/2026","4.97","4.59","4.97","4.39","708.97K","9.96%"
"05/20/2026","4.52","4.85","4.89","4.43","381.73K","-6.61%"
"05/19/2026","4.84","4.86","4.95","4.76","178.88K","-0.41%"
"05/18/2026","4.86","4.80","4.97","4.78","268.66K","1.46%"
"05/17/2026","4.79","4.80","4.85","4.70","111.45K","-0.62%"
"05/14/2026","4.82","4.89","4.89","4.70","110.90K","-0.82%"
"05/13/2026","4.86","4.96","4.96","4.82","135.86K","-1.42%"
"05/12/2026","4.93","4.96","4.97","4.87","105.04K","0.41%"
"05/11/2026","4.91","4.92","4.99","4.86","143.66K","-0.61%"
"05/10/2026","4.94","5.04","5.04","4.92","157.88K","-0.40%"
"05/06/2026","4.96","5.01","5.05","4.82","96.68K","-1.20%"
"05/05/2026","5.02","5.00","5.08","4.91","154.46K","-1.57%"
"05/04/2026","5.10","4.98","5.13","4.91","540.71K","3.24%"
"05/03/2026","4.94","4.92","4.97","4.86","192.90K","0.82%"
"04/30/2026","4.90","5.00","5.00","4.86","225.07K","-1.80%"
"04/29/2026","4.99","5.00","5.03","4.94","226.75K","0.40%"
"04/28/2026","4.97","5.00","5.07","4.95","206.80K","-0.40%"
"04/27/2026","4.99","5.10","5.17","4.96","289.05K","-1.96%"
"04/26/2026","5.09","5.09","5.27","5.00","302.30K","0.99%"
"04/23/2026","5.04","5.10","5.15","4.94","245.78K","-1.18%"
