"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","72.01","73.42","73.42","71.00","4.10K","-1.93%"
"06/23/2026","73.43","75.05","76.90","68.50","13.27K","-2.86%"
"06/22/2026","75.59","77.00","78.92","75.02","6.02K","-1.91%"
"06/21/2026","77.06","79.60","80.49","77.00","13.24K","-2.76%"
"06/17/2026","79.25","79.86","80.50","78.12","6.50K","-1.16%"
"06/16/2026","80.18","81.00","81.80","80.00","5.81K","-0.32%"
"06/15/2026","80.44","81.90","81.99","80.01","6.29K","-1.61%"
"06/14/2026","81.76","82.00","82.45","80.11","2.61K","1.10%"
"06/11/2026","80.87","82.62","83.00","80.05","7.23K","-2.12%"
"06/10/2026","82.62","82.90","83.90","81.18","4.81K","-0.67%"
"06/09/2026","83.18","83.50","84.20","82.81","6.24K","-0.20%"
"06/08/2026","83.35","83.50","84.56","82.75","4.05K","0.26%"
"06/07/2026","83.13","85.39","85.98","83.00","12.50K","-1.91%"
"06/04/2026","84.75","86.50","86.50","82.06","3.53K","0.34%"
"06/03/2026","84.46","88.45","88.45","81.00","11.35K","-3.55%"
"06/02/2026","87.57","88.05","89.75","86.01","2.49K","-2.03%"
"06/01/2026","89.38","85.00","92.00","80.00","17.69K","4.71%"
"05/25/2026","85.36","86.16","87.00","85.02","7.78K","0.20%"
"05/24/2026","85.19","86.29","87.50","85.00","6.02K","-1.27%"
"05/21/2026","86.29","87.00","87.98","86.00","3.58K","-1.47%"
"05/20/2026","87.58","87.00","89.00","86.88","7.64K","1.90%"
"05/19/2026","85.95","88.84","88.84","85.50","6.64K","-3.32%"
"05/18/2026","88.90","90.99","92.10","87.00","8.48K","-1.89%"
"05/17/2026","90.61","91.60","92.00","90.50","9.48K","-0.45%"
"05/14/2026","91.02","91.71","93.00","90.90","8.47K","-0.73%"
"05/13/2026","91.69","91.75","95.00","91.01","6.51K","0.56%"
"05/12/2026","91.18","90.89","92.00","90.50","9.76K","0.67%"
"05/11/2026","90.57","90.67","91.37","90.20","11.91K","-0.11%"
"05/10/2026","90.67","90.30","91.95","90.30","9.40K","-1.35%"
"05/06/2026","91.91","91.99","92.49","90.10","12.65K","-0.09%"
"05/05/2026","91.99","92.50","92.60","90.02","15.49K","-0.81%"
"05/04/2026","92.74","94.50","95.38","92.50","15.38K","-2.79%"
"05/03/2026","95.40","95.99","96.89","91.25","18.94K","2.11%"
"04/30/2026","93.43","94.00","94.00","92.60","20.00K","-0.65%"
"04/29/2026","94.04","96.40","96.99","93.26","44.31K","-3.69%"
"04/28/2026","97.64","98.00","98.50","93.63","42.82K","0.86%"
"04/27/2026","96.81","91.55","100.50","91.50","95.38K","5.78%"
"04/26/2026","91.52","95.65","95.65","86.32","39.64K","-4.31%"
"04/23/2026","95.64","96.50","97.00","94.00","50.10K","-1.40%"
"04/22/2026","97.00","98.95","99.50","95.51","46.02K","-1.09%"
"04/21/2026","98.07","99.00","104.99","96.56","87.44K","-0.72%"
"04/20/2026","98.78","103.98","103.98","98.15","51.58K","-3.34%"
"04/19/2026","102.19","106.75","109.99","102.00","103.74K","-1.18%"
"04/16/2026","103.41","95.88","103.41","93.55","85.45K","10.00%"
"04/15/2026","94.01","98.27","99.80","93.10","46.36K","-4.33%"
"04/14/2026","98.27","97.80","103.25","95.20","128.76K","4.69%"
"04/12/2026","93.87","85.34","93.87","93.87","82.50K","0.00%"
"04/09/2026","93.87","85.23","93.87","85.10","82.50K","10.00%"
"04/08/2026","85.34","87.87","89.00","85.00","44.58K","-1.61%"
"04/07/2026","86.74","88.47","90.95","86.05","25.91K","-1.57%"
"04/06/2026","88.12","91.79","91.79","87.01","25.10K","-2.28%"
"04/05/2026","90.18","91.40","92.60","90.13","17.89K","-1.33%"
"04/02/2026","91.40","92.00","95.70","88.89","54.04K","0.43%"
"04/01/2026","91.01","95.99","95.99","90.40","33.66K","-3.36%"
"03/31/2026","94.17","97.50","99.49","94.00","43.40K","-3.31%"
"03/30/2026","97.39","102.40","106.50","96.52","69.82K","-2.48%"
"03/29/2026","99.87","104.02","108.68","98.00","40.49K","-5.65%"
"03/26/2026","105.85","109.00","115.00","104.02","121.85K","-1.84%"
"03/25/2026","107.83","100.50","107.83","91.30","179.22K","10.00%"
"03/24/2026","98.03","97.33","118.95","97.33","200.64K","-9.35%"
"03/18/2026","108.14","108.14","108.14","108.14","1.54K","-10.00%"
"03/17/2026","120.15","120.15","120.15","120.15","2.03K","-9.99%"
"03/16/2026","133.49","120.15","120.15","120.15","0.95K","0.00%"
"03/15/2026","133.49","133.49","133.49","133.49","2.38K","-10.00%"
"03/12/2026","148.32","148.32","148.32","148.32","6.67K","-9.99%"
"03/11/2026","164.79","190.00","201.41","164.79","39.47K","-10.00%"
"03/10/2026","183.10","183.10","183.10","183.10","3.61K","10.00%"
"03/09/2026","166.46","166.46","166.46","166.46","4.13K","10.00%"
"03/08/2026","151.33","151.33","151.33","151.33","4.96K","9.99%"
"03/05/2026","137.58","137.54","137.58","125.08","66.03K","9.99%"
"03/04/2026","125.08","125.08","125.08","125.08","3.15K","10.00%"
"03/03/2026","113.71","113.71","113.71","113.71","3.54K","9.99%"
"03/02/2026","103.38","103.38","103.38","103.38","1.47K","9.99%"
"03/01/2026","93.99","85.45","93.99","85.45","24.29K","9.99%"
"02/26/2026","85.45","85.45","85.45","84.45","17.95K","9.99%"
"02/25/2026","77.69","77.69","77.69","77.69","2.30K","10.00%"
"02/24/2026","70.63","70.63","70.63","70.63","3.36K","10.00%"
"02/23/2026","64.21","64.21","64.21","64.21","9.34K","9.99%"
"02/22/2026","58.38","58.38","58.38","48.48","22.64K","9.98%"
"02/19/2026","53.08","48.36","53.08","45.50","24.11K","9.99%"
"02/18/2026","48.26","48.36","48.36","47.50","9.22K","9.76%"
