"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","9.82","9.72","9.84","9.70","35.55K","0.20%"
"06/23/2026","9.80","9.66","9.86","9.64","59.65K","0.62%"
"06/22/2026","9.74","9.71","9.78","9.51","65.18K","0.83%"
"06/21/2026","9.66","9.63","9.83","9.63","27.02K","0.73%"
"06/17/2026","9.59","9.77","9.83","9.51","36.32K","-1.84%"
"06/16/2026","9.77","10.11","10.12","9.65","20.82K","-1.11%"
"06/15/2026","9.88","9.93","10.20","9.51","65.29K","-2.37%"
"06/14/2026","10.12","10.46","10.94","9.90","88.99K","-1.17%"
"06/11/2026","10.24","10.87","10.88","10.07","34.83K","-2.94%"
"06/10/2026","10.55","10.60","11.15","10.20","168.55K","4.04%"
"06/09/2026","10.14","10.67","10.97","9.28","57.99K","-1.17%"
"06/08/2026","10.26","11.12","11.30","10.00","75.17K","-7.57%"
"06/07/2026","11.10","11.49","11.49","10.90","83.84K","-3.39%"
"06/04/2026","11.49","10.35","11.70","10.02","96.50K","7.99%"
"06/03/2026","10.64","9.50","10.71","9.50","78.14K","9.24%"
"06/02/2026","9.74","9.58","9.76","9.35","66.04K","1.46%"
"06/01/2026","9.60","9.40","9.60","9.10","30.92K","5.03%"
"05/25/2026","9.14","9.50","9.50","9.03","27.21K","-5.58%"
"05/24/2026","9.68","9.60","9.75","9.45","122.88K","0.31%"
"05/21/2026","9.65","9.62","9.75","9.33","141.84K","0.10%"
"05/20/2026","9.64","9.20","9.68","9.20","119.78K","3.99%"
"05/19/2026","9.27","9.53","9.55","8.61","46.19K","-2.01%"
"05/18/2026","9.46","9.25","9.53","9.00","44.50K","2.16%"
"05/17/2026","9.26","9.51","9.52","9.16","40.46K","-0.64%"
"05/14/2026","9.32","9.01","9.58","9.01","190.67K","0.98%"
"05/13/2026","9.23","9.12","9.37","8.61","136.57K","-1.39%"
"05/12/2026","9.36","9.12","9.37","9.05","113.08K","3.08%"
"05/11/2026","9.08","8.86","9.37","8.72","160.37K","4.13%"
"05/10/2026","8.72","8.81","8.96","8.63","66.03K","0.93%"
"05/06/2026","8.64","8.70","8.90","8.60","99.23K","-0.58%"
"05/05/2026","8.69","9.20","9.20","8.60","99.58K","-6.16%"
"05/04/2026","9.26","9.17","9.70","8.90","88.71K","0.98%"
"05/03/2026","9.17","8.55","9.17","8.55","227.72K","9.95%"
"04/30/2026","8.34","8.82","9.00","7.86","45.33K","-4.47%"
"04/29/2026","8.73","8.83","8.83","8.71","21.20K","-0.91%"
"04/28/2026","8.81","8.83","8.89","8.70","9.24K","0.00%"
"04/27/2026","8.81","8.72","8.84","8.70","12.10K","0.00%"
"04/26/2026","8.81","8.90","8.90","8.70","17.13K","0.00%"
"04/23/2026","8.81","8.94","8.96","8.70","32.69K","-1.67%"
"04/22/2026","8.96","8.88","9.00","8.68","79.65K","1.47%"
"04/21/2026","8.83","8.60","9.00","8.60","26.55K","3.88%"
"04/20/2026","8.50","8.80","9.30","8.50","269.95K","-3.52%"
"04/19/2026","8.81","9.09","9.20","8.80","85.95K","-2.76%"
"04/16/2026","9.06","9.05","9.38","8.90","95.72K","5.59%"
"04/15/2026","8.58","8.51","9.08","8.50","161.26K","0.59%"
"04/14/2026","8.53","8.74","8.80","8.48","19.74K","-1.61%"
"04/12/2026","8.67","8.90","8.67","8.67","40.67K","0.00%"
"04/09/2026","8.67","8.71","8.83","8.62","40.67K","-2.58%"
"04/08/2026","8.90","8.55","8.86","8.55","5.77K","0.00%"
"04/07/2026","8.90","8.89","8.89","8.47","5.98K","0.00%"
"04/06/2026","8.90","8.90","8.90","8.30","15.30K","0.00%"
"04/05/2026","8.90","8.93","8.96","8.70","10.04K","0.00%"
"04/02/2026","8.90","8.75","9.00","8.38","32.95K","3.85%"
"04/01/2026","8.57","8.68","8.80","8.24","30.38K","-1.38%"
"03/31/2026","8.69","8.60","8.60","8.24","4.03K","0.00%"
"03/30/2026","8.69","8.66","8.86","8.24","6.20K","0.00%"
"03/29/2026","8.69","8.68","8.85","8.66","1.55K","0.00%"
"03/26/2026","8.69","8.89","8.89","8.66","31.12K","-2.58%"
"03/25/2026","8.92","8.98","8.98","8.70","2.03K","0.00%"
"03/24/2026","8.92","8.80","9.04","8.68","10.18K","0.00%"
"03/18/2026","8.92","9.09","9.09","8.66","9.06K","0.00%"
"03/17/2026","8.92","8.62","9.10","8.60","3.84K","0.00%"
"03/16/2026","8.92","8.75","9.15","8.60","23.82K","0.11%"
"03/15/2026","8.91","8.81","9.18","8.75","7.11K","0.00%"
"03/12/2026","8.91","8.68","9.25","8.68","15.11K","0.00%"
"03/11/2026","8.91","9.00","9.10","8.64","71.20K","-1.00%"
"03/10/2026","9.00","9.10","9.20","9.00","68.77K","0.11%"
"03/09/2026","8.99","8.63","9.00","8.62","34.86K","0.33%"
"03/08/2026","8.96","8.66","9.00","8.61","93.69K","-0.44%"
"03/05/2026","9.00","8.65","8.98","8.63","2.47K","0.00%"
"03/04/2026","9.00","8.80","9.00","8.55","15.63K","0.00%"
"03/03/2026","9.00","8.72","8.97","8.53","9.61K","0.00%"
"03/02/2026","9.00","8.80","8.99","8.70","10.00K","0.00%"
"03/01/2026","9.00","8.59","9.00","8.10","468.02K","0.00%"
"02/26/2026","9.00","9.00","9.01","8.89","26.29K","-2.39%"
"02/25/2026","9.22","9.22","9.35","8.96","12.24K","0.00%"
"02/24/2026","9.22","8.91","9.48","8.91","250.04K","2.44%"
"02/23/2026","9.00","8.50","9.11","8.10","119.81K","0.00%"
"02/22/2026","9.00","8.99","8.99","8.51","9.55K","0.00%"
"02/19/2026","9.00","9.06","9.06","8.74","12.08K","0.00%"
"02/18/2026","9.00","9.09","9.09","8.87","22.14K","0.11%"
"02/17/2026","8.99","8.87","9.15","8.87","50.21K","-0.55%"
"02/16/2026","9.04","9.04","9.22","8.70","30.43K","0.11%"
"02/15/2026","9.03","9.25","9.26","9.01","33.87K","0.00%"
"02/12/2026","9.03","8.56","9.27","8.56","256.77K","-0.66%"
"02/11/2026","9.09","9.17","9.25","8.30","53.66K","-0.11%"
"02/10/2026","9.10","9.20","9.48","8.95","28.09K","-2.99%"
"02/09/2026","9.38","9.20","9.50","9.00","103.75K","3.53%"
"02/08/2026","9.06","9.50","9.50","9.03","98.48K","-4.03%"
"02/05/2026","9.44","8.94","9.44","8.70","149.28K","5.95%"
"02/04/2026","8.91","8.87","9.25","8.01","164.53K","3.73%"
"02/03/2026","8.59","9.00","9.05","8.32","17.51K","-3.27%"
"02/02/2026","8.88","8.22","9.06","7.55","175.94K","7.77%"
"02/01/2026","8.24","8.01","8.25","7.73","47.34K","3.00%"
"01/28/2026","8.00","7.61","8.01","7.60","69.67K","1.27%"
"01/27/2026","7.90","7.65","7.96","7.60","7.79K","0.00%"
"01/26/2026","7.90","7.85","7.98","7.70","42.76K","1.94%"
"01/25/2026","7.75","8.00","8.00","7.85","13.90K","0.00%"
"01/22/2026","7.75","7.82","8.19","7.82","17.56K","0.00%"
"01/21/2026","7.75","8.25","8.25","7.65","19.48K","-5.14%"
