"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","496.53","484.00","500.00","476.30","8.71K","2.56%"
"06/23/2026","484.15","484.60","490.00","474.00","4.38K","1.51%"
"06/22/2026","476.94","473.50","480.00","469.00","1.90K","0.81%"
"06/21/2026","473.11","470.05","473.30","468.28","1.25K","0.65%"
"06/17/2026","470.05","472.20","472.70","468.00","3.32K","-0.46%"
"06/16/2026","472.20","474.87","474.87","468.11","1.00K","-0.06%"
"06/15/2026","472.48","467.00","473.00","466.01","3.68K","0.81%"
"06/14/2026","468.67","469.99","471.07","468.00","1.01K","-0.07%"
"06/11/2026","468.99","470.05","477.77","465.01","1.70K","-1.03%"
"06/10/2026","473.85","473.31","480.00","472.01","1.20K","0.02%"
"06/09/2026","473.74","473.34","475.96","473.28","1.28K","-0.07%"
"06/08/2026","474.08","475.00","476.89","473.11","0.80K","-0.28%"
"06/07/2026","475.42","479.49","482.37","474.60","2.91K","-0.57%"
"06/04/2026","478.14","480.01","483.50","472.00","0.98K","-0.55%"
"06/03/2026","480.79","486.98","488.00","479.00","1.08K","0.13%"
"06/02/2026","480.18","484.00","484.00","479.00","1.96K","0.02%"
"06/01/2026","480.08","489.38","489.38","480.00","1.29K","1.53%"
"05/25/2026","472.84","482.99","487.00","455.60","2.67K","-1.91%"
"05/24/2026","482.04","483.00","483.00","480.77","0.71K","-0.20%"
"05/21/2026","482.99","483.00","488.90","480.69","0.91K","-0.32%"
"05/20/2026","484.54","481.05","500.00","480.03","1.31K","0.32%"
"05/19/2026","482.99","482.00","487.87","481.05","1.07K","0.23%"
"05/18/2026","481.87","490.99","490.99","480.00","2.09K","-1.35%"
"05/17/2026","488.45","494.50","494.50","486.50","3.44K","-0.17%"
"05/14/2026","489.30","488.24","496.50","488.00","2.67K","0.22%"
"05/13/2026","488.23","494.06","499.30","487.00","6.23K","-1.45%"
"05/12/2026","495.43","499.99","504.97","492.01","3.25K","-0.20%"
"05/11/2026","496.41","505.90","505.90","495.44","1.51K","-1.11%"
"05/10/2026","501.97","508.00","508.00","496.00","8.28K","0.54%"
"05/06/2026","499.25","510.95","517.00","497.02","12.59K","-2.35%"
"05/05/2026","511.25","493.50","530.00","486.50","10.44K","4.46%"
"05/04/2026","489.42","497.01","502.00","484.36","4.18K","-1.38%"
"05/03/2026","496.25","501.00","514.69","495.00","8.05K","-0.84%"
"04/30/2026","500.47","505.10","520.00","495.20","4.41K","-1.68%"
"04/29/2026","509.01","515.15","529.00","504.00","7.56K","-0.44%"
"04/28/2026","511.28","516.17","519.80","510.00","1.72K","-0.95%"
"04/27/2026","516.17","524.00","524.60","515.00","1.30K","0.14%"
"04/26/2026","515.47","518.70","528.70","515.00","3.25K","-0.98%"
"04/23/2026","520.59","529.50","529.50","516.70","1.45K","-1.70%"
"04/22/2026","529.58","524.99","548.00","518.20","1.52K","2.24%"
"04/21/2026","517.96","527.07","533.00","516.70","1.09K","-1.73%"
"04/20/2026","527.07","544.99","544.99","516.23","2.11K","-3.30%"
"04/19/2026","545.08","550.00","555.00","530.12","0.75K","-1.15%"
"04/16/2026","551.41","546.00","573.80","541.10","1.78K","0.15%"
"04/15/2026","550.56","512.21","559.98","512.21","6.04K","5.88%"
"04/14/2026","519.99","515.00","524.00","503.11","2.10K","1.74%"
"04/12/2026","511.09","507.92","511.09","511.09","1.12K","0.00%"
"04/09/2026","511.09","515.98","516.00","492.35","1.12K","0.62%"
"04/08/2026","507.92","495.87","516.00","485.10","2.42K","2.43%"
"04/07/2026","495.87","488.00","499.97","488.00","1.23K","2.00%"
