"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","0.668","0.668","0.669","0.667","13.05K","0.15%"
"06/23/2026","0.667","0.668","0.671","0.664","194.91K","-0.15%"
"06/22/2026","0.668","0.672","0.672","0.668","120.23K","-0.60%"
"06/21/2026","0.672","0.670","0.672","0.669","216.87K","0.30%"
"06/17/2026","0.670","0.669","0.671","0.669","147.97K","0.00%"
"06/16/2026","0.670","0.672","0.672","0.669","151.88K","-0.30%"
"06/15/2026","0.672","0.671","0.673","0.670","251.23K","0.15%"
"06/14/2026","0.671","0.672","0.672","0.670","156.17K","-0.15%"
"06/11/2026","0.672","0.671","0.673","0.670","216.43K","0.00%"
"06/10/2026","0.672","0.674","0.675","0.672","167.75K","-0.30%"
"06/09/2026","0.674","0.674","0.674","0.672","88.07K","0.15%"
"06/08/2026","0.673","0.672","0.674","0.671","84.61K","0.15%"
"06/07/2026","0.672","0.670","0.675","0.670","172.69K","0.00%"
"06/04/2026","0.672","0.673","0.673","0.669","88.51K","-0.15%"
"06/03/2026","0.673","0.670","0.673","0.667","70.23K","0.45%"
"06/02/2026","0.670","0.669","0.672","0.665","122.96K","0.45%"
"06/01/2026","0.667","0.660","0.669","0.660","115.72K","1.06%"
"05/25/2026","0.660","0.669","0.669","0.660","400.18K","-1.05%"
"05/24/2026","0.667","0.669","0.669","0.659","257.86K","0.00%"
"05/21/2026","0.667","0.667","0.669","0.666","152.65K","0.30%"
"05/20/2026","0.665","0.668","0.669","0.665","295.25K","-0.30%"
"05/19/2026","0.667","0.670","0.671","0.667","346.06K","-0.30%"
"05/18/2026","0.669","0.672","0.674","0.668","150.96K","-0.15%"
"05/17/2026","0.670","0.677","0.680","0.669","835.65K","-0.74%"
"05/14/2026","0.675","0.686","0.686","0.674","580.74K","0.00%"
"05/13/2026","0.675","0.687","0.688","0.675","1.06M","-1.60%"
"05/12/2026","0.686","0.688","0.688","0.685","352.19K","-0.29%"
"05/11/2026","0.688","0.690","0.690","0.687","230.89K","-0.15%"
"05/10/2026","0.689","0.690","0.690","0.687","162.21K","-0.14%"
"05/06/2026","0.690","0.689","0.690","0.686","260.33K","0.29%"
"05/05/2026","0.688","0.688","0.689","0.684","234.34K","0.44%"
"05/04/2026","0.685","0.690","0.690","0.685","341.98K","-0.72%"
"05/03/2026","0.690","0.690","0.690","0.687","277.67K","0.00%"
"04/30/2026","0.690","0.690","0.690","0.688","158.14K","0.00%"
"04/29/2026","0.690","0.685","0.690","0.683","94.77K","0.58%"
"04/28/2026","0.686","0.690","0.690","0.682","3.74M","-0.58%"
"04/27/2026","0.690","0.689","0.699","0.682","1.26M","-5.35%"
"04/26/2026","0.729","0.734","0.735","0.728","1.04M","-0.68%"
"04/23/2026","0.734","0.733","0.737","0.732","2.99M","-0.14%"
"04/22/2026","0.735","0.733","0.736","0.732","315.97K","0.41%"
"04/21/2026","0.732","0.731","0.732","0.730","438.34K","0.00%"
"04/20/2026","0.732","0.730","0.732","0.727","538.78K","0.27%"
"04/19/2026","0.730","0.728","0.731","0.725","312.02K","0.14%"
