Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,AALR.CA,183.50,188.00,182.00,182.84,12150
2026-01-05,AALR.CA,184.00,185.00,173.00,175.32,48510
2026-01-06,AALR.CA,176.00,182.00,175.50,177.63,24840
2026-01-08,AALR.CA,178.00,180.50,176.00,176.24,16120
2026-01-11,AALR.CA,176.30,177.60,174.07,175.01,12380
2026-01-12,AALR.CA,176.66,177.59,174.00,174.30,14570
2026-01-13,AALR.CA,176.77,176.77,168.00,169.31,13090
2026-01-14,AALR.CA,169.28,169.80,162.00,163.29,11510
2026-01-15,AALR.CA,167.00,175.50,163.50,163.86,18520
2026-01-18,AALR.CA,169.50,169.99,164.00,165.79,7760
2026-01-19,AALR.CA,167.28,168.98,165.12,166.89,6390
2026-01-20,AALR.CA,169.94,169.94,165.40,165.75,7180
2026-01-21,AALR.CA,166.00,167.88,164.00,165.72,13460
2026-01-22,AALR.CA,165.72,184.50,165.70,176.84,146020
2026-01-25,AALR.CA,179.00,179.00,172.00,172.01,22050
2026-01-26,AALR.CA,172.00,174.75,166.50,167.36,14400
2026-01-27,AALR.CA,168.90,168.90,164.13,165.29,8690
2026-01-28,AALR.CA,166.95,167.99,159.00,160.25,31130
2026-02-01,AALR.CA,160.52,166.96,160.52,161.87,9220
2026-02-02,AALR.CA,162.05,174.00,161.21,168.71,36560
2026-02-03,AALR.CA,169.00,179.99,169.00,169.67,89120
2026-02-04,AALR.CA,171.40,178.96,170.16,172.90,39620
2026-02-05,AALR.CA,175.00,175.00,170.25,171.62,14220
2026-02-08,AALR.CA,172.60,172.60,170.29,170.65,9810
2026-02-09,AALR.CA,170.66,172.00,170.00,170.16,5840
2026-02-10,AALR.CA,171.89,171.90,168.50,169.74,11820
2026-02-11,AALR.CA,169.95,171.88,166.31,168.53,8070
2026-02-12,AALR.CA,169.00,171.00,165.01,166.18,13490
2026-02-15,AALR.CA,167.97,167.97,162.26,163.31,45770
2026-02-16,AALR.CA,165.00,165.25,162.01,162.33,12710
2026-02-17,AALR.CA,162.99,166.98,162.00,162.42,8170
2026-02-18,AALR.CA,162.20,170.98,162.01,170.20,89950
2026-02-19,AALR.CA,170.30,171.00,163.15,164.98,21840
2026-02-22,AALR.CA,166.00,166.90,160.30,160.33,18490
2026-02-23,AALR.CA,162.89,165.98,160.51,161.89,16600
2026-02-24,AALR.CA,164.00,165.00,158.40,159.59,19490
2026-02-25,AALR.CA,160.00,162.50,155.01,156.71,16390
2026-02-26,AALR.CA,157.89,159.50,155.00,155.63,4750
2026-03-01,AALR.CA,151.00,151.00,134.00,145.52,8640
2026-03-02,AALR.CA,149.00,161.00,146.02,155.80,32570
2026-03-03,AALR.CA,158.88,158.88,150.00,150.84,11910
2026-03-04,AALR.CA,151.01,152.40,147.49,148.99,8610
2026-03-05,AALR.CA,149.80,157.00,149.10,150.14,19960
2026-03-08,AALR.CA,150.14,153.99,148.62,148.71,12580
2026-03-09,AALR.CA,148.71,159.98,148.71,151.19,51960
2026-03-10,AALR.CA,153.20,155.30,150.22,152.21,9250
2026-03-11,AALR.CA,152.27,167.00,152.27,166.05,111540
2026-03-12,AALR.CA,171.10,179.95,167.30,168.00,152120
2026-03-15,AALR.CA,170.00,176.88,166.00,170.53,70430
2026-03-16,AALR.CA,173.00,173.00,164.21,164.96,17830
2026-03-17,AALR.CA,167.98,170.90,164.00,164.11,49240
2026-03-18,AALR.CA,165.49,166.70,162.21,163.01,10980
2026-03-24,AALR.CA,163.50,166.24,162.62,162.80,9140
2026-03-25,AALR.CA,163.50,171.50,162.20,164.64,52980
2026-03-26,AALR.CA,167.90,170.00,164.80,169.98,32060
2026-03-29,AALR.CA,170.02,175.00,166.50,167.50,59160
2026-03-30,AALR.CA,167.51,172.00,162.00,162.00,23560
2026-03-31,AALR.CA,162.20,164.98,162.10,162.80,6470
2026-04-01,AALR.CA,165.90,166.60,162.00,165.00,21770
2026-04-02,AALR.CA,165.90,165.90,163.00,163.14,10410
2026-04-05,AALR.CA,163.15,164.88,163.00,163.11,12480
