Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,ABUK.CA,84.11,85.00,83.00,83.40,365380
2024-01-03,ABUK.CA,83.40,84.40,83.25,83.51,368770
2024-01-04,ABUK.CA,83.50,83.50,81.75,82.00,445800
2024-01-08,ABUK.CA,82.00,83.00,80.80,82.20,512260
2024-01-09,ABUK.CA,82.97,85.50,82.10,84.95,1120000
2024-01-10,ABUK.CA,86.10,86.50,85.10,85.61,1080000
2024-01-11,ABUK.CA,85.90,87.75,84.75,87.59,1290000
2024-01-14,ABUK.CA,88.00,90.85,87.70,89.10,744420
2024-01-15,ABUK.CA,89.93,90.11,88.51,89.31,332660
2024-01-16,ABUK.CA,89.31,90.05,86.80,90.00,1480000
2024-01-17,ABUK.CA,90.10,90.89,88.55,90.00,1260000
2024-01-18,ABUK.CA,89.99,90.00,87.85,90.00,749890
2024-01-21,ABUK.CA,90.01,95.00,89.60,94.00,1030000
2024-01-22,ABUK.CA,94.25,96.50,93.00,94.00,872910
2024-01-23,ABUK.CA,94.10,94.15,90.95,92.02,596580
2024-01-24,ABUK.CA,92.02,92.85,91.00,92.00,292340
2024-01-28,ABUK.CA,92.49,99.98,92.45,98.99,1260000
2024-01-29,ABUK.CA,98.99,106.01,98.76,106.01,1400000
2024-01-30,ABUK.CA,106.00,107.00,102.00,106.70,1170000
2024-01-31,ABUK.CA,106.50,108.50,95.00,96.89,1920000
2024-02-01,ABUK.CA,96.89,99.70,87.00,98.95,2200000
2024-02-04,ABUK.CA,98.95,99.01,89.30,91.31,2170000
2024-02-05,ABUK.CA,91.31,93.20,90.01,91.00,916090
2024-02-06,ABUK.CA,91.00,92.50,84.51,85.03,1360000
2024-02-07,ABUK.CA,85.03,87.30,84.75,86.65,740140
2024-02-08,ABUK.CA,86.65,91.49,86.25,89.00,1140000
2024-02-11,ABUK.CA,89.00,92.00,89.01,90.50,625670
2024-02-12,ABUK.CA,90.50,90.99,88.00,90.24,423020
2024-02-13,ABUK.CA,90.24,90.98,89.63,90.00,435590
2024-02-14,ABUK.CA,90.00,91.20,90.05,91.15,359220
2024-02-15,ABUK.CA,91.15,91.89,90.51,90.80,412740
2024-02-18,ABUK.CA,90.80,91.50,89.52,90.96,373630
2024-02-19,ABUK.CA,90.96,91.83,88.50,90.00,757950
2024-02-20,ABUK.CA,90.00,90.50,89.06,89.27,418150
2024-02-21,ABUK.CA,89.27,90.00,88.03,88.82,408730
2024-02-22,ABUK.CA,88.82,90.82,88.00,90.82,599580
2024-02-25,ABUK.CA,90.82,85.00,72.66,72.79,5620000
2024-02-26,ABUK.CA,72.79,74.50,70.02,72.21,3080000
2024-02-27,ABUK.CA,72.21,73.45,69.51,69.71,3820000
2024-02-28,ABUK.CA,69.71,70.84,66.00,66.30,2290000
2024-02-29,ABUK.CA,66.30,69.01,66.04,67.00,1890000
2024-03-03,ABUK.CA,67.00,66.99,62.88,63.80,999050
2024-03-04,ABUK.CA,63.80,69.29,63.50,68.00,1690000
2024-03-05,ABUK.CA,68.00,71.75,68.75,69.53,1620000
2024-03-06,ABUK.CA,69.53,80.99,70.00,70.00,4510000
2024-03-07,ABUK.CA,70.00,72.98,67.50,69.00,1680000
2024-03-10,ABUK.CA,69.00,73.01,69.12,73.01,1720000
2024-03-11,ABUK.CA,73.01,74.75,69.57,70.05,2340000
2024-03-12,ABUK.CA,70.05,70.98,64.64,65.70,1210000
2024-03-13,ABUK.CA,65.70,67.44,59.02,61.00,2440000
2024-03-14,ABUK.CA,61.00,63.48,59.50,63.20,1640000
2024-03-17,ABUK.CA,63.20,65.20,60.99,61.25,981900
2024-03-18,ABUK.CA,61.25,64.40,59.00,61.60,1350000
2024-03-19,ABUK.CA,61.60,65.60,60.03,65.10,800520
2024-03-20,ABUK.CA,65.10,67.30,63.00,64.00,929400
2024-03-21,ABUK.CA,64.00,68.00,62.01,67.10,1350000
2024-03-24,ABUK.CA,67.10,69.19,66.18,68.00,1190000
2024-03-25,ABUK.CA,68.00,69.00,66.04,68.99,809360
2024-03-26,ABUK.CA,68.99,69.50,67.00,67.99,1020000
2024-03-27,ABUK.CA,67.99,67.88,64.15,65.02,467330
2024-03-28,ABUK.CA,65.02,65.99,62.31,63.09,242990
2024-03-31,ABUK.CA,63.09,64.53,60.40,61.50,635240
2024-04-01,ABUK.CA,61.50,66.89,61.56,66.00,634580
2024-04-02,ABUK.CA,66.00,67.30,64.10,65.70,781490
2024-04-03,ABUK.CA,65.70,65.50,64.00,65.00,709700
2024-04-04,ABUK.CA,65.00,66.49,64.71,65.40,1080000
2024-04-07,ABUK.CA,65.40,71.70,65.95,70.25,2200000
2024-04-08,ABUK.CA,70.25,71.75,68.50,71.50,759950
2024-04-15,ABUK.CA,71.50,75.98,71.61,75.50,3400000
2024-04-16,ABUK.CA,75.50,75.84,72.50,73.55,2180000
2024-04-17,ABUK.CA,73.55,74.45,71.81,72.25,1900000
2024-04-18,ABUK.CA,72.25,72.94,66.91,69.00,2210000
2024-04-21,ABUK.CA,69.00,71.50,68.51,69.00,1080000
2024-04-22,ABUK.CA,69.00,69.99,67.11,67.32,493280
2024-04-23,ABUK.CA,67.32,67.32,62.56,63.00,1030000
2024-04-24,ABUK.CA,63.00,63.99,59.88,63.00,1710000
2024-04-28,ABUK.CA,63.20,64.25,61.00,62.90,708930
2024-04-29,ABUK.CA,62.91,65.00,62.11,64.55,671300
2024-04-30,ABUK.CA,64.56,64.97,61.50,62.20,979840
2024-05-01,ABUK.CA,62.25,63.20,60.20,62.45,973840
2024-05-02,ABUK.CA,63.00,67.00,62.04,67.00,1230000
2024-05-07,ABUK.CA,66.99,68.00,65.00,65.96,604870
2024-05-08,ABUK.CA,66.05,66.90,64.16,64.50,301430
2024-05-09,ABUK.CA,64.00,67.48,64.00,66.53,905520
2024-05-12,ABUK.CA,66.70,67.20,62.51,63.07,496820
2024-05-13,ABUK.CA,63.10,63.60,60.11,62.56,760100
2024-05-14,ABUK.CA,62.56,62.99,61.53,61.70,174370
2024-05-15,ABUK.CA,61.70,62.15,61.02,62.00,422240
2024-05-16,ABUK.CA,62.06,64.99,62.06,64.95,920460
2024-05-19,ABUK.CA,65.00,69.68,65.00,68.96,2420000
2024-05-20,ABUK.CA,69.05,69.50,67.66,67.66,1190000
2024-05-21,ABUK.CA,67.70,69.91,67.02,68.00,1480000
2024-05-22,ABUK.CA,68.00,68.47,65.37,66.00,1030000
2024-05-23,ABUK.CA,66.44,67.45,65.00,65.00,566640
2024-05-26,ABUK.CA,65.49,65.74,64.65,65.37,363890
2024-05-27,ABUK.CA,65.60,67.00,65.25,65.25,700260
2024-05-28,ABUK.CA,64.98,65.00,63.63,63.70,855290
2024-05-29,ABUK.CA,64.00,64.79,63.21,63.44,627250
2024-05-30,ABUK.CA,63.45,63.88,62.00,62.00,952890
2024-06-02,ABUK.CA,62.50,63.50,61.50,61.97,667420
2024-06-03,ABUK.CA,62.10,62.50,60.57,61.10,1070000
2024-06-04,ABUK.CA,61.50,63.00,61.20,61.80,1590000
2024-06-05,ABUK.CA,60.20,60.89,56.12,58.78,4580000
2024-06-06,ABUK.CA,59.10,59.30,57.12,57.72,1550000
2024-06-09,ABUK.CA,58.00,58.11,55.52,55.52,1380000
2024-06-10,ABUK.CA,55.53,56.95,54.12,55.20,1890000
2024-06-11,ABUK.CA,55.90,56.20,52.80,53.00,4200000
2024-06-12,ABUK.CA,53.23,54.20,52.61,52.91,1580000
2024-06-13,ABUK.CA,53.13,57.00,52.95,57.00,2930000
2024-06-23,ABUK.CA,57.22,58.00,56.02,57.46,1380000
2024-06-24,ABUK.CA,57.60,58.49,56.50,56.61,2360000
2024-06-25,ABUK.CA,56.50,58.00,54.33,57.60,2450000
2024-06-26,ABUK.CA,57.01,58.40,56.12,57.97,1950000
2024-06-27,ABUK.CA,57.97,59.69,57.80,58.60,1250000
2024-07-01,ABUK.CA,58.80,61.25,58.80,59.12,1990000
2024-07-02,ABUK.CA,59.38,59.74,58.11,58.40,1010000
2024-07-03,ABUK.CA,58.50,61.00,58.18,59.97,2170000
2024-07-04,ABUK.CA,60.07,60.45,59.25,60.02,1870000
2024-07-07,ABUK.CA,60.10,61.00,58.00,58.20,2980000
2024-07-08,ABUK.CA,58.22,58.66,56.28,56.28,2140000
2024-07-09,ABUK.CA,56.35,56.90,54.70,54.70,2670000
2024-07-10,ABUK.CA,54.97,55.94,53.82,54.00,1950000
2024-07-14,ABUK.CA,54.65,54.85,53.30,53.43,1120000
2024-07-15,ABUK.CA,53.50,55.50,53.45,54.34,1550000
2024-07-16,ABUK.CA,54.60,54.77,53.83,53.83,1970000
2024-07-17,ABUK.CA,54.09,56.61,53.84,56.53,1860000
2024-07-18,ABUK.CA,56.95,57.50,56.10,56.71,1280000
2024-07-21,ABUK.CA,56.94,60.33,56.71,59.95,3310000
2024-07-22,ABUK.CA,60.06,60.50,58.59,59.05,1600000
2024-07-23,ABUK.CA,59.05,59.36,58.12,58.32,730720
2024-07-24,ABUK.CA,58.50,58.97,57.86,58.10,663830
2024-07-28,ABUK.CA,58.47,59.88,58.20,59.64,1030000
2024-07-29,ABUK.CA,59.80,61.40,59.80,60.25,1970000
