Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,ACAP.CA,0.539,0.555,0.539,0.542,2920000
2024-01-03,ACAP.CA,0.552,0.561,0.540,0.546,9990000
2024-01-04,ACAP.CA,0.554,0.560,0.546,0.550,3470000
2024-01-08,ACAP.CA,0.556,0.556,0.545,0.548,3200000
2024-01-09,ACAP.CA,0.550,0.574,0.543,0.570,13190000
2024-01-10,ACAP.CA,0.585,0.605,0.579,0.580,16260000
2024-01-11,ACAP.CA,0.590,0.603,0.570,0.583,12520000
2024-01-14,ACAP.CA,0.585,0.590,0.572,0.584,6670000
2024-01-15,ACAP.CA,0.589,0.590,0.577,0.581,6680000
2024-01-16,ACAP.CA,0.583,0.610,0.582,0.596,17160000
2024-01-17,ACAP.CA,0.600,0.647,0.586,0.597,22140000
2024-01-18,ACAP.CA,0.610,0.610,0.590,0.595,8510000
2024-01-21,ACAP.CA,0.607,0.616,0.598,0.600,10810000
2024-01-22,ACAP.CA,0.616,0.629,0.610,0.621,15730000
2024-01-23,ACAP.CA,0.625,0.669,0.625,0.651,15470000
2024-01-24,ACAP.CA,0.664,0.676,0.654,0.655,9920000
2024-01-28,ACAP.CA,0.669,0.689,0.660,0.663,5850000
2024-01-29,ACAP.CA,0.662,0.675,0.645,0.653,7570000
2024-01-30,ACAP.CA,0.653,0.670,0.653,0.655,8330000
2024-01-31,ACAP.CA,0.665,0.673,0.581,0.605,8270000
2024-02-01,ACAP.CA,0.605,0.640,0.590,0.635,4100000
2024-02-04,ACAP.CA,0.635,0.695,0.612,0.679,8690000
2024-02-05,ACAP.CA,0.679,0.719,0.682,0.698,5140000
2024-02-06,ACAP.CA,0.698,0.710,0.684,0.690,4910000
2024-02-07,ACAP.CA,0.690,0.702,0.682,0.698,4800000
2024-02-08,ACAP.CA,0.698,0.780,0.691,0.776,7730000
2024-02-11,ACAP.CA,0.776,0.779,0.742,0.752,3610000
2024-02-12,ACAP.CA,0.752,0.760,0.720,0.754,4720000
2024-02-13,ACAP.CA,0.754,0.754,0.720,0.741,2180000
2024-02-14,ACAP.CA,0.741,0.790,0.726,0.788,3590000
2024-02-15,ACAP.CA,0.788,0.945,0.788,0.945,12570000
2024-02-18,ACAP.CA,0.945,1.134,0.969,1.134,6520000
2024-02-19,ACAP.CA,1.134,1.360,1.349,1.360,11750000
2024-02-20,ACAP.CA,1.360,1.595,1.260,1.387,20390000
2024-02-21,ACAP.CA,1.387,1.664,1.364,1.664,23130000
2024-02-22,ACAP.CA,1.664,1.996,1.664,1.996,14500000
2024-02-25,ACAP.CA,1.996,2.370,1.710,1.826,18560000
2024-02-26,ACAP.CA,1.826,2.150,1.700,1.739,9240000
2024-02-27,ACAP.CA,1.739,1.790,1.481,1.511,16260000
2024-02-28,ACAP.CA,1.511,1.699,1.421,1.469,16040000
2024-02-29,ACAP.CA,1.469,1.640,1.428,1.605,7250000
2024-03-03,ACAP.CA,1.605,1.649,1.503,1.516,7830000
2024-03-04,ACAP.CA,1.516,1.649,1.507,1.587,7800000
2024-03-05,ACAP.CA,1.587,1.884,1.570,1.720,19030000
2024-03-06,ACAP.CA,1.720,1.799,1.610,1.628,8210000
2024-03-07,ACAP.CA,1.628,1.676,1.556,1.562,4320000
2024-03-10,ACAP.CA,1.562,1.700,1.530,1.593,5730000
2024-03-11,ACAP.CA,1.593,1.630,1.512,1.522,2840000
2024-03-12,ACAP.CA,1.522,1.599,1.440,1.452,2760000
2024-03-13,ACAP.CA,1.452,1.495,1.218,1.387,3320000
2024-03-14,ACAP.CA,1.387,1.474,1.330,1.450,3280000
2024-03-17,ACAP.CA,1.450,1.480,1.373,1.377,3020000
2024-03-18,ACAP.CA,1.377,1.392,1.200,1.208,10190000
2024-03-19,ACAP.CA,1.208,1.250,1.130,1.210,2480000
