Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,ACRO.CA,122.00,122.98,121.51,122.38,8200
2026-01-05,ACRO.CA,121.62,122.00,121.50,121.87,19060
2026-01-06,ACRO.CA,122.00,125.00,121.62,123.31,61300
2026-01-08,ACRO.CA,123.50,124.90,123.50,124.50,43750
2026-01-11,ACRO.CA,124.51,124.89,124.00,124.21,17160
2026-01-12,ACRO.CA,124.85,126.00,124.00,124.97,24850
2026-01-13,ACRO.CA,126.50,126.50,124.90,125.20,10790
2026-01-14,ACRO.CA,126.00,126.88,125.31,125.50,34360
2026-01-15,ACRO.CA,126.49,126.77,125.31,126.22,40630
2026-01-18,ACRO.CA,126.00,127.25,126.00,127.00,94070
2026-01-19,ACRO.CA,127.25,127.99,127.00,127.02,23680
2026-01-20,ACRO.CA,127.99,127.99,125.62,127.00,35010
2026-01-21,ACRO.CA,126.50,127.80,126.01,127.71,24010
2026-01-22,ACRO.CA,127.72,127.72,127.20,127.25,11710
2026-01-25,ACRO.CA,127.31,128.40,127.31,127.96,22240
2026-01-26,ACRO.CA,128.20,128.27,127.67,128.12,20010
2026-01-27,ACRO.CA,128.10,128.38,127.71,128.00,19310
2026-01-28,ACRO.CA,127.67,128.40,123.05,128.00,1130
2026-02-01,ACRO.CA,126.55,129.27,126.50,128.00,530
2026-02-02,ACRO.CA,127.00,128.50,124.00,128.00,610
2026-02-03,ACRO.CA,124.10,128.00,124.00,128.00,1300
2026-02-04,ACRO.CA,127.85,128.00,124.20,129.29,1140
2026-02-05,ACRO.CA,125.21,128.00,125.21,129.29,410
2026-02-08,ACRO.CA,127.99,128.10,125.05,129.29,1080
2026-02-09,ACRO.CA,128.00,128.00,125.30,129.29,570
2026-02-10,ACRO.CA,126.00,127.50,125.55,129.29,350
2026-02-11,ACRO.CA,125.55,129.00,125.55,127.52,3250
2026-02-16,ACRO.CA,20.00,125.00,10.13,101.04,1530
2026-02-18,ACRO.CA,103.00,110.00,100.00,109.99,1320
2026-02-23,ACRO.CA,108.00,109.00,103.00,109.00,520
2026-02-25,ACRO.CA,90.00,105.50,85.00,104.00,1390
2026-03-02,ACRO.CA,85.55,107.77,73.00,107.77,860
2026-03-04,ACRO.CA,94.00,107.77,75.66,107.00,940
2026-03-09,ACRO.CA,93.11,104.00,93.10,100.00,750
2026-03-11,ACRO.CA,100.00,101.00,96.00,101.00,700
2026-03-16,ACRO.CA,100.50,105.00,100.00,105.00,500
2026-03-18,ACRO.CA,105.00,110.00,105.00,110.00,20
2026-03-25,ACRO.CA,105.00,110.00,110.00,110.00,0
2026-03-30,ACRO.CA,110.00,110.00,95.00,96.00,1050
2026-04-01,ACRO.CA,117.60,117.60,98.01,105.00,210
2026-04-06,ACRO.CA,93.10,109.00,93.10,109.00,4120
2026-04-08,ACRO.CA,100.00,100.01,100.00,100.00,600
2026-04-15,ACRO.CA,100.00,100.00,93.19,100.00,880
2026-04-20,ACRO.CA,94.00,100.00,94.00,100.00,420
2026-04-22,ACRO.CA,100.00,100.20,100.00,100.10,250
2026-04-27,ACRO.CA,93.17,110.00,93.17,105.00,180
2026-04-29,ACRO.CA,94.00,104.00,94.00,100.00,270
2026-05-04,ACRO.CA,93.60,103.75,93.55,97.00,1220
2026-05-06,ACRO.CA,96.00,103.00,93.63,96.11,1240
2026-05-11,ACRO.CA,102.90,102.90,93.00,96.00,4560
2026-05-13,ACRO.CA,93.16,99.00,82.01,95.70,2740
2026-05-18,ACRO.CA,95.70,95.70,95.70,95.70,10
2026-05-20,ACRO.CA,95.70,95.70,95.70,95.70,0
2026-05-25,ACRO.CA,86.03,94.00,86.03,90.00,240
2026-06-01,ACRO.CA,87.55,94.40,87.51,94.40,120
2026-06-03,ACRO.CA,93.88,93.88,93.88,93.88,50
2026-06-08,ACRO.CA,93.79,93.79,74.20,93.71,600
2026-06-10,ACRO.CA,93.99,102.00,93.99,102.00,3510
2026-06-15,ACRO.CA,95.50,102.25,95.50,102.25,2770
2026-06-17,ACRO.CA,102.00,104.00,102.00,103.01,3280
2026-06-22,ACRO.CA,103.00,105.00,103.00,105.00,1380
2026-06-24,ACRO.CA,105.20,105.20,100.00,102.00,3040
