Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,ADCI.CA,36.49,36.50,36.49,34.81,430
2024-01-03,ADCI.CA,36.50,37.35,36.50,34.81,3100
2024-01-04,ADCI.CA,37.35,37.40,37.25,34.81,670
2024-01-08,ADCI.CA,35.11,39.75,35.11,34.81,2920
2024-01-09,ADCI.CA,36.50,36.50,35.18,34.81,1980
2024-01-10,ADCI.CA,39.62,39.62,36.06,34.81,3610
2024-01-11,ADCI.CA,39.40,39.40,37.00,34.81,2450
2024-01-14,ADCI.CA,39.47,39.47,37.00,38.03,8820
2024-01-15,ADCI.CA,35.81,38.50,35.81,38.03,3200
2024-01-16,ADCI.CA,36.01,39.40,36.01,38.56,9000
2024-01-17,ADCI.CA,39.26,39.87,38.56,39.41,7820
2024-01-18,ADCI.CA,39.85,39.87,39.85,39.41,100
2024-01-21,ADCI.CA,39.85,39.85,38.00,39.41,770
2024-01-22,ADCI.CA,39.85,39.85,39.50,39.41,1500
2024-01-23,ADCI.CA,39.87,39.87,39.00,39.41,1390
2024-01-28,ADCI.CA,39.50,39.88,38.00,39.41,1170
2024-01-29,ADCI.CA,39.24,39.90,39.01,39.41,4060
2024-01-30,ADCI.CA,39.90,39.99,39.63,39.41,3620
2024-01-31,ADCI.CA,39.99,39.99,38.01,39.41,3300
2024-02-01,ADCI.CA,39.41,40.00,36.00,39.41,1400
2024-02-04,ADCI.CA,39.41,42.50,39.50,40.57,8540
2024-02-05,ADCI.CA,40.57,42.25,40.00,40.03,8420
2024-02-06,ADCI.CA,40.03,42.00,40.00,40.19,41180
2024-02-07,ADCI.CA,40.19,40.58,40.00,40.19,1000
2024-02-08,ADCI.CA,40.19,42.38,40.15,40.19,2900
2024-02-11,ADCI.CA,40.19,42.25,40.01,40.19,150
2024-02-12,ADCI.CA,40.19,42.00,42.00,40.19,400
2024-02-13,ADCI.CA,40.19,42.45,40.55,40.19,1210
2024-02-14,ADCI.CA,40.19,42.42,40.75,40.19,1030
