Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,ADIB.CA,29.91,30.00,28.92,29.03,1170000
2026-01-05,ADIB.CA,29.05,29.50,27.95,28.20,941920
2026-01-06,ADIB.CA,28.94,29.25,28.20,28.74,1510000
2026-01-08,ADIB.CA,28.74,30.00,28.65,29.77,2630000
2026-01-11,ADIB.CA,29.98,32.39,29.67,32.30,5220000
2026-01-12,ADIB.CA,32.20,32.30,31.32,31.97,1660000
2026-01-13,ADIB.CA,32.00,32.95,31.40,31.65,1770000
2026-01-14,ADIB.CA,31.65,31.99,30.40,31.50,1310000
2026-01-15,ADIB.CA,31.50,33.01,31.00,32.51,2130000
2026-01-18,ADIB.CA,32.52,33.30,32.51,32.99,767450
2026-01-19,ADIB.CA,33.00,34.28,32.85,34.00,5010000
2026-01-20,ADIB.CA,34.90,36.49,34.50,35.80,5700000
2026-01-21,ADIB.CA,35.75,37.40,35.50,36.00,7850000
2026-01-22,ADIB.CA,36.05,36.85,35.80,36.30,3410000
2026-01-25,ADIB.CA,36.50,36.87,35.12,36.25,1790000
2026-01-26,ADIB.CA,36.25,38.01,35.79,38.01,4510000
2026-01-27,ADIB.CA,38.20,40.24,38.01,39.96,3540000
2026-01-28,ADIB.CA,40.20,41.39,37.90,39.20,4230000
2026-02-01,ADIB.CA,39.20,39.38,37.91,38.96,5500000
2026-02-02,ADIB.CA,39.00,39.38,37.65,38.29,3840000
2026-02-03,ADIB.CA,38.34,39.01,38.30,39.00,5050000
2026-02-04,ADIB.CA,39.21,39.89,39.00,39.00,2850000
2026-02-05,ADIB.CA,39.03,39.40,38.40,39.00,2000000
2026-02-08,ADIB.CA,39.10,39.50,38.74,39.28,1410000
2026-02-09,ADIB.CA,39.28,39.50,37.96,39.00,1650000
2026-02-10,ADIB.CA,39.00,39.25,38.39,38.45,1410000
2026-02-11,ADIB.CA,38.45,38.69,37.40,37.53,2180000
2026-02-12,ADIB.CA,37.65,37.90,36.11,36.65,3290000
2026-02-15,ADIB.CA,36.70,39.90,36.70,39.80,4210000
2026-02-16,ADIB.CA,39.97,41.00,39.85,41.00,3470000
2026-02-17,ADIB.CA,41.01,42.50,39.51,41.59,3760000
2026-02-18,ADIB.CA,42.00,44.80,41.71,44.00,4020000
2026-02-19,ADIB.CA,44.10,44.97,42.00,42.50,3930000
2026-02-22,ADIB.CA,42.50,42.97,39.82,40.65,2170000
2026-02-23,ADIB.CA,40.65,43.49,39.80,41.98,4010000
2026-02-24,ADIB.CA,42.20,42.49,40.57,41.15,2660000
2026-02-25,ADIB.CA,41.18,41.50,39.50,40.70,2800000
2026-02-26,ADIB.CA,40.70,40.98,39.80,40.70,1240000
2026-03-01,ADIB.CA,38.15,40.70,37.02,39.80,2300000
2026-03-02,ADIB.CA,39.82,40.85,39.80,39.99,1080000
2026-03-03,ADIB.CA,39.97,39.99,38.28,38.50,1610000
2026-03-04,ADIB.CA,38.51,38.70,37.00,37.81,4050000
2026-03-05,ADIB.CA,38.24,39.28,38.10,38.65,2280000
2026-03-08,ADIB.CA,38.65,39.00,37.04,37.69,2690000
2026-03-09,ADIB.CA,37.60,37.68,36.10,36.55,2870000
2026-03-10,ADIB.CA,36.90,39.00,36.81,38.97,2920000
2026-03-11,ADIB.CA,39.03,41.00,39.00,41.00,2220000
2026-03-12,ADIB.CA,41.10,41.99,39.00,39.05,2110000
2026-03-15,ADIB.CA,39.07,39.72,38.00,38.00,2160000
2026-03-16,ADIB.CA,38.11,38.78,37.40,37.50,1170000
2026-03-17,ADIB.CA,37.55,40.19,37.55,39.80,2060000
2026-03-18,ADIB.CA,40.00,40.90,39.81,40.90,1160000
2026-03-24,ADIB.CA,40.87,41.00,39.82,39.89,1110000
2026-03-25,ADIB.CA,40.00,40.58,39.30,39.35,1760000
2026-03-26,ADIB.CA,39.50,39.90,39.38,39.40,695130
2026-03-29,ADIB.CA,39.32,39.35,38.13,38.87,572900
2026-03-30,ADIB.CA,38.86,38.99,38.00,38.11,571600
2026-03-31,ADIB.CA,38.11,38.45,37.53,38.10,1270000
2026-04-01,ADIB.CA,38.51,39.60,38.51,39.02,1090000
2026-04-02,ADIB.CA,39.00,39.10,38.51,38.90,666570
2026-04-05,ADIB.CA,38.99,39.94,38.91,39.72,799630
2026-04-06,ADIB.CA,39.72,40.99,39.55,40.90,1790000
2026-04-07,ADIB.CA,40.90,41.01,39.91,40.40,828440
2026-04-08,ADIB.CA,41.04,42.65,41.04,42.45,2960000
2026-04-09,ADIB.CA,42.45,43.93,42.39,43.55,2190000
2026-04-12,ADIB.CA,42.45,43.55,43.55,43.55,2190000
2026-04-14,ADIB.CA,43.60,45.00,43.60,44.50,2000000
2026-04-15,ADIB.CA,44.50,46.85,44.50,45.90,1740000
2026-04-16,ADIB.CA,46.02,46.88,45.06,46.00,1210000
2026-04-19,ADIB.CA,46.30,46.48,44.00,45.97,3120000
2026-04-20,ADIB.CA,45.50,45.50,44.35,45.19,1290000
2026-04-21,ADIB.CA,45.19,45.88,44.35,44.40,1180000
2026-04-22,ADIB.CA,44.49,44.70,43.51,43.85,1250000
2026-04-23,ADIB.CA,43.80,44.49,43.06,44.02,1550000
2026-04-26,ADIB.CA,44.06,44.98,44.06,44.47,1410000
2026-04-27,ADIB.CA,44.55,44.94,44.06,44.75,1300000
2026-04-28,ADIB.CA,44.89,44.89,44.03,44.30,1050000
2026-04-29,ADIB.CA,44.40,44.69,44.05,44.30,1180000
2026-04-30,ADIB.CA,44.30,44.80,44.00,44.80,1240000
2026-05-03,ADIB.CA,44.60,47.98,44.25,47.90,3200000
2026-05-04,ADIB.CA,48.26,50.00,46.00,46.38,3950000
2026-05-05,ADIB.CA,46.35,46.35,44.70,45.85,1900000
2026-05-06,ADIB.CA,46.00,47.00,45.06,45.21,2140000
2026-05-10,ADIB.CA,45.20,48.00,44.45,47.00,5500000
2026-05-11,ADIB.CA,45.11,49.98,45.00,48.20,10470000
2026-05-12,ADIB.CA,48.50,48.83,46.15,47.49,4590000
2026-05-13,ADIB.CA,48.00,50.08,47.60,49.60,7180000
2026-05-14,ADIB.CA,49.68,49.90,46.90,48.70,3090000
2026-05-17,ADIB.CA,48.60,48.68,45.95,46.00,3750000
2026-05-18,ADIB.CA,46.11,46.96,45.30,46.85,2300000
2026-05-19,ADIB.CA,46.97,47.52,46.95,47.50,1810000
2026-05-20,ADIB.CA,47.60,47.70,45.91,46.00,2050000
2026-05-21,ADIB.CA,46.46,46.55,45.60,46.55,2420000
2026-05-24,ADIB.CA,46.70,48.75,46.70,48.42,2780000
2026-05-25,ADIB.CA,48.50,48.89,47.60,47.61,7870000
2026-06-01,ADIB.CA,48.09,48.48,47.00,48.34,2070000
2026-06-02,ADIB.CA,48.32,48.32,47.40,47.74,1510000
2026-06-03,ADIB.CA,47.80,47.97,46.51,46.82,1840000
2026-06-04,ADIB.CA,46.88,47.38,46.40,47.38,1530000
2026-06-07,ADIB.CA,47.15,47.28,46.51,46.80,1030000
2026-06-08,ADIB.CA,46.60,46.79,46.04,46.25,1320000
2026-06-09,ADIB.CA,46.52,46.80,46.20,46.45,1340000
2026-06-10,ADIB.CA,46.20,46.39,44.60,44.85,2240000
2026-06-11,ADIB.CA,44.84,45.00,44.01,44.10,1390000
2026-06-14,ADIB.CA,45.76,45.99,44.81,45.80,1820000
2026-06-15,ADIB.CA,46.01,47.56,46.01,47.30,3650000
2026-06-16,ADIB.CA,47.28,47.80,46.86,47.80,1560000
2026-06-17,ADIB.CA,47.72,47.80,46.63,46.78,1360000
2026-06-21,ADIB.CA,46.78,47.31,46.30,47.00,1570000
2026-06-22,ADIB.CA,47.06,47.24,46.52,46.62,1290000
2026-06-23,ADIB.CA,46.80,46.97,45.33,45.70,1210000
2026-06-24,ADIB.CA,45.70,45.83,44.71,45.50,1680000
