Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,ADPC.CA,3.870,3.960,3.850,3.890,2350000
2026-01-05,ADPC.CA,3.920,4.050,3.820,3.910,5090000
2026-01-06,ADPC.CA,3.980,4.010,3.870,3.870,2790000
2026-01-08,ADPC.CA,3.940,3.970,3.850,3.870,2220000
2026-01-11,ADPC.CA,3.920,3.950,3.840,3.850,1180000
2026-01-12,ADPC.CA,3.860,3.970,3.830,3.840,2540000
2026-01-13,ADPC.CA,3.840,3.860,3.710,3.730,1640000
2026-01-14,ADPC.CA,3.700,3.750,3.530,3.590,1380000
2026-01-15,ADPC.CA,3.620,3.650,3.410,3.450,1780000
2026-01-18,ADPC.CA,3.490,3.540,3.410,3.520,1050000
2026-01-19,ADPC.CA,3.550,3.600,3.520,3.570,1130000
2026-01-20,ADPC.CA,3.570,3.600,3.540,3.550,805820
2026-01-21,ADPC.CA,3.560,3.620,3.500,3.590,1250000
2026-01-22,ADPC.CA,3.590,3.640,3.570,3.580,979730
2026-01-25,ADPC.CA,3.590,3.610,3.450,3.500,2210000
2026-01-26,ADPC.CA,3.530,3.720,3.430,3.560,2340000
2026-01-27,ADPC.CA,3.540,3.590,3.300,3.430,2280000
2026-01-28,ADPC.CA,3.440,3.460,3.260,3.280,3010000
2026-02-01,ADPC.CA,3.300,3.400,3.200,3.360,1090000
2026-02-02,ADPC.CA,3.400,3.530,3.350,3.360,6040000
2026-02-03,ADPC.CA,3.430,3.470,3.390,3.450,1160000
2026-02-04,ADPC.CA,3.450,3.480,3.420,3.430,973140
2026-02-05,ADPC.CA,3.430,3.470,3.370,3.420,1350000
2026-02-08,ADPC.CA,3.420,3.590,3.410,3.520,3250000
2026-02-09,ADPC.CA,3.590,3.710,3.500,3.620,5690000
2026-02-10,ADPC.CA,3.650,3.880,3.630,3.740,7140000
2026-02-11,ADPC.CA,3.750,3.800,3.650,3.750,1930000
2026-02-12,ADPC.CA,3.790,3.880,3.710,3.730,2640000
2026-02-15,ADPC.CA,3.740,3.820,3.650,3.670,2600000
2026-02-16,ADPC.CA,3.680,3.750,3.620,3.630,1470000
2026-02-17,ADPC.CA,3.650,3.760,3.620,3.700,1550000
2026-02-18,ADPC.CA,3.710,3.840,3.670,3.780,3460000
2026-02-19,ADPC.CA,3.790,3.960,3.650,3.680,6940000
2026-02-22,ADPC.CA,3.660,3.700,3.540,3.570,2110000
2026-02-23,ADPC.CA,3.580,3.720,3.450,3.670,1860000
2026-02-24,ADPC.CA,3.700,3.720,3.600,3.610,839590
2026-02-25,ADPC.CA,3.630,3.660,3.500,3.570,1840000
2026-02-26,ADPC.CA,3.570,3.630,3.500,3.600,867030
2026-03-01,ADPC.CA,3.390,3.600,3.210,3.600,1240000
2026-03-02,ADPC.CA,3.600,3.600,3.490,3.510,490260
2026-03-03,ADPC.CA,3.520,3.550,3.410,3.440,671180
2026-03-04,ADPC.CA,3.490,3.530,3.430,3.480,459270
2026-03-05,ADPC.CA,3.540,3.550,3.470,3.480,526090
2026-03-08,ADPC.CA,3.490,3.520,3.460,3.490,416780
2026-03-09,ADPC.CA,3.520,3.560,3.490,3.520,798420
2026-03-10,ADPC.CA,3.540,3.670,3.530,3.610,1200000
2026-03-11,ADPC.CA,3.630,3.660,3.570,3.590,751310
2026-03-12,ADPC.CA,3.590,3.680,3.570,3.600,648200
2026-03-15,ADPC.CA,3.640,3.640,3.530,3.540,553110
2026-03-16,ADPC.CA,3.580,3.580,3.460,3.480,581990
2026-03-17,ADPC.CA,3.480,3.580,3.480,3.510,321010
2026-03-18,ADPC.CA,3.560,3.570,3.510,3.540,593930
2026-03-24,ADPC.CA,3.560,3.680,3.550,3.610,1190000
2026-03-25,ADPC.CA,3.640,3.650,3.570,3.580,574010
2026-03-26,ADPC.CA,3.600,3.610,3.520,3.530,424260
2026-03-29,ADPC.CA,3.550,3.590,3.470,3.480,651280
2026-03-30,ADPC.CA,3.500,3.520,3.390,3.410,779380
2026-03-31,ADPC.CA,3.480,3.480,3.390,3.420,437660
2026-04-01,ADPC.CA,3.450,3.480,3.410,3.470,431240
2026-04-02,ADPC.CA,3.470,3.490,3.430,3.450,287000
2026-04-05,ADPC.CA,3.450,3.510,3.420,3.450,1200000
2026-04-06,ADPC.CA,3.460,3.490,3.410,3.410,593720
2026-04-07,ADPC.CA,3.420,3.470,3.360,3.380,516210
2026-04-08,ADPC.CA,3.470,3.480,3.420,3.470,425730
2026-04-09,ADPC.CA,3.470,3.590,3.470,3.510,1290000
2026-04-12,ADPC.CA,3.470,3.510,3.510,3.510,1290000
2026-04-14,ADPC.CA,3.550,3.580,3.520,3.550,974090
2026-04-15,ADPC.CA,3.570,3.630,3.560,3.570,1290000
2026-04-16,ADPC.CA,3.590,3.760,3.580,3.690,3330000
2026-04-19,ADPC.CA,3.720,3.730,3.660,3.670,1170000
2026-04-20,ADPC.CA,3.660,3.690,3.610,3.640,465340
2026-04-21,ADPC.CA,3.630,3.800,3.620,3.700,3860000
2026-04-22,ADPC.CA,3.740,3.800,3.700,3.750,892650
2026-04-23,ADPC.CA,3.750,3.790,3.680,3.720,1550000
2026-04-26,ADPC.CA,3.720,3.880,3.720,3.750,2900000
2026-04-27,ADPC.CA,3.790,3.830,3.750,3.780,871440
2026-04-28,ADPC.CA,3.800,3.930,3.780,3.800,3660000
2026-04-29,ADPC.CA,3.820,3.850,3.790,3.800,1160000
2026-04-30,ADPC.CA,3.800,3.850,3.750,3.750,1490000
2026-05-03,ADPC.CA,3.760,3.820,3.760,3.790,1670000
2026-05-04,ADPC.CA,3.800,3.800,3.740,3.750,1010000
2026-05-05,ADPC.CA,3.770,3.790,3.730,3.740,916350
2026-05-06,ADPC.CA,3.740,3.780,3.710,3.750,662670
2026-05-10,ADPC.CA,3.750,3.840,3.710,3.840,2970000
2026-05-11,ADPC.CA,3.850,3.900,3.810,3.840,1980000
2026-05-12,ADPC.CA,3.840,3.910,3.810,3.830,870480
2026-05-13,ADPC.CA,3.870,3.930,3.830,3.900,2310000
2026-05-14,ADPC.CA,3.910,3.990,3.890,3.900,3430000
2026-05-17,ADPC.CA,3.930,4.050,3.870,3.980,5400000
2026-05-18,ADPC.CA,4.000,4.450,3.910,4.190,21330000
2026-05-19,ADPC.CA,4.220,4.360,4.180,4.190,7810000
2026-05-20,ADPC.CA,4.200,4.240,4.040,4.060,4140000
2026-05-21,ADPC.CA,4.080,4.180,3.850,3.900,10570000
2026-05-24,ADPC.CA,3.950,3.950,3.630,3.690,13640000
2026-05-25,ADPC.CA,3.700,3.710,3.540,3.600,16110000
2026-06-01,ADPC.CA,3.640,3.650,3.550,3.630,3640000
2026-06-02,ADPC.CA,3.640,3.700,3.610,3.610,10500000
2026-06-03,ADPC.CA,3.620,3.630,3.580,3.580,5750000
2026-06-04,ADPC.CA,3.630,3.820,3.610,3.770,11420000
2026-06-07,ADPC.CA,3.790,3.790,3.700,3.700,3060000
2026-06-08,ADPC.CA,3.680,3.730,3.630,3.680,2310000
2026-06-09,ADPC.CA,3.680,3.740,3.670,3.700,1880000
2026-06-10,ADPC.CA,3.710,3.720,3.600,3.600,2970000
2026-06-11,ADPC.CA,3.570,3.570,3.450,3.520,3920000
2026-06-14,ADPC.CA,3.550,3.600,3.530,3.550,1710000
2026-06-15,ADPC.CA,3.600,3.610,3.540,3.550,1580000
2026-06-16,ADPC.CA,3.560,3.680,3.530,3.600,3070000
2026-06-17,ADPC.CA,3.620,3.660,3.600,3.630,2370000
2026-06-21,ADPC.CA,3.650,3.940,3.650,3.920,9670000
2026-06-22,ADPC.CA,4.070,4.080,3.840,3.840,12180000
2026-06-23,ADPC.CA,3.870,3.870,3.670,3.680,5110000
2026-06-24,ADPC.CA,3.670,3.670,3.610,3.620,1870000
