Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,ADRI.CA,4.460,4.470,4.000,4.400,131500
2026-01-05,ADRI.CA,4.320,4.460,4.290,4.350,62940
2026-01-06,ADRI.CA,4.290,4.440,4.070,4.270,48840
2026-01-08,ADRI.CA,4.360,4.400,4.080,4.290,91450
2026-01-11,ADRI.CA,4.300,4.400,4.130,4.300,43610
2026-01-12,ADRI.CA,4.330,4.450,4.180,4.370,160910
2026-01-13,ADRI.CA,4.390,4.400,4.220,4.220,176070
2026-01-14,ADRI.CA,4.340,4.350,4.100,4.110,256280
2026-01-15,ADRI.CA,4.050,4.380,4.050,4.330,76070
2026-01-18,ADRI.CA,4.300,4.310,4.200,4.270,46790
2026-01-19,ADRI.CA,4.210,4.360,4.070,4.110,261630
2026-01-20,ADRI.CA,4.200,4.360,4.130,4.340,1370000
2026-01-21,ADRI.CA,4.340,4.690,4.290,4.690,583760
2026-01-22,ADRI.CA,4.560,4.690,4.510,4.580,392900
2026-01-25,ADRI.CA,4.600,4.690,4.520,4.580,141600
2026-01-26,ADRI.CA,4.590,4.860,4.400,4.820,677000
2026-01-27,ADRI.CA,4.800,4.960,4.610,4.940,882860
2026-01-28,ADRI.CA,4.810,4.880,4.610,4.710,296100
2026-02-01,ADRI.CA,4.700,4.820,4.480,4.620,278160
2026-02-02,ADRI.CA,4.740,4.750,4.450,4.710,271220
2026-02-03,ADRI.CA,4.710,4.820,4.550,4.780,114820
2026-02-04,ADRI.CA,4.700,4.790,4.610,4.630,128180
2026-02-05,ADRI.CA,4.680,5.090,4.480,5.080,1430000
2026-02-08,ADRI.CA,5.100,5.400,5.000,5.110,388490
2026-02-09,ADRI.CA,5.100,5.230,4.830,4.870,523710
2026-02-10,ADRI.CA,4.900,5.090,4.830,5.010,341700
2026-02-11,ADRI.CA,5.060,5.080,4.850,4.970,194920
2026-02-12,ADRI.CA,4.900,5.000,4.830,4.860,124290
2026-02-15,ADRI.CA,4.900,5.000,4.850,4.900,129270
2026-02-16,ADRI.CA,4.900,4.900,4.770,4.810,194820
2026-02-17,ADRI.CA,4.800,4.800,4.700,4.750,126720
2026-02-18,ADRI.CA,4.750,4.840,4.670,4.710,98640
2026-02-19,ADRI.CA,4.750,4.850,4.690,4.710,103240
2026-02-22,ADRI.CA,4.690,4.790,4.670,4.670,108990
2026-02-23,ADRI.CA,4.670,4.700,4.600,4.630,163870
2026-02-24,ADRI.CA,4.640,4.690,4.450,4.470,74370
2026-02-25,ADRI.CA,4.500,4.900,4.320,4.790,440060
2026-02-26,ADRI.CA,4.780,5.050,4.670,4.910,370890
2026-03-01,ADRI.CA,4.540,4.800,4.420,4.780,389700
2026-03-02,ADRI.CA,4.600,4.780,4.510,4.550,152310
2026-03-03,ADRI.CA,4.550,4.650,4.300,4.310,327760
2026-03-04,ADRI.CA,4.400,4.700,4.210,4.520,137800
2026-03-05,ADRI.CA,4.520,4.690,4.500,4.520,28110
2026-03-08,ADRI.CA,4.500,4.590,4.300,4.390,233480
2026-03-09,ADRI.CA,4.360,4.570,4.350,4.490,71760
2026-03-10,ADRI.CA,4.470,4.750,4.400,4.640,245690
2026-03-11,ADRI.CA,4.460,4.750,4.460,4.560,174360
2026-03-12,ADRI.CA,4.550,4.700,4.400,4.660,501080
2026-03-15,ADRI.CA,4.650,4.690,4.450,4.660,30970
2026-03-16,ADRI.CA,4.480,5.110,4.450,5.090,864050
2026-03-17,ADRI.CA,5.040,5.500,4.850,5.470,562700
2026-03-18,ADRI.CA,5.390,5.450,5.120,5.130,125330
2026-03-24,ADRI.CA,5.150,5.350,4.930,5.210,462480
2026-03-25,ADRI.CA,5.210,5.400,5.010,5.320,99360
2026-03-26,ADRI.CA,5.250,5.380,5.110,5.150,154940
2026-03-29,ADRI.CA,5.120,5.500,5.050,5.470,415670
2026-03-30,ADRI.CA,5.310,5.990,5.110,5.840,675540
2026-03-31,ADRI.CA,5.830,6.170,5.500,6.150,270860
2026-04-01,ADRI.CA,6.000,6.100,5.760,5.870,202310
2026-04-02,ADRI.CA,5.920,6.400,5.820,6.030,368650
2026-04-05,ADRI.CA,6.180,6.250,6.000,6.090,186220
2026-04-06,ADRI.CA,6.010,6.150,5.850,5.910,162980
2026-04-07,ADRI.CA,5.870,6.120,5.610,6.070,150660
2026-04-08,ADRI.CA,5.950,6.050,5.870,6.000,90690
2026-04-09,ADRI.CA,6.000,6.100,5.860,6.020,54060
2026-04-12,ADRI.CA,6.000,6.020,6.020,6.020,54060
2026-04-14,ADRI.CA,5.930,6.000,5.870,5.980,151120
2026-04-15,ADRI.CA,5.950,6.300,5.950,6.300,230040
2026-04-16,ADRI.CA,6.290,6.790,6.060,6.630,253890
2026-04-19,ADRI.CA,6.640,7.290,6.500,7.290,599900
2026-04-20,ADRI.CA,7.290,8.010,7.290,8.010,328290
