Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,AFDI.CA,32.30,33.50,32.25,32.87,409790
2024-01-03,AFDI.CA,33.10,33.48,32.70,33.01,331790
2024-01-04,AFDI.CA,33.19,33.30,32.40,32.46,223440
2024-01-08,AFDI.CA,32.60,33.48,32.25,32.34,207130
2024-01-09,AFDI.CA,32.90,32.99,32.00,32.43,295700
2024-01-10,AFDI.CA,32.77,33.90,32.50,33.90,731800
2024-01-11,AFDI.CA,34.25,38.30,34.10,36.93,2910000
2024-01-14,AFDI.CA,37.48,37.59,35.80,36.00,852160
2024-01-15,AFDI.CA,36.07,36.85,35.15,35.37,535970
2024-01-16,AFDI.CA,35.73,36.30,35.11,35.23,535000
2024-01-17,AFDI.CA,35.65,35.79,33.00,34.19,513970
2024-01-18,AFDI.CA,34.20,34.88,33.80,33.95,338620
2024-01-21,AFDI.CA,34.20,35.47,33.50,34.54,614560
2024-01-22,AFDI.CA,35.40,35.90,34.30,34.54,439380
2024-01-23,AFDI.CA,35.10,36.60,34.70,35.00,940680
2024-01-24,AFDI.CA,35.50,36.96,35.33,35.62,1080000
2024-01-28,AFDI.CA,36.10,36.80,35.25,35.32,456760
2024-01-29,AFDI.CA,35.95,36.00,33.71,34.14,460130
2024-01-30,AFDI.CA,34.70,34.70,33.75,34.18,313090
2024-01-31,AFDI.CA,34.39,34.51,28.10,29.94,346500
2024-02-01,AFDI.CA,29.94,32.00,27.78,31.94,285840
2024-02-04,AFDI.CA,31.94,32.00,30.51,31.01,240030
2024-02-05,AFDI.CA,31.01,33.48,30.53,32.65,682440
2024-02-06,AFDI.CA,32.65,33.50,31.31,31.42,362200
2024-02-07,AFDI.CA,31.42,32.25,30.00,30.58,216980
2024-02-08,AFDI.CA,30.58,31.99,30.61,31.47,166540
2024-02-11,AFDI.CA,31.47,32.40,31.05,31.31,249080
2024-02-12,AFDI.CA,31.31,31.98,30.60,31.07,127420
2024-02-13,AFDI.CA,31.07,33.10,31.01,32.69,649180
2024-02-14,AFDI.CA,32.69,34.24,32.87,33.34,553160
2024-02-15,AFDI.CA,33.34,33.93,32.62,32.94,302960
2024-02-18,AFDI.CA,32.94,35.50,32.80,35.24,1130000
2024-02-19,AFDI.CA,35.24,36.99,35.27,35.43,1250000
2024-02-20,AFDI.CA,35.43,41.00,35.50,37.90,2120000
2024-02-21,AFDI.CA,37.90,39.50,37.11,37.13,1210000
2024-02-22,AFDI.CA,37.13,38.40,36.35,36.50,882050
2024-02-25,AFDI.CA,36.50,36.00,31.13,32.27,597970
2024-02-26,AFDI.CA,32.27,33.60,32.10,32.10,375700
2024-02-27,AFDI.CA,32.10,34.13,32.36,33.50,323600
2024-02-28,AFDI.CA,33.50,34.19,31.01,31.03,300950
2024-02-29,AFDI.CA,31.03,31.86,30.03,30.69,214260
2024-03-03,AFDI.CA,30.69,32.00,30.72,31.30,221940
2024-03-04,AFDI.CA,31.30,32.38,31.50,32.02,237720
2024-03-05,AFDI.CA,32.02,32.85,31.30,31.65,222330
2024-03-06,AFDI.CA,31.65,32.90,29.80,29.93,318830
2024-03-07,AFDI.CA,29.93,30.50,28.28,28.89,193010
2024-03-10,AFDI.CA,28.89,30.89,29.20,29.50,390680
2024-03-11,AFDI.CA,29.50,31.40,29.50,29.50,342700
2024-03-12,AFDI.CA,29.50,30.49,28.42,28.49,160420
2024-03-13,AFDI.CA,28.49,29.99,27.51,27.64,189570
2024-03-14,AFDI.CA,27.64,28.38,26.50,27.49,117350
2024-03-17,AFDI.CA,27.49,28.00,25.12,25.20,239520
2024-03-18,AFDI.CA,25.20,25.35,23.18,23.19,195750
2024-03-19,AFDI.CA,23.19,24.00,22.00,23.51,203380
2024-03-20,AFDI.CA,23.51,24.70,23.50,23.72,164370
2024-03-21,AFDI.CA,23.72,24.80,23.05,24.62,163060
2024-03-24,AFDI.CA,24.62,25.49,24.24,24.56,237540
2024-03-25,AFDI.CA,24.56,26.00,24.60,24.70,233700
2024-03-26,AFDI.CA,24.70,25.29,24.40,24.47,145490
2024-03-27,AFDI.CA,24.47,24.50,23.12,23.29,93240
2024-03-28,AFDI.CA,23.29,23.31,22.44,22.79,71630
2024-03-31,AFDI.CA,22.79,23.49,22.05,22.24,121700
2024-04-01,AFDI.CA,22.24,23.51,22.28,23.44,111590
2024-04-02,AFDI.CA,23.44,25.49,23.38,25.10,314210
2024-04-03,AFDI.CA,25.10,27.60,24.62,27.09,707290
2024-04-04,AFDI.CA,27.09,27.69,26.50,26.94,218850
2024-04-07,AFDI.CA,26.94,27.88,26.50,26.51,162080
2024-04-08,AFDI.CA,26.51,27.20,26.50,27.03,169650
2024-04-15,AFDI.CA,27.03,28.46,26.65,27.92,174440
2024-04-16,AFDI.CA,27.92,28.59,27.52,28.00,183610
2024-04-17,AFDI.CA,28.00,29.64,28.30,28.49,847630
2024-04-18,AFDI.CA,28.49,29.00,24.33,25.66,357680
2024-04-21,AFDI.CA,25.66,27.44,25.60,25.91,200340
2024-04-22,AFDI.CA,25.91,26.38,25.10,25.42,70650
2024-04-23,AFDI.CA,25.42,25.80,23.55,23.69,104010
2024-04-24,AFDI.CA,23.69,24.00,21.65,23.01,148790
2024-04-28,AFDI.CA,23.42,23.44,22.00,22.24,211590
2024-04-29,AFDI.CA,22.22,23.50,22.00,22.99,112410
2024-04-30,AFDI.CA,23.05,23.84,20.33,20.68,172280
2024-05-01,AFDI.CA,21.00,21.48,19.50,21.03,229780
2024-05-02,AFDI.CA,21.03,22.10,20.30,21.65,125410
2024-05-07,AFDI.CA,22.00,23.00,21.80,22.43,208350
2024-05-08,AFDI.CA,22.85,23.00,21.38,22.00,167990
2024-05-09,AFDI.CA,22.00,22.37,21.46,22.14,153370
2024-05-12,AFDI.CA,22.15,22.45,20.00,20.11,228440
2024-05-13,AFDI.CA,20.10,20.49,19.22,19.84,154550
2024-05-14,AFDI.CA,19.90,20.00,19.25,19.35,80520
2024-05-15,AFDI.CA,19.35,19.90,19.18,19.66,93250
2024-05-16,AFDI.CA,19.89,21.06,19.80,21.00,331040
