Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,AFMC.CA,62.30,64.00,62.27,62.72,63330
2026-01-05,AFMC.CA,63.44,63.44,60.80,61.11,56170
2026-01-06,AFMC.CA,61.50,61.99,60.50,60.73,47330
2026-01-08,AFMC.CA,61.88,61.88,60.00,60.35,47860
2026-01-11,AFMC.CA,60.35,61.00,60.35,60.50,31210
2026-01-12,AFMC.CA,60.88,63.95,60.36,61.35,138350
2026-01-13,AFMC.CA,61.70,63.49,60.35,60.72,47350
2026-01-14,AFMC.CA,60.46,61.50,59.01,59.56,44110
2026-01-15,AFMC.CA,59.67,60.50,59.00,59.10,39840
2026-01-18,AFMC.CA,59.03,62.15,59.03,60.55,118220
2026-01-19,AFMC.CA,60.89,61.59,60.52,60.58,45480
2026-01-20,AFMC.CA,61.00,61.90,60.58,60.69,83850
2026-01-21,AFMC.CA,60.58,61.35,60.00,60.39,50930
2026-01-22,AFMC.CA,60.60,62.50,60.60,61.10,99750
2026-01-25,AFMC.CA,61.10,61.70,60.35,60.46,46660
2026-01-26,AFMC.CA,60.00,61.20,59.00,59.39,37830
2026-01-27,AFMC.CA,59.80,61.74,59.17,61.55,112730
2026-01-28,AFMC.CA,61.55,62.10,59.50,61.53,112360
2026-02-01,AFMC.CA,61.58,61.58,60.16,60.94,39730
2026-02-02,AFMC.CA,60.94,61.50,60.52,61.26,26480
2026-02-03,AFMC.CA,61.48,63.20,61.10,63.03,143350
2026-02-04,AFMC.CA,63.10,65.99,63.05,63.39,343540
2026-02-05,AFMC.CA,63.52,64.45,62.10,62.63,90920
2026-02-08,AFMC.CA,62.08,63.89,62.08,63.11,55610
2026-02-09,AFMC.CA,63.15,63.90,61.70,62.41,19870
2026-02-10,AFMC.CA,62.41,62.80,61.50,62.01,36690
2026-02-11,AFMC.CA,62.51,63.20,61.80,61.98,33600
2026-02-12,AFMC.CA,61.92,62.55,61.68,62.20,20640
2026-02-15,AFMC.CA,62.55,62.55,61.03,61.48,69430
2026-02-16,AFMC.CA,61.50,61.98,61.40,61.50,38140
2026-02-17,AFMC.CA,61.50,61.88,61.40,61.60,18720
2026-02-18,AFMC.CA,61.60,61.83,61.06,61.12,25520
2026-02-19,AFMC.CA,61.76,61.76,60.10,60.49,29270
2026-02-22,AFMC.CA,60.10,60.40,59.00,59.31,32140
2026-02-23,AFMC.CA,59.35,60.50,59.00,59.14,28330
2026-02-24,AFMC.CA,60.00,60.49,58.80,59.00,37180
2026-02-25,AFMC.CA,59.00,59.59,55.60,56.23,30800
2026-02-26,AFMC.CA,56.90,57.99,56.00,56.32,31300
2026-03-01,AFMC.CA,54.00,54.99,51.30,52.65,41320
2026-03-02,AFMC.CA,53.80,58.25,53.00,57.06,66140
2026-03-03,AFMC.CA,57.00,57.99,56.00,56.20,20200
2026-03-04,AFMC.CA,56.35,57.50,55.85,56.03,15990
2026-03-05,AFMC.CA,56.24,57.50,56.05,56.77,15580
2026-03-08,AFMC.CA,57.25,58.29,56.00,56.19,21060
2026-03-09,AFMC.CA,56.20,56.94,55.00,55.97,17630
2026-03-10,AFMC.CA,56.50,57.25,56.00,57.04,28060
2026-03-11,AFMC.CA,57.25,60.00,57.00,58.34,199470
2026-03-12,AFMC.CA,58.34,59.90,57.05,57.17,89620
2026-03-15,AFMC.CA,57.17,57.98,56.58,56.77,18750
2026-03-16,AFMC.CA,57.00,58.85,56.50,57.05,57430
2026-03-17,AFMC.CA,56.80,57.25,56.00,56.46,20930
2026-03-18,AFMC.CA,56.97,57.15,56.41,57.02,22090
2026-03-24,AFMC.CA,57.17,57.46,56.10,57.00,24720
2026-03-25,AFMC.CA,57.00,58.00,57.00,57.22,36960
2026-03-26,AFMC.CA,57.30,62.40,57.30,59.48,327030
2026-03-29,AFMC.CA,59.48,60.30,58.05,58.22,17760
2026-03-30,AFMC.CA,58.20,59.50,55.20,56.89,77300
2026-03-31,AFMC.CA,57.20,57.40,56.02,56.76,24320
2026-04-01,AFMC.CA,56.99,59.90,56.00,59.37,153610
2026-04-02,AFMC.CA,59.79,59.79,57.51,57.94,48870
2026-04-05,AFMC.CA,57.99,61.25,57.99,59.24,167620
2026-04-06,AFMC.CA,59.25,61.74,59.25,59.70,241630
2026-04-07,AFMC.CA,59.70,62.49,59.00,60.20,337210
2026-04-08,AFMC.CA,61.69,62.39,60.35,61.64,165100
