Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,AIFI.CA,2.058,2.058,1.942,2.023,22270000
2026-01-05,AIFI.CA,2.150,2.230,2.040,2.060,19310000
2026-01-06,AIFI.CA,2.110,2.280,2.090,2.250,37590000
2026-01-08,AIFI.CA,2.240,2.250,2.080,2.100,15420000
2026-01-11,AIFI.CA,2.070,2.100,1.940,2.060,12530000
2026-01-12,AIFI.CA,2.070,2.150,2.070,2.090,11080000
2026-01-13,AIFI.CA,2.100,2.110,2.030,2.030,5650000
2026-01-14,AIFI.CA,2.030,2.180,2.030,2.130,22850000
2026-01-15,AIFI.CA,2.140,2.150,2.070,2.090,8820000
2026-01-18,AIFI.CA,2.100,2.150,2.100,2.110,5970000
2026-01-19,AIFI.CA,2.110,2.150,2.090,2.110,8920000
2026-01-20,AIFI.CA,2.110,2.250,2.110,2.210,19400000
2026-01-21,AIFI.CA,2.280,2.400,2.270,2.380,43420000
2026-01-22,AIFI.CA,2.410,2.460,2.250,2.250,84240000
2026-01-25,AIFI.CA,2.260,2.270,2.120,2.140,29710000
2026-01-26,AIFI.CA,2.140,2.170,2.080,2.120,8070000
2026-01-27,AIFI.CA,2.130,2.140,2.070,2.070,5350000
2026-01-28,AIFI.CA,2.090,2.140,1.960,1.990,9720000
2026-02-01,AIFI.CA,2.000,2.060,1.970,2.000,3210000
2026-02-02,AIFI.CA,1.990,2.010,1.980,1.990,7230000
2026-02-03,AIFI.CA,2.000,2.070,1.950,2.030,16630000
2026-02-04,AIFI.CA,2.050,2.070,2.010,2.040,6920000
2026-02-05,AIFI.CA,2.050,2.060,1.990,2.020,7140000
2026-02-08,AIFI.CA,2.030,2.050,1.990,2.000,7460000
2026-02-09,AIFI.CA,2.020,2.040,1.970,2.040,7850000
2026-02-10,AIFI.CA,2.050,2.060,1.990,2.020,9210000
2026-02-11,AIFI.CA,2.020,2.030,1.990,1.990,3330000
2026-02-12,AIFI.CA,2.000,2.080,1.980,2.070,6160000
2026-02-15,AIFI.CA,2.070,2.070,2.010,2.010,9380000
2026-02-16,AIFI.CA,2.020,2.060,1.990,2.000,6560000
2026-02-17,AIFI.CA,2.000,2.020,1.940,1.970,7620000
2026-02-18,AIFI.CA,1.980,1.980,1.930,1.970,6160000
2026-02-19,AIFI.CA,1.970,1.970,1.910,1.910,2150000
2026-02-22,AIFI.CA,1.900,1.900,1.600,1.800,4830000
2026-02-23,AIFI.CA,1.850,1.870,1.800,1.860,1510000
2026-02-24,AIFI.CA,1.870,1.870,1.760,1.780,5770000
2026-02-25,AIFI.CA,1.780,1.790,1.650,1.660,3940000
2026-02-26,AIFI.CA,1.660,1.700,1.620,1.660,2330000
2026-03-01,AIFI.CA,1.590,1.600,1.450,1.580,2640000
2026-03-02,AIFI.CA,1.570,1.770,1.550,1.730,8960000
2026-03-03,AIFI.CA,1.750,1.750,1.630,1.680,4070000
2026-03-04,AIFI.CA,1.690,1.700,1.660,1.680,1390000
2026-03-05,AIFI.CA,1.700,1.730,1.690,1.700,2610000
2026-03-08,AIFI.CA,1.730,1.730,1.670,1.680,1370000
2026-03-09,AIFI.CA,1.680,1.710,1.670,1.690,1380000
2026-03-10,AIFI.CA,1.680,1.820,1.680,1.750,4040000
2026-03-11,AIFI.CA,1.790,1.820,1.760,1.770,5340000
2026-03-12,AIFI.CA,1.780,1.790,1.740,1.740,2200000
2026-03-15,AIFI.CA,1.740,1.770,1.720,1.740,1610000
2026-03-16,AIFI.CA,1.740,1.750,1.690,1.700,1820000
2026-03-17,AIFI.CA,1.710,1.740,1.670,1.680,2310000
2026-03-18,AIFI.CA,1.680,1.710,1.680,1.690,1360000
2026-03-24,AIFI.CA,1.690,1.700,1.670,1.670,2080000
2026-03-25,AIFI.CA,1.670,1.690,1.660,1.660,2420000
