Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,AJWA.CA,129.90,131.80,125.51,126.94,29940
2026-01-05,AJWA.CA,127.00,128.40,125.00,125.72,29730
2026-01-06,AJWA.CA,127.49,127.49,125.21,126.44,2890
2026-01-08,AJWA.CA,126.44,126.44,124.10,124.53,6360
2026-01-11,AJWA.CA,124.42,125.80,122.10,123.76,3610
2026-01-12,AJWA.CA,125.00,125.08,122.25,122.37,11380
2026-01-13,AJWA.CA,123.00,123.00,119.60,120.18,10380
2026-01-14,AJWA.CA,120.18,122.50,117.02,119.73,13800
2026-01-15,AJWA.CA,120.00,120.00,117.50,118.54,8130
2026-01-18,AJWA.CA,118.89,121.85,118.00,118.55,7360
2026-01-19,AJWA.CA,120.79,120.79,117.74,118.22,7570
2026-01-20,AJWA.CA,118.89,119.21,118.00,118.39,9990
2026-01-21,AJWA.CA,118.00,118.50,116.60,117.15,20010
2026-01-22,AJWA.CA,118.39,119.00,116.80,116.96,32190
2026-01-25,AJWA.CA,117.89,122.00,116.75,118.94,44070
2026-01-26,AJWA.CA,121.20,121.50,117.00,117.52,32860
2026-01-27,AJWA.CA,119.85,119.85,117.07,117.86,3250
2026-01-28,AJWA.CA,117.25,118.00,116.80,116.90,11960
2026-02-01,AJWA.CA,119.50,119.50,113.05,117.07,3380
2026-02-02,AJWA.CA,129.98,129.98,101.00,115.50,2630
2026-02-03,AJWA.CA,117.00,117.89,115.02,115.66,5100
2026-02-04,AJWA.CA,115.60,117.50,115.50,116.65,6770
2026-02-05,AJWA.CA,116.90,117.49,115.80,116.04,12040
2026-02-08,AJWA.CA,117.00,117.50,116.00,116.58,6560
2026-02-09,AJWA.CA,116.75,117.40,115.50,116.81,50690
2026-02-10,AJWA.CA,117.10,117.49,116.00,116.54,8040
2026-02-11,AJWA.CA,117.37,117.37,115.70,116.66,8110
2026-02-12,AJWA.CA,116.67,117.00,115.70,115.98,13920
2026-02-15,AJWA.CA,117.00,117.36,115.70,116.09,7820
2026-02-16,AJWA.CA,115.88,116.50,115.50,115.78,19820
2026-02-17,AJWA.CA,116.40,116.40,115.16,115.72,14670
2026-02-18,AJWA.CA,116.30,116.30,115.11,115.20,6280
2026-02-19,AJWA.CA,115.65,116.40,113.01,113.49,7210
2026-02-22,AJWA.CA,114.00,115.60,112.01,113.25,5890
2026-02-23,AJWA.CA,113.87,114.95,111.00,111.40,7320
2026-02-24,AJWA.CA,112.90,112.90,110.11,111.06,11010
2026-02-25,AJWA.CA,112.69,112.69,92.55,101.00,18150
2026-02-26,AJWA.CA,105.01,119.92,105.01,117.26,102870
2026-03-01,AJWA.CA,103.01,115.99,103.00,113.25,38880
2026-03-02,AJWA.CA,112.70,119.00,105.01,111.87,28980
2026-03-03,AJWA.CA,113.50,115.00,111.01,111.18,7490
2026-03-04,AJWA.CA,112.60,113.50,110.03,111.03,7480
2026-03-05,AJWA.CA,112.50,112.50,110.65,111.32,6500
2026-03-08,AJWA.CA,111.30,111.42,110.00,111.28,9620
2026-03-09,AJWA.CA,112.00,112.00,106.01,107.36,69460
2026-03-10,AJWA.CA,109.00,110.89,107.99,108.42,9230
2026-03-11,AJWA.CA,110.00,111.00,108.25,108.42,2230
2026-03-12,AJWA.CA,109.50,110.78,108.10,108.62,5270
2026-03-15,AJWA.CA,110.30,118.80,110.30,112.72,104010
2026-03-16,AJWA.CA,113.50,128.28,110.49,126.49,55090
2026-03-17,AJWA.CA,124.90,124.90,116.00,117.73,122720
2026-03-18,AJWA.CA,120.90,120.90,115.00,116.53,60770
2026-03-24,AJWA.CA,117.04,119.99,113.26,114.89,23020
2026-03-25,AJWA.CA,114.94,115.94,113.70,114.99,15000
2026-03-26,AJWA.CA,115.30,116.95,111.00,111.17,33280
2026-03-29,AJWA.CA,111.51,113.60,111.25,112.11,26510
2026-03-30,AJWA.CA,112.11,114.00,110.00,113.27,32880
2026-03-31,AJWA.CA,113.90,114.90,111.56,112.65,10870
2026-04-01,AJWA.CA,112.36,113.39,111.67,112.74,4400
2026-04-02,AJWA.CA,112.00,113.39,111.69,113.01,23140
2026-04-05,AJWA.CA,113.01,115.40,111.49,114.03,27740
2026-04-06,AJWA.CA,114.03,116.75,113.00,116.07,35720
2026-04-07,AJWA.CA,117.00,117.45,114.00,114.11,39300
2026-04-08,AJWA.CA,114.11,121.00,114.11,119.00,103410
2026-04-09,AJWA.CA,119.00,123.70,117.01,123.00,88790
2026-04-12,AJWA.CA,119.00,123.00,123.00,123.00,88790
2026-04-14,AJWA.CA,123.00,133.30,121.01,126.00,405090
2026-04-15,AJWA.CA,126.52,129.48,126.52,127.53,160680
2026-04-16,AJWA.CA,128.99,134.00,126.62,127.25,280100
2026-04-19,AJWA.CA,127.30,128.50,126.01,126.57,70160
2026-04-20,AJWA.CA,127.49,128.89,126.27,127.09,73500
2026-04-21,AJWA.CA,127.10,133.75,126.55,132.61,367660
2026-04-22,AJWA.CA,132.00,132.00,130.00,130.99,250850
2026-04-23,AJWA.CA,130.03,133.00,130.00,132.42,40250
2026-04-26,AJWA.CA,132.42,136.00,128.05,131.02,272790
2026-04-27,AJWA.CA,132.00,134.50,131.22,132.27,35380
2026-04-28,AJWA.CA,134.00,134.00,132.00,132.94,50910
2026-04-29,AJWA.CA,133.51,134.50,132.00,132.30,108880
2026-04-30,AJWA.CA,133.94,133.94,131.00,131.47,24380
2026-05-03,AJWA.CA,135.00,136.80,132.50,134.49,139330
2026-05-04,AJWA.CA,136.00,136.00,130.60,131.65,107440
2026-05-05,AJWA.CA,131.67,136.90,130.52,132.25,200420
2026-05-06,AJWA.CA,132.25,134.50,132.00,132.85,51150
2026-05-10,AJWA.CA,133.00,134.00,132.59,133.60,64400
2026-05-11,AJWA.CA,133.90,134.00,132.10,132.26,34450
2026-05-12,AJWA.CA,132.06,134.75,131.20,134.75,85790
2026-05-13,AJWA.CA,134.01,136.90,133.01,135.93,127410
2026-05-14,AJWA.CA,137.00,139.50,135.93,136.16,147010
2026-05-17,AJWA.CA,136.00,137.50,132.10,135.00,81070
2026-05-18,AJWA.CA,135.00,135.00,132.06,134.47,60920
2026-05-19,AJWA.CA,134.44,135.00,133.16,134.05,22380
2026-05-20,AJWA.CA,134.90,134.90,132.50,132.97,19130
2026-05-21,AJWA.CA,133.00,133.95,131.71,131.81,46160
2026-05-24,AJWA.CA,132.00,133.50,131.71,131.98,19350
2026-05-25,AJWA.CA,131.98,133.48,130.01,132.92,38620
2026-06-01,AJWA.CA,132.00,133.98,131.50,132.95,21420
2026-06-02,AJWA.CA,133.01,135.00,132.00,133.01,142180
2026-06-03,AJWA.CA,134.00,137.00,133.10,136.33,76200
2026-06-04,AJWA.CA,136.36,137.90,133.10,134.98,140530
2026-06-07,AJWA.CA,134.50,136.90,134.01,135.09,45690
2026-06-08,AJWA.CA,135.50,136.45,132.15,135.00,132020
2026-06-09,AJWA.CA,135.50,154.00,135.00,150.56,1070000
2026-06-10,AJWA.CA,150.00,153.90,147.00,148.09,194360
2026-06-11,AJWA.CA,147.50,152.00,144.00,152.00,118000
2026-06-14,AJWA.CA,152.01,161.99,150.51,158.73,285240
