Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,AMER.CA,2.270,2.300,2.170,2.190,15360000
2026-01-05,AMER.CA,2.200,2.360,2.130,2.260,34760000
2026-01-06,AMER.CA,2.280,2.310,2.240,2.260,9180000
2026-01-08,AMER.CA,2.270,2.310,2.190,2.200,13300000
2026-01-11,AMER.CA,2.220,2.400,2.200,2.220,7020000
2026-01-12,AMER.CA,2.230,2.310,2.190,2.230,15720000
2026-01-13,AMER.CA,2.240,2.250,2.130,2.140,7550000
2026-01-14,AMER.CA,2.140,2.150,2.000,2.070,9470000
2026-01-15,AMER.CA,2.050,2.110,2.020,2.030,9470000
2026-01-18,AMER.CA,2.060,2.170,2.060,2.130,11710000
2026-01-19,AMER.CA,2.150,2.230,2.140,2.200,16850000
2026-01-20,AMER.CA,2.210,2.220,2.140,2.150,14850000
2026-01-21,AMER.CA,2.160,2.170,2.080,2.120,15110000
2026-01-22,AMER.CA,2.130,2.200,2.130,2.150,18250000
2026-01-25,AMER.CA,2.160,2.170,2.100,2.120,11190000
2026-01-26,AMER.CA,2.120,2.130,2.060,2.080,19750000
2026-01-27,AMER.CA,2.100,2.180,2.090,2.110,17270000
2026-01-28,AMER.CA,2.120,2.140,2.010,2.040,16250000
2026-02-01,AMER.CA,2.050,2.120,2.030,2.090,15200000
2026-02-02,AMER.CA,2.090,2.150,2.060,2.150,12720000
2026-02-03,AMER.CA,2.190,2.270,2.180,2.200,47710000
2026-02-04,AMER.CA,2.240,2.250,2.150,2.170,15260000
2026-02-05,AMER.CA,2.180,2.180,2.100,2.120,15720000
2026-02-08,AMER.CA,2.140,2.180,2.130,2.140,19420000
2026-02-09,AMER.CA,2.150,2.160,2.120,2.120,9050000
2026-02-10,AMER.CA,2.130,2.160,2.120,2.130,15880000
2026-02-11,AMER.CA,2.140,2.140,2.050,2.060,19380000
2026-02-12,AMER.CA,2.070,2.130,2.060,2.090,20540000
2026-02-15,AMER.CA,2.110,2.110,2.070,2.080,14360000
2026-02-16,AMER.CA,2.080,2.110,2.070,2.070,17440000
2026-02-17,AMER.CA,2.080,2.080,2.050,2.060,7990000
2026-02-18,AMER.CA,2.070,2.100,2.060,2.070,15120000
2026-02-19,AMER.CA,2.080,2.080,2.010,2.030,14760000
2026-02-22,AMER.CA,2.040,2.050,1.970,1.970,9080000
2026-02-23,AMER.CA,1.980,2.000,1.960,1.980,8960000
2026-02-24,AMER.CA,1.980,1.990,1.890,1.910,19100000
2026-02-25,AMER.CA,1.900,1.920,1.740,1.780,19310000
2026-02-26,AMER.CA,1.780,1.850,1.690,1.850,31070000
2026-03-01,AMER.CA,1.690,1.800,1.690,1.780,15580000
2026-03-02,AMER.CA,1.790,1.830,1.770,1.790,11860000
2026-03-03,AMER.CA,1.790,1.900,1.750,1.810,37870000
2026-03-04,AMER.CA,1.810,1.830,1.760,1.790,11190000
2026-03-05,AMER.CA,1.800,1.840,1.790,1.810,18730000
2026-03-08,AMER.CA,1.840,1.850,1.800,1.810,13250000
2026-03-09,AMER.CA,1.810,1.820,1.780,1.780,6610000
2026-03-10,AMER.CA,1.800,1.910,1.800,1.900,20660000
2026-03-11,AMER.CA,1.920,1.950,1.880,1.890,21860000
2026-03-12,AMER.CA,1.910,1.910,1.820,1.840,14830000
2026-03-15,AMER.CA,1.840,1.850,1.780,1.780,7600000
2026-03-16,AMER.CA,1.790,1.800,1.760,1.800,7170000
2026-03-17,AMER.CA,1.800,1.870,1.790,1.820,24270000
2026-03-18,AMER.CA,1.830,1.860,1.820,1.830,9620000
2026-03-24,AMER.CA,1.830,1.850,1.810,1.840,9130000
2026-03-25,AMER.CA,1.850,2.010,1.840,1.960,65220000
2026-03-26,AMER.CA,1.960,2.000,1.890,1.890,23340000
2026-03-29,AMER.CA,1.880,1.900,1.840,1.860,14390000
2026-03-30,AMER.CA,1.870,1.930,1.800,1.820,19450000
2026-03-31,AMER.CA,1.830,1.860,1.820,1.840,10750000
2026-04-01,AMER.CA,1.870,1.910,1.860,1.870,12940000
2026-04-02,AMER.CA,1.870,1.880,1.840,1.860,9740000
2026-04-05,AMER.CA,1.860,1.880,1.850,1.850,7040000
2026-04-06,AMER.CA,1.860,1.900,1.830,1.840,25080000
2026-04-07,AMER.CA,1.840,1.860,1.810,1.820,11830000
2026-04-08,AMER.CA,1.870,1.880,1.830,1.860,13830000
2026-04-09,AMER.CA,1.860,1.880,1.840,1.850,19110000
2026-04-12,AMER.CA,1.860,1.850,1.850,1.850,19110000
2026-04-14,AMER.CA,1.850,1.920,1.850,1.880,23350000
2026-04-15,AMER.CA,1.900,1.940,1.890,1.890,16440000
2026-04-16,AMER.CA,1.910,1.920,1.870,1.900,20630000
2026-04-19,AMER.CA,1.930,2.070,1.920,2.030,109120000
2026-04-20,AMER.CA,2.040,2.060,1.980,2.000,42840000
2026-04-21,AMER.CA,2.070,2.130,2.050,2.100,68030000
2026-04-22,AMER.CA,2.120,2.140,2.070,2.090,36780000
2026-04-23,AMER.CA,2.080,2.160,2.080,2.140,35760000
2026-04-26,AMER.CA,2.150,2.220,2.120,2.140,37750000
2026-04-27,AMER.CA,2.140,2.160,2.120,2.130,9250000
2026-04-28,AMER.CA,2.140,2.170,2.110,2.120,15240000
2026-04-29,AMER.CA,2.120,2.160,2.090,2.110,27620000
2026-04-30,AMER.CA,2.120,2.130,2.060,2.080,20500000
2026-05-03,AMER.CA,2.090,2.140,2.080,2.090,23290000
2026-05-04,AMER.CA,2.100,2.380,2.080,2.330,141380000
2026-05-05,AMER.CA,2.390,2.450,2.320,2.330,77760000
2026-05-06,AMER.CA,2.390,2.400,2.290,2.320,42150000
2026-05-10,AMER.CA,2.340,2.470,2.300,2.340,53030000
2026-05-11,AMER.CA,2.360,2.450,2.320,2.410,38040000
