Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,AMES.CA,57.75,57.75,55.25,55.93,14480
2026-01-05,AMES.CA,55.83,56.60,54.00,54.12,24600
2026-01-06,AMES.CA,55.00,56.00,54.00,54.56,15740
2026-01-08,AMES.CA,54.60,59.30,54.60,56.28,194240
2026-01-11,AMES.CA,57.00,57.95,55.56,56.18,72040
2026-01-12,AMES.CA,57.00,57.00,54.00,55.10,37050
2026-01-13,AMES.CA,55.20,56.27,53.00,53.79,30970
2026-01-14,AMES.CA,53.12,54.37,51.39,51.88,24470
2026-01-15,AMES.CA,53.80,54.00,51.30,51.80,21640
2026-01-18,AMES.CA,52.90,52.90,51.00,51.57,10600
2026-01-19,AMES.CA,51.71,52.50,51.70,51.93,9740
2026-01-20,AMES.CA,52.00,52.90,52.00,52.40,9410
2026-01-21,AMES.CA,53.00,54.96,52.03,52.32,36960
2026-01-22,AMES.CA,52.32,53.40,52.00,52.29,11880
2026-01-25,AMES.CA,52.35,53.60,52.01,52.68,11740
2026-01-26,AMES.CA,52.41,52.90,51.90,52.10,8760
2026-01-27,AMES.CA,52.10,52.77,48.20,50.40,19400
2026-01-28,AMES.CA,50.40,53.00,48.90,50.36,71340
2026-02-01,AMES.CA,50.38,53.50,50.38,52.38,56060
2026-02-02,AMES.CA,52.35,52.89,50.62,51.10,12350
2026-02-03,AMES.CA,51.85,52.89,51.00,51.70,33760
2026-02-04,AMES.CA,51.75,59.00,51.70,54.30,411270
2026-02-05,AMES.CA,54.86,54.89,52.50,52.69,54490
2026-02-08,AMES.CA,53.20,55.78,52.71,53.74,72620
2026-02-09,AMES.CA,53.70,54.40,52.71,53.91,33630
2026-02-10,AMES.CA,53.40,54.34,53.00,53.12,24580
2026-02-11,AMES.CA,53.89,53.89,52.50,52.60,12630
2026-02-12,AMES.CA,52.50,54.52,52.00,52.24,68870
2026-02-15,AMES.CA,52.50,54.25,52.50,52.78,13040
2026-02-16,AMES.CA,53.00,53.29,52.50,52.64,19990
2026-02-17,AMES.CA,52.50,55.00,52.15,53.31,47150
2026-02-18,AMES.CA,53.31,55.40,53.00,53.08,48250
2026-02-19,AMES.CA,54.39,54.99,52.22,52.44,81580
2026-02-22,AMES.CA,52.11,53.48,49.65,50.17,55750
2026-02-23,AMES.CA,50.25,51.79,49.90,50.02,50960
2026-02-24,AMES.CA,50.10,50.90,48.55,49.22,46080
2026-02-25,AMES.CA,48.62,49.60,48.00,48.08,43280
2026-02-26,AMES.CA,48.08,49.98,47.52,47.91,24930
2026-03-01,AMES.CA,47.00,47.00,40.11,46.33,17490
2026-03-02,AMES.CA,46.94,48.00,45.50,47.37,14090
2026-03-03,AMES.CA,47.01,47.85,44.60,44.96,77610
2026-03-04,AMES.CA,45.47,45.60,42.22,43.86,114160
2026-03-05,AMES.CA,43.86,44.44,43.33,43.84,25710
2026-03-08,AMES.CA,44.40,44.55,43.84,44.31,17200
2026-03-09,AMES.CA,44.35,44.90,43.13,43.19,35640
2026-03-10,AMES.CA,43.27,51.00,43.25,46.97,249220
2026-03-11,AMES.CA,47.97,50.20,47.30,48.08,75300
2026-03-12,AMES.CA,48.79,48.79,46.26,47.88,75930
2026-03-15,AMES.CA,47.99,47.99,46.30,46.45,25650
2026-03-16,AMES.CA,46.41,46.94,45.31,45.78,18910
2026-03-17,AMES.CA,45.78,47.50,45.30,45.75,29820
2026-03-18,AMES.CA,46.49,46.49,45.36,45.71,30440
2026-03-24,AMES.CA,46.00,46.75,45.71,46.00,21560
2026-03-25,AMES.CA,45.71,46.67,44.55,45.31,92340
2026-03-26,AMES.CA,45.20,47.99,44.72,45.97,113510
2026-03-29,AMES.CA,45.93,47.05,45.00,45.42,39170
2026-03-30,AMES.CA,46.29,46.80,44.06,45.18,25360
2026-03-31,AMES.CA,44.50,45.77,44.28,44.87,12840
2026-04-01,AMES.CA,45.69,45.69,44.81,45.17,9990
2026-04-02,AMES.CA,45.45,48.49,44.50,46.48,225840
2026-04-05,AMES.CA,46.50,47.47,46.14,46.47,53030
2026-04-06,AMES.CA,46.31,46.99,46.31,46.54,50080
2026-04-07,AMES.CA,46.70,48.70,46.00,46.30,95050
2026-04-08,AMES.CA,47.50,47.50,46.40,46.59,36370
2026-04-09,AMES.CA,46.60,48.00,46.50,46.70,151460
2026-04-12,AMES.CA,46.59,46.70,46.70,46.70,151460
2026-04-14,AMES.CA,47.50,47.70,47.00,47.20,25330
2026-04-15,AMES.CA,49.00,54.50,49.00,52.75,682240
2026-04-16,AMES.CA,54.69,54.97,52.26,53.00,205420
2026-04-19,AMES.CA,53.51,54.00,52.53,52.53,88200
2026-04-20,AMES.CA,52.90,53.65,52.00,52.74,83290
2026-04-21,AMES.CA,27.69,32.33,27.68,29.36,1390000
2026-04-22,AMES.CA,29.48,30.25,28.12,28.48,281990
2026-04-23,AMES.CA,29.64,29.93,28.51,29.00,216240
2026-04-26,AMES.CA,29.48,34.65,29.02,33.44,2760000
2026-04-27,AMES.CA,33.83,33.83,31.55,32.34,978320
2026-04-28,AMES.CA,38.20,38.80,36.52,38.80,221840
2026-04-29,AMES.CA,43.22,46.56,38.50,46.56,815400
2026-04-30,AMES.CA,50.98,55.87,50.00,55.87,1330000
2026-05-03,AMES.CA,57.77,65.87,55.87,61.09,930190
2026-05-04,AMES.CA,61.30,62.48,55.00,56.06,616970
2026-05-05,AMES.CA,56.12,62.44,55.03,57.28,701510
2026-05-06,AMES.CA,57.65,59.00,55.80,57.91,185270
2026-05-10,AMES.CA,57.91,57.99,55.76,56.49,121930
2026-05-11,AMES.CA,56.90,56.98,54.70,54.89,217930
2026-05-12,AMES.CA,54.99,55.98,52.70,54.34,226140
2026-05-13,AMES.CA,54.95,54.95,53.10,53.88,94950
2026-05-14,AMES.CA,54.22,57.50,54.11,54.84,235380
2026-05-17,AMES.CA,55.09,55.69,53.51,53.57,111600
2026-05-18,AMES.CA,53.56,54.00,53.00,53.06,66390
2026-05-19,AMES.CA,53.50,54.38,52.32,54.00,69180
2026-05-20,AMES.CA,53.92,55.50,53.00,53.66,202440
2026-05-21,AMES.CA,54.00,54.49,53.00,53.21,65390
2026-05-24,AMES.CA,54.00,54.00,53.05,53.10,64550
2026-05-25,AMES.CA,53.10,53.63,52.30,52.30,63970
2026-06-01,AMES.CA,52.52,53.60,52.52,52.97,38620
2026-06-02,AMES.CA,53.12,53.50,52.00,52.09,115720
2026-06-03,AMES.CA,52.30,52.52,48.00,50.99,85780
2026-06-04,AMES.CA,51.19,51.95,50.26,50.45,76480
2026-06-07,AMES.CA,50.56,51.83,50.31,50.79,43130
2026-06-08,AMES.CA,50.99,51.19,50.50,50.63,31340
2026-06-09,AMES.CA,50.73,51.69,50.50,50.55,65160
2026-06-10,AMES.CA,50.99,51.47,49.50,49.85,93870
2026-06-11,AMES.CA,49.85,50.00,48.00,48.10,30690
2026-06-14,AMES.CA,49.01,50.00,49.01,49.63,36290
2026-06-15,AMES.CA,49.65,49.99,48.50,48.88,27370
2026-06-16,AMES.CA,48.85,49.30,48.60,48.90,8300
2026-06-17,AMES.CA,49.39,49.65,48.30,48.76,39180
2026-06-21,AMES.CA,49.00,50.00,48.91,49.76,60960
2026-06-22,AMES.CA,49.93,51.45,49.50,49.63,125980
2026-06-23,AMES.CA,50.15,50.15,48.26,48.93,51620
2026-06-24,AMES.CA,48.90,49.80,48.02,48.40,25980
