Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,AMIA.CA,1.665,1.694,1.649,1.690,1010000
2024-01-03,AMIA.CA,1.712,1.801,1.689,1.796,8180000
2024-01-04,AMIA.CA,1.827,1.883,1.800,1.803,5850000
2024-01-08,AMIA.CA,1.811,1.856,1.775,1.784,2490000
2024-01-09,AMIA.CA,1.793,1.829,1.775,1.784,1700000
2024-01-10,AMIA.CA,1.802,1.964,1.802,1.865,10820000
2024-01-11,AMIA.CA,1.883,1.928,1.793,1.847,4440000
2024-01-14,AMIA.CA,1.865,2.018,1.865,1.991,7750000
2024-01-15,AMIA.CA,2.108,2.342,2.063,2.225,12790000
2024-01-16,AMIA.CA,2.243,2.379,2.171,2.252,9060000
2024-01-17,AMIA.CA,2.252,2.279,2.081,2.108,4370000
2024-01-18,AMIA.CA,2.117,2.469,2.117,2.388,20610000
2024-01-21,AMIA.CA,2.451,2.505,2.342,2.351,6520000
2024-01-22,AMIA.CA,2.370,2.604,2.370,2.451,10970000
2024-01-23,AMIA.CA,2.505,2.766,2.406,2.766,13260000
2024-01-24,AMIA.CA,2.802,3.036,2.748,2.766,9880000
2024-01-28,AMIA.CA,2.811,3.027,2.739,2.802,8420000
2024-01-29,AMIA.CA,2.829,2.901,2.595,2.658,10940000
2024-01-30,AMIA.CA,2.685,2.694,2.568,2.613,4470000
2024-01-31,AMIA.CA,2.658,2.847,2.279,2.433,4950000
2024-02-01,AMIA.CA,2.433,2.658,2.261,2.595,2300000
2024-02-04,AMIA.CA,2.595,2.613,2.469,2.505,1380000
2024-02-05,AMIA.CA,2.505,2.550,2.478,2.523,982630
2024-02-06,AMIA.CA,2.523,2.550,2.342,2.433,1390000
2024-02-07,AMIA.CA,2.433,2.505,2.370,2.433,654900
2024-02-08,AMIA.CA,2.433,2.523,2.370,2.460,1180000
2024-02-11,AMIA.CA,2.460,2.532,2.397,2.514,1300000
2024-02-12,AMIA.CA,2.514,2.532,2.442,2.478,676300
2024-02-13,AMIA.CA,2.478,2.631,2.433,2.559,2230000
2024-02-14,AMIA.CA,2.559,2.685,2.162,2.559,2850000
2024-02-15,AMIA.CA,2.559,2.658,2.550,2.658,2260000
2024-02-18,AMIA.CA,2.658,2.721,2.604,2.622,2560000
2024-02-19,AMIA.CA,2.622,2.640,2.550,2.559,1140000
2024-02-20,AMIA.CA,2.559,2.658,2.559,2.631,2100000
2024-02-21,AMIA.CA,2.631,2.784,2.586,2.604,12490000
2024-02-22,AMIA.CA,2.604,2.667,2.532,2.559,5460000
2024-02-25,AMIA.CA,2.559,2.523,2.216,2.360,3230000
2024-02-26,AMIA.CA,2.360,2.415,2.270,2.297,1550000
2024-02-27,AMIA.CA,2.297,2.550,2.360,2.370,2910000
2024-02-28,AMIA.CA,2.370,2.442,2.297,2.306,1190000
2024-02-29,AMIA.CA,2.306,2.342,2.216,2.279,1390000
2024-03-03,AMIA.CA,2.279,2.370,2.261,2.297,2060000
2024-03-04,AMIA.CA,2.297,2.388,2.297,2.360,1030000
2024-03-05,AMIA.CA,2.360,2.388,2.297,2.306,662810
2024-03-06,AMIA.CA,2.306,2.379,2.135,2.189,1610000
2024-03-07,AMIA.CA,2.189,2.288,2.027,2.153,863030
2024-03-10,AMIA.CA,2.153,2.279,2.162,2.234,824580
2024-03-11,AMIA.CA,2.234,2.279,2.117,2.135,778750
2024-03-12,AMIA.CA,2.135,2.180,2.072,2.090,476490
2024-03-13,AMIA.CA,2.090,2.153,2.009,2.027,478750
2024-03-14,AMIA.CA,2.027,2.108,2.027,2.072,369500
2024-03-17,AMIA.CA,2.072,2.198,2.081,2.126,191950
2024-03-18,AMIA.CA,2.126,2.153,1.856,1.901,1210000
2024-03-19,AMIA.CA,1.901,1.937,1.766,1.829,755980
2024-03-20,AMIA.CA,1.829,1.892,1.820,1.847,695060
2024-03-21,AMIA.CA,1.847,2.027,1.865,2.027,1320000
2024-03-24,AMIA.CA,2.027,2.045,1.964,1.982,541840
2024-03-25,AMIA.CA,1.982,2.018,1.946,2.000,399400
2024-03-26,AMIA.CA,2.000,2.072,1.964,2.045,604970
2024-03-27,AMIA.CA,2.045,2.045,1.946,1.973,395360
2024-03-28,AMIA.CA,1.973,1.982,1.928,1.955,177040
2024-03-31,AMIA.CA,1.955,1.973,1.829,1.847,377080
2024-04-01,AMIA.CA,1.847,2.036,1.937,2.018,749010
2024-04-02,AMIA.CA,2.018,2.126,2.027,2.054,548170
2024-04-03,AMIA.CA,2.054,2.090,1.973,2.063,591200
2024-04-04,AMIA.CA,2.063,2.099,2.036,2.072,403250
2024-04-07,AMIA.CA,2.072,2.108,2.027,2.036,646190
2024-04-08,AMIA.CA,2.036,2.054,2.000,2.027,202740
2024-04-15,AMIA.CA,2.027,2.072,1.991,2.045,1050000
