Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,AMPI.CA,2.690,2.730,2.570,2.610,499930
2026-01-05,AMPI.CA,2.660,2.660,2.480,2.600,1390000
2026-01-06,AMPI.CA,2.600,2.640,2.570,2.610,308320
2026-01-08,AMPI.CA,2.630,2.630,2.480,2.530,3280000
2026-01-11,AMPI.CA,2.600,2.650,2.540,2.650,1140000
2026-01-12,AMPI.CA,2.630,2.690,2.560,2.580,634310
2026-01-13,AMPI.CA,2.620,2.650,2.460,2.480,382050
2026-01-14,AMPI.CA,2.520,2.600,2.380,2.560,544840
2026-01-15,AMPI.CA,2.560,2.600,2.460,2.590,253150
2026-01-18,AMPI.CA,2.590,2.600,2.500,2.520,194650
2026-01-19,AMPI.CA,2.540,2.550,2.430,2.500,584570
2026-01-20,AMPI.CA,2.550,2.550,2.490,2.510,156880
2026-01-21,AMPI.CA,2.510,2.530,2.460,2.520,185480
2026-01-22,AMPI.CA,2.500,2.540,2.480,2.520,456300
2026-01-25,AMPI.CA,2.500,2.520,2.470,2.480,269840
2026-01-26,AMPI.CA,2.500,2.520,2.460,2.470,143260
2026-01-27,AMPI.CA,2.490,2.490,2.350,2.380,405590
2026-01-28,AMPI.CA,2.450,2.480,2.420,2.430,360810
2026-02-01,AMPI.CA,2.450,2.480,2.410,2.440,163520
2026-02-02,AMPI.CA,2.440,2.450,2.390,2.420,227170
2026-02-03,AMPI.CA,2.450,2.490,2.430,2.440,214930
2026-02-04,AMPI.CA,2.480,2.490,2.430,2.450,269400
2026-02-05,AMPI.CA,2.470,2.480,2.430,2.450,240290
2026-02-08,AMPI.CA,2.470,2.470,2.440,2.460,181220
2026-02-09,AMPI.CA,2.470,2.470,2.410,2.440,533900
2026-02-10,AMPI.CA,2.440,2.460,2.400,2.440,507860
2026-02-11,AMPI.CA,2.420,2.450,2.400,2.440,508510
2026-02-12,AMPI.CA,2.440,2.450,2.430,2.430,154210
2026-02-15,AMPI.CA,2.440,2.460,2.420,2.450,327240
2026-02-16,AMPI.CA,2.450,2.470,2.430,2.470,374230
2026-02-17,AMPI.CA,2.470,2.470,2.410,2.470,250910
2026-02-18,AMPI.CA,2.470,2.470,2.430,2.440,225110
2026-02-19,AMPI.CA,2.430,2.450,2.410,2.410,133160
2026-02-22,AMPI.CA,2.410,2.430,2.400,2.400,195060
2026-02-23,AMPI.CA,2.400,2.410,2.350,2.400,120660
2026-02-24,AMPI.CA,2.400,2.420,2.390,2.410,135490
2026-02-25,AMPI.CA,2.400,2.420,2.390,2.390,153990
2026-02-26,AMPI.CA,2.390,2.410,2.350,2.390,85850
2026-03-01,AMPI.CA,2.350,2.360,2.280,2.300,394950
2026-03-02,AMPI.CA,2.290,2.410,2.290,2.400,293500
2026-03-03,AMPI.CA,2.400,2.490,2.370,2.440,210610
2026-03-04,AMPI.CA,2.410,2.490,2.400,2.400,226740
2026-03-05,AMPI.CA,2.400,2.450,2.380,2.390,145930
2026-03-08,AMPI.CA,2.420,2.500,2.350,2.500,647060
2026-03-09,AMPI.CA,2.500,2.620,2.500,2.620,739320
2026-03-10,AMPI.CA,2.610,2.750,2.490,2.750,1120000
2026-03-11,AMPI.CA,2.750,2.880,2.700,2.790,930570
2026-03-12,AMPI.CA,2.780,2.810,2.680,2.720,346390
2026-03-15,AMPI.CA,2.720,2.770,2.610,2.710,403000
2026-03-16,AMPI.CA,2.720,2.720,2.590,2.600,396160
2026-03-17,AMPI.CA,2.650,2.720,2.490,2.640,549440
2026-03-18,AMPI.CA,2.670,2.680,2.560,2.610,134020
2026-03-24,AMPI.CA,2.630,2.720,2.540,2.650,364210
2026-03-25,AMPI.CA,2.630,2.630,2.560,2.580,295190
2026-03-26,AMPI.CA,2.580,2.700,2.580,2.610,297600
2026-03-29,AMPI.CA,2.610,2.640,2.520,2.530,398880
2026-03-30,AMPI.CA,2.530,2.600,2.500,2.530,288600
2026-03-31,AMPI.CA,2.510,2.590,2.470,2.500,183270
2026-04-01,AMPI.CA,2.530,2.560,2.500,2.520,80460
2026-04-02,AMPI.CA,2.520,2.570,2.490,2.510,173220
2026-04-05,AMPI.CA,2.550,2.550,2.490,2.520,143230
2026-04-06,AMPI.CA,2.520,2.590,2.510,2.560,320180
2026-04-07,AMPI.CA,2.590,2.680,2.560,2.600,572880
2026-04-08,AMPI.CA,2.650,2.730,2.600,2.720,1050000
2026-04-09,AMPI.CA,2.720,2.730,2.600,2.650,541710
2026-04-12,AMPI.CA,2.720,2.650,2.650,2.650,541710
2026-04-14,AMPI.CA,2.670,2.710,2.520,2.640,1100000
2026-04-15,AMPI.CA,2.620,2.680,2.560,2.570,403610
2026-04-16,AMPI.CA,2.610,2.640,2.560,2.580,505190
2026-04-19,AMPI.CA,2.560,2.610,2.560,2.580,242250
2026-04-20,AMPI.CA,2.590,2.590,2.510,2.560,231310
2026-04-21,AMPI.CA,2.570,2.590,2.530,2.550,307750
2026-04-22,AMPI.CA,2.560,2.590,2.550,2.550,580530
2026-04-23,AMPI.CA,2.590,2.610,2.560,2.590,290900
2026-04-26,AMPI.CA,2.610,2.620,2.580,2.600,368460
2026-04-27,AMPI.CA,2.600,2.620,2.570,2.580,208540
2026-04-28,AMPI.CA,2.600,2.700,2.490,2.690,1620000
