Date,Ticker,Open,High,Low,Close,Volume
2026-01-05,APPC.CA,1.310,1.350,1.280,1.280,14080
2026-01-12,APPC.CA,1.280,1.350,1.280,1.280,33160
2026-01-14,APPC.CA,1.300,1.300,1.210,1.240,13810
2026-01-19,APPC.CA,1.250,1.340,1.250,1.250,4170
2026-01-21,APPC.CA,1.330,1.350,1.280,1.280,46520
2026-01-26,APPC.CA,1.280,1.280,1.250,1.250,21810
2026-01-28,APPC.CA,1.250,1.300,1.220,1.270,52090
2026-02-02,APPC.CA,1.340,1.340,1.250,1.250,40850
2026-02-04,APPC.CA,1.240,1.280,1.240,1.240,101120
2026-02-09,APPC.CA,1.260,1.300,1.200,1.240,71820
2026-02-11,APPC.CA,1.220,1.290,1.220,1.230,80140
2026-02-16,APPC.CA,1.290,1.290,1.230,1.240,9690
2026-02-18,APPC.CA,1.240,1.240,1.220,1.220,12470
2026-02-23,APPC.CA,1.290,1.290,1.230,1.230,21400
2026-02-25,APPC.CA,1.280,1.280,1.240,1.240,40000
2026-03-02,APPC.CA,1.280,1.280,1.200,1.210,26590
2026-03-04,APPC.CA,1.210,1.210,1.090,1.210,77600
2026-03-09,APPC.CA,1.200,1.210,1.130,1.150,36520
2026-03-11,APPC.CA,1.160,1.190,1.160,1.180,25340
2026-03-16,APPC.CA,1.180,1.180,1.140,1.170,47730
2026-03-18,APPC.CA,1.170,1.230,1.170,1.230,38740
2026-03-25,APPC.CA,1.200,1.260,1.200,1.240,19770
2026-03-30,APPC.CA,1.250,1.280,1.210,1.280,25250
2026-04-01,APPC.CA,1.280,1.300,1.260,1.260,5880
2026-04-06,APPC.CA,1.220,1.290,1.220,1.250,50980
2026-04-08,APPC.CA,1.250,1.300,1.220,1.220,11040
2026-04-15,APPC.CA,1.300,1.300,1.220,1.260,8710
2026-04-20,APPC.CA,1.300,1.300,1.260,1.260,2140
2026-04-22,APPC.CA,1.290,1.300,1.260,1.270,21090
2026-04-27,APPC.CA,1.300,1.300,1.270,1.300,3660
2026-04-29,APPC.CA,1.300,1.300,1.220,1.220,103550
2026-05-04,APPC.CA,1.220,1.250,1.220,1.230,46750
2026-05-06,APPC.CA,1.250,1.280,1.230,1.260,45480
2026-05-11,APPC.CA,1.260,1.300,1.250,1.270,135750
2026-05-13,APPC.CA,1.250,1.350,1.250,1.340,78910
2026-05-18,APPC.CA,1.270,1.400,1.270,1.350,77690
2026-05-20,APPC.CA,1.390,1.390,1.300,1.310,53370
2026-05-25,APPC.CA,1.280,1.310,1.280,1.280,62040
2026-06-01,APPC.CA,1.280,1.300,1.280,1.290,15710
2026-06-03,APPC.CA,1.290,1.340,1.290,1.340,18930
2026-06-08,APPC.CA,1.340,1.340,1.330,1.330,11040
2026-06-10,APPC.CA,1.340,1.360,1.310,1.310,9930
2026-06-15,APPC.CA,1.380,1.380,1.310,1.310,14560
2026-06-17,APPC.CA,1.380,1.380,1.350,1.350,10010
2026-06-22,APPC.CA,1.340,1.350,1.300,1.350,98230
2026-06-24,APPC.CA,1.350,1.350,1.290,1.290,47970
