Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,APSW.CA,5.700,5.990,5.700,5.830,176550
2024-01-03,APSW.CA,5.850,5.960,5.750,5.880,125690
2024-01-04,APSW.CA,5.970,6.000,5.800,5.820,212630
2024-01-08,APSW.CA,5.770,5.900,5.760,5.780,211380
2024-01-09,APSW.CA,5.820,5.940,5.780,5.870,136430
2024-01-10,APSW.CA,5.900,5.900,5.770,5.810,137760
2024-01-11,APSW.CA,5.780,6.100,5.710,6.100,612910
2024-01-14,APSW.CA,6.300,6.400,6.130,6.400,460160
2024-01-15,APSW.CA,6.500,6.550,6.140,6.170,295850
2024-01-16,APSW.CA,6.130,6.380,6.060,6.090,312220
2024-01-17,APSW.CA,6.090,6.200,5.790,5.820,490600
2024-01-18,APSW.CA,5.950,5.950,5.700,5.830,158430
2024-01-21,APSW.CA,5.880,5.900,5.680,5.720,374430
2024-01-22,APSW.CA,5.810,5.840,5.710,5.770,126990
2024-01-23,APSW.CA,5.800,5.800,5.720,5.730,147410
2024-01-24,APSW.CA,5.720,5.900,5.680,5.750,215350
2024-01-28,APSW.CA,5.700,6.000,5.700,5.920,244160
2024-01-29,APSW.CA,5.820,5.900,5.630,5.680,369840
2024-01-30,APSW.CA,5.680,5.900,5.600,5.830,146870
2024-01-31,APSW.CA,5.800,5.900,5.540,5.540,187890
2024-02-01,APSW.CA,5.540,5.630,5.270,5.420,109610
2024-02-04,APSW.CA,5.420,5.620,5.300,5.480,55250
2024-02-05,APSW.CA,5.480,5.550,5.280,5.430,66870
2024-02-06,APSW.CA,5.430,5.530,5.420,5.450,68060
2024-02-07,APSW.CA,5.450,5.480,5.300,5.390,55810
2024-02-08,APSW.CA,5.390,5.440,5.300,5.390,35790
2024-02-11,APSW.CA,5.390,5.440,5.240,5.390,46650
2024-02-12,APSW.CA,5.390,5.440,5.250,5.390,37900
2024-02-13,APSW.CA,5.390,5.420,5.250,5.390,24370
2024-02-14,APSW.CA,5.390,5.450,5.310,5.390,39060
2024-02-15,APSW.CA,5.390,5.550,5.370,5.470,62800
2024-02-18,APSW.CA,5.470,5.550,5.350,5.430,70250
2024-02-19,APSW.CA,5.430,5.550,5.400,5.410,70740
2024-02-20,APSW.CA,5.410,5.510,5.410,5.410,27090
2024-02-21,APSW.CA,5.410,5.680,5.420,5.670,198830
2024-02-22,APSW.CA,5.670,5.790,5.510,5.620,66520
2024-02-25,APSW.CA,5.620,5.600,5.340,5.440,145920
2024-02-26,APSW.CA,5.440,5.650,5.350,5.490,61440
2024-02-27,APSW.CA,5.490,5.490,5.300,5.370,121010
2024-02-28,APSW.CA,5.370,5.400,5.170,5.370,47430
2024-02-29,APSW.CA,5.370,5.250,5.110,5.370,21060
2024-03-03,APSW.CA,5.370,5.300,5.110,5.370,35470
2024-03-04,APSW.CA,5.370,5.430,5.110,5.270,196840
2024-03-05,APSW.CA,5.270,5.500,5.200,5.270,48750
2024-03-06,APSW.CA,5.270,5.460,5.160,5.350,92800
2024-03-07,APSW.CA,5.350,5.390,5.160,5.350,39980
2024-03-10,APSW.CA,5.350,5.430,5.150,5.350,55650
2024-03-11,APSW.CA,5.350,5.350,5.200,5.350,18230
2024-03-12,APSW.CA,5.350,5.350,5.090,5.100,110840
2024-03-13,APSW.CA,5.100,5.110,4.870,5.100,43090
2024-03-14,APSW.CA,5.100,5.060,4.850,5.100,45210
2024-03-17,APSW.CA,5.100,5.300,5.000,5.040,109880
2024-03-18,APSW.CA,5.040,4.970,4.790,5.040,47410
2024-03-19,APSW.CA,5.040,5.150,4.790,5.040,51050
2024-03-20,APSW.CA,5.040,4.990,4.800,4.820,71010
2024-03-21,APSW.CA,4.820,4.970,4.620,4.820,45110
2024-03-24,APSW.CA,4.820,4.900,4.760,4.820,20240
2024-03-25,APSW.CA,4.820,4.820,4.700,4.820,14300
2024-03-26,APSW.CA,4.820,5.060,5.060,5.060,141470
2024-03-27,APSW.CA,5.060,5.310,5.310,5.310,175570
2024-03-28,APSW.CA,5.310,5.570,5.090,5.570,419310
2024-03-31,APSW.CA,5.570,5.690,5.300,5.380,200670
2024-04-01,APSW.CA,5.380,5.400,5.140,5.230,78690
2024-04-02,APSW.CA,5.230,5.350,5.140,5.230,53690
2024-04-03,APSW.CA,5.230,5.280,5.120,5.230,42490
2024-04-04,APSW.CA,5.230,5.220,4.980,5.020,145170
2024-04-07,APSW.CA,5.020,5.100,4.970,5.040,74880
2024-04-08,APSW.CA,5.040,5.150,5.000,5.050,95610
2024-04-15,APSW.CA,5.050,5.180,5.050,5.050,49580
2024-04-16,APSW.CA,5.050,5.170,5.050,5.080,112620
2024-04-17,APSW.CA,5.080,5.170,5.070,5.080,54760
2024-04-18,APSW.CA,5.080,5.200,4.830,4.830,248760
2024-04-21,APSW.CA,4.830,5.060,4.950,4.830,41730
2024-04-22,APSW.CA,4.830,5.040,4.800,4.830,44270
2024-04-23,APSW.CA,4.830,5.070,4.850,5.050,134550
2024-04-24,APSW.CA,5.050,5.300,4.900,5.280,285640
2024-04-28,APSW.CA,5.110,5.330,5.110,5.240,111620
2024-04-29,APSW.CA,5.000,5.150,4.980,5.040,215360
2024-04-30,APSW.CA,5.010,5.210,4.840,5.120,92350
2024-05-01,APSW.CA,4.960,5.060,4.880,4.950,62810
