Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,ARAB.CA,0.203,0.205,0.199,0.204,25070000
2024-01-03,ARAB.CA,0.204,0.208,0.203,0.204,73610000
2024-01-04,ARAB.CA,0.204,0.208,0.200,0.201,36180000
2024-01-08,ARAB.CA,0.203,0.203,0.197,0.199,55590000
2024-01-09,ARAB.CA,0.200,0.201,0.196,0.197,42320000
2024-01-10,ARAB.CA,0.197,0.203,0.197,0.198,34600000
2024-01-11,ARAB.CA,0.199,0.199,0.194,0.197,48870000
2024-01-14,ARAB.CA,0.199,0.200,0.195,0.200,39140000
2024-01-15,ARAB.CA,0.201,0.205,0.198,0.203,25840000
2024-01-16,ARAB.CA,0.204,0.213,0.203,0.205,87010000
2024-01-17,ARAB.CA,0.208,0.210,0.201,0.202,55170000
2024-01-18,ARAB.CA,0.201,0.205,0.198,0.201,40610000
2024-01-21,ARAB.CA,0.201,0.211,0.199,0.210,154060000
2024-01-22,ARAB.CA,0.212,0.224,0.208,0.215,258530000
2024-01-23,ARAB.CA,0.219,0.233,0.213,0.228,133380000
2024-01-24,ARAB.CA,0.230,0.273,0.227,0.266,442350000
2024-01-28,ARAB.CA,0.270,0.293,0.270,0.292,325080000
2024-01-29,ARAB.CA,0.292,0.318,0.282,0.312,176770000
2024-01-30,ARAB.CA,0.318,0.340,0.300,0.333,227570000
2024-01-31,ARAB.CA,0.336,0.337,0.268,0.292,144100000
2024-02-01,ARAB.CA,0.292,0.334,0.278,0.334,64370000
2024-02-04,ARAB.CA,0.334,0.395,0.328,0.377,201660000
2024-02-05,ARAB.CA,0.377,0.395,0.368,0.377,50550000
2024-02-06,ARAB.CA,0.377,0.400,0.370,0.398,76210000
2024-02-07,ARAB.CA,0.398,0.407,0.383,0.387,53590000
2024-02-08,ARAB.CA,0.387,0.395,0.375,0.382,23800000
2024-02-11,ARAB.CA,0.382,0.383,0.372,0.375,20200000
2024-02-12,ARAB.CA,0.375,0.408,0.367,0.395,53970000
2024-02-13,ARAB.CA,0.395,0.413,0.392,0.392,54430000
2024-02-14,ARAB.CA,0.392,0.405,0.392,0.397,19100000
2024-02-15,ARAB.CA,0.397,0.427,0.393,0.423,53270000
2024-02-18,ARAB.CA,0.423,0.442,0.415,0.417,68730000
2024-02-19,ARAB.CA,0.417,0.437,0.403,0.423,82620000
2024-02-20,ARAB.CA,0.423,0.447,0.423,0.435,122740000
2024-02-21,ARAB.CA,0.435,0.458,0.433,0.440,34690000
2024-02-22,ARAB.CA,0.440,0.462,0.433,0.457,113100000
2024-02-25,ARAB.CA,0.457,0.493,0.420,0.450,69210000
2024-02-26,ARAB.CA,0.450,0.483,0.450,0.457,26080000
2024-02-27,ARAB.CA,0.457,0.467,0.435,0.448,35150000
2024-02-28,ARAB.CA,0.448,0.465,0.435,0.440,26370000
2024-02-29,ARAB.CA,0.440,0.453,0.435,0.448,39670000
2024-03-03,ARAB.CA,0.448,0.453,0.438,0.450,41750000
2024-03-04,ARAB.CA,0.450,0.472,0.447,0.450,28560000
2024-03-05,ARAB.CA,0.450,0.463,0.442,0.445,19530000
2024-03-06,ARAB.CA,0.445,0.450,0.408,0.423,69770000
2024-03-07,ARAB.CA,0.423,0.440,0.402,0.437,29200000
2024-03-10,ARAB.CA,0.437,0.482,0.437,0.482,32120000
2024-03-11,ARAB.CA,0.482,0.487,0.447,0.485,39310000
2024-03-12,ARAB.CA,0.485,0.480,0.450,0.450,13670000
2024-03-13,ARAB.CA,0.450,0.463,0.423,0.433,19430000
2024-03-14,ARAB.CA,0.433,0.467,0.368,0.428,7110000
2024-03-17,ARAB.CA,0.428,0.442,0.425,0.430,9040000
2024-03-18,ARAB.CA,0.430,0.438,0.382,0.385,8290000
2024-03-19,ARAB.CA,0.385,0.432,0.375,0.425,22000000
2024-03-20,ARAB.CA,0.425,0.433,0.405,0.413,12350000
2024-03-21,ARAB.CA,0.413,0.425,0.398,0.413,16120000
2024-03-24,ARAB.CA,0.413,0.417,0.395,0.398,14770000
2024-03-25,ARAB.CA,0.398,0.415,0.398,0.415,8370000
2024-03-26,ARAB.CA,0.415,0.420,0.398,0.400,16500000
2024-03-27,ARAB.CA,0.400,0.412,0.383,0.408,18240000
2024-03-28,ARAB.CA,0.408,0.408,0.393,0.400,4000000
2024-03-31,ARAB.CA,0.400,0.408,0.395,0.400,12250000
2024-04-01,ARAB.CA,0.400,0.422,0.400,0.417,7140000
2024-04-02,ARAB.CA,0.417,0.423,0.402,0.412,9570000
2024-04-03,ARAB.CA,0.412,0.412,0.402,0.403,7920000
2024-04-04,ARAB.CA,0.403,0.410,0.402,0.402,5630000
2024-04-07,ARAB.CA,0.402,0.408,0.398,0.402,13330000
2024-04-08,ARAB.CA,0.402,0.442,0.400,0.415,29380000
2024-04-15,ARAB.CA,0.415,0.430,0.412,0.420,35240000
2024-04-16,ARAB.CA,0.420,0.432,0.413,0.415,20910000
2024-04-17,ARAB.CA,0.415,0.427,0.407,0.423,27910000
2024-04-18,ARAB.CA,0.423,0.440,0.403,0.413,45330000
2024-04-21,ARAB.CA,0.413,0.428,0.412,0.420,44790000
2024-04-22,ARAB.CA,0.420,0.432,0.413,0.417,24740000
2024-04-23,ARAB.CA,0.417,0.425,0.398,0.398,33310000
2024-04-24,ARAB.CA,0.398,0.398,0.360,0.397,14300000
2024-04-28,ARAB.CA,0.397,0.400,0.367,0.370,4130000
2024-04-29,ARAB.CA,0.382,0.415,0.372,0.383,13180000
2024-04-30,ARAB.CA,0.383,0.390,0.353,0.360,7880000
2024-05-01,ARAB.CA,0.360,0.375,0.342,0.368,9160000
2024-05-02,ARAB.CA,0.373,0.373,0.350,0.367,9940000
2024-05-07,ARAB.CA,0.367,0.382,0.350,0.375,10930000
2024-05-08,ARAB.CA,0.378,0.383,0.358,0.358,19250000
2024-05-09,ARAB.CA,0.367,0.372,0.352,0.368,13320000
2024-05-12,ARAB.CA,0.368,0.370,0.348,0.348,6350000
2024-05-13,ARAB.CA,0.358,0.363,0.325,0.362,23690000
2024-05-14,ARAB.CA,0.370,0.390,0.340,0.350,32350000
2024-05-15,ARAB.CA,0.360,0.360,0.340,0.350,29270000
2024-05-16,ARAB.CA,0.350,0.360,0.340,0.350,9260000
2024-05-19,ARAB.CA,0.358,0.365,0.344,0.360,34430000
2024-05-20,ARAB.CA,0.360,0.369,0.352,0.359,8810000
2024-05-21,ARAB.CA,0.355,0.398,0.354,0.370,42590000
2024-05-22,ARAB.CA,0.371,0.400,0.370,0.389,43000000
2024-05-23,ARAB.CA,0.395,0.409,0.387,0.405,17070000
2024-05-26,ARAB.CA,0.401,0.405,0.393,0.396,19890000
2024-05-27,ARAB.CA,0.404,0.405,0.390,0.395,8220000
2024-05-28,ARAB.CA,0.394,0.399,0.380,0.395,9360000
2024-05-29,ARAB.CA,0.396,0.397,0.387,0.394,11830000
2024-05-30,ARAB.CA,0.390,0.393,0.380,0.382,12330000
2024-06-02,ARAB.CA,0.390,0.395,0.380,0.381,10790000
2024-06-03,ARAB.CA,0.390,0.390,0.380,0.385,9540000
