Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,ARCC.CA,10.05,11.29,10.05,11.14,688150
2024-01-03,ARCC.CA,11.15,11.99,10.81,11.62,486600
2024-01-04,ARCC.CA,11.70,11.70,10.88,11.00,474890
2024-01-08,ARCC.CA,11.06,11.14,10.70,10.95,410720
2024-01-09,ARCC.CA,10.90,10.90,10.52,10.68,222500
2024-01-10,ARCC.CA,10.86,10.86,10.55,10.58,197600
2024-01-11,ARCC.CA,10.70,10.70,10.47,10.49,190810
2024-01-14,ARCC.CA,10.66,10.80,10.37,10.75,201880
2024-01-15,ARCC.CA,10.80,10.93,10.56,10.62,213660
2024-01-16,ARCC.CA,10.80,10.80,10.41,10.46,422740
2024-01-17,ARCC.CA,10.69,11.14,10.30,10.40,1470000
2024-01-18,ARCC.CA,10.70,10.70,10.31,10.39,447420
2024-01-21,ARCC.CA,10.60,10.80,10.44,10.46,637300
2024-01-22,ARCC.CA,10.60,10.69,10.41,10.43,772500
2024-01-23,ARCC.CA,10.59,10.59,10.15,10.20,501730
2024-01-24,ARCC.CA,10.40,10.40,10.15,10.20,284690
2024-01-28,ARCC.CA,10.44,10.45,10.30,10.32,299350
2024-01-29,ARCC.CA,10.38,10.44,10.25,10.30,312440
2024-01-30,ARCC.CA,10.39,10.47,10.28,10.40,255340
2024-01-31,ARCC.CA,10.47,10.78,9.81,9.98,1050000
2024-02-01,ARCC.CA,9.98,10.09,8.40,9.99,350480
2024-02-04,ARCC.CA,9.99,9.99,9.40,9.70,284150
2024-02-05,ARCC.CA,9.70,10.01,9.59,9.96,117170
2024-02-06,ARCC.CA,9.96,10.20,9.82,9.91,258700
2024-02-07,ARCC.CA,9.91,10.11,9.80,9.99,150350
2024-02-08,ARCC.CA,9.99,10.20,9.92,10.14,176360
2024-02-11,ARCC.CA,10.14,10.69,10.20,10.29,320550
2024-02-12,ARCC.CA,10.29,10.47,10.07,10.32,207910
2024-02-13,ARCC.CA,10.32,11.00,10.21,10.54,1230000
2024-02-14,ARCC.CA,10.54,10.69,10.22,10.31,354510
2024-02-15,ARCC.CA,10.31,10.50,10.20,10.23,410580
2024-02-18,ARCC.CA,10.23,10.48,10.25,10.32,235790
