Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,ASPI.CA,0.320,0.321,0.312,0.312,26060000
2026-01-05,ASPI.CA,0.312,0.313,0.307,0.309,23940000
2026-01-06,ASPI.CA,0.310,0.311,0.307,0.309,15130000
2026-01-08,ASPI.CA,0.309,0.311,0.307,0.308,15360000
2026-01-11,ASPI.CA,0.310,0.314,0.306,0.313,32510000
2026-01-12,ASPI.CA,0.314,0.315,0.306,0.306,18680000
2026-01-13,ASPI.CA,0.306,0.309,0.302,0.303,15610000
2026-01-14,ASPI.CA,0.303,0.305,0.284,0.290,43660000
2026-01-15,ASPI.CA,0.290,0.292,0.285,0.286,14020000
2026-01-18,ASPI.CA,0.288,0.292,0.287,0.290,13350000
2026-01-19,ASPI.CA,0.291,0.295,0.289,0.294,9110000
2026-01-20,ASPI.CA,0.294,0.296,0.292,0.293,7720000
2026-01-21,ASPI.CA,0.292,0.294,0.289,0.292,14400000
2026-01-22,ASPI.CA,0.294,0.296,0.292,0.293,12940000
2026-01-25,ASPI.CA,0.293,0.294,0.289,0.290,9200000
2026-01-26,ASPI.CA,0.290,0.292,0.287,0.288,12450000
2026-01-27,ASPI.CA,0.287,0.291,0.285,0.289,16530000
2026-01-28,ASPI.CA,0.289,0.294,0.275,0.293,39690000
2026-02-01,ASPI.CA,0.295,0.303,0.292,0.300,47620000
2026-02-02,ASPI.CA,0.300,0.301,0.294,0.294,12760000
2026-02-03,ASPI.CA,0.297,0.299,0.293,0.298,14720000
2026-02-04,ASPI.CA,0.300,0.301,0.295,0.296,15200000
2026-02-05,ASPI.CA,0.298,0.298,0.284,0.291,13170000
2026-02-08,ASPI.CA,0.293,0.296,0.293,0.294,5850000
2026-02-09,ASPI.CA,0.295,0.297,0.293,0.295,7060000
2026-02-10,ASPI.CA,0.295,0.302,0.295,0.298,21090000
2026-02-11,ASPI.CA,0.299,0.301,0.295,0.296,9450000
2026-02-12,ASPI.CA,0.298,0.300,0.295,0.298,13960000
2026-02-15,ASPI.CA,0.300,0.306,0.298,0.301,35200000
2026-02-16,ASPI.CA,0.303,0.304,0.296,0.296,21500000
2026-02-17,ASPI.CA,0.297,0.299,0.296,0.297,9730000
2026-02-18,ASPI.CA,0.296,0.302,0.296,0.299,10300000
2026-02-19,ASPI.CA,0.300,0.302,0.285,0.287,19410000
2026-02-22,ASPI.CA,0.287,0.292,0.284,0.285,9800000
2026-02-23,ASPI.CA,0.287,0.290,0.286,0.288,5530000
2026-02-24,ASPI.CA,0.290,0.290,0.283,0.286,11330000
