Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,ATLC.CA,4.70,4.77,4.66,4.69,316990
2024-01-03,ATLC.CA,4.70,4.87,4.70,4.77,488570
2024-01-04,ATLC.CA,4.77,4.81,4.70,4.72,186390
2024-01-08,ATLC.CA,4.72,4.78,4.66,4.72,282440
2024-01-09,ATLC.CA,4.72,4.99,4.70,4.97,1180000
2024-01-10,ATLC.CA,5.25,5.41,5.08,5.14,7180000
2024-01-11,ATLC.CA,5.17,5.23,5.08,5.12,1080000
2024-01-14,ATLC.CA,5.02,5.30,5.02,5.12,2810000
2024-01-15,ATLC.CA,5.24,5.24,5.10,5.16,1620000
2024-01-16,ATLC.CA,5.19,5.42,5.07,5.17,6000000
2024-01-17,ATLC.CA,5.19,5.24,5.03,5.06,2230000
2024-01-18,ATLC.CA,5.04,5.27,4.99,5.24,6710000
2024-01-21,ATLC.CA,5.33,6.25,5.27,6.24,19950000
2024-01-22,ATLC.CA,6.25,6.25,5.83,6.05,7900000
2024-01-23,ATLC.CA,5.98,6.34,5.85,6.09,9170000
2024-01-24,ATLC.CA,6.16,6.66,5.79,5.91,9110000
2024-01-28,ATLC.CA,5.99,6.00,5.80,5.90,2980000
2024-01-29,ATLC.CA,5.96,5.97,5.63,5.63,2250000
2024-01-30,ATLC.CA,5.73,5.75,5.55,5.56,1170000
2024-01-31,ATLC.CA,5.64,5.71,4.73,5.06,1470000
2024-02-01,ATLC.CA,5.06,5.29,4.76,5.26,727310
2024-02-04,ATLC.CA,5.26,5.52,5.02,5.06,3970000
2024-02-05,ATLC.CA,5.06,5.29,5.11,5.15,1520000
2024-02-06,ATLC.CA,5.15,5.33,4.50,4.63,8520000
2024-02-07,ATLC.CA,4.63,4.84,4.69,4.72,2140000
2024-02-08,ATLC.CA,4.72,4.87,4.75,4.78,1360000
2024-02-11,ATLC.CA,4.78,4.87,4.73,4.75,1890000
2024-02-12,ATLC.CA,4.75,4.83,4.63,4.76,827560
2024-02-13,ATLC.CA,4.76,5.10,4.69,4.98,4390000
2024-02-14,ATLC.CA,4.98,5.08,4.95,5.05,2730000
2024-02-15,ATLC.CA,5.05,5.09,4.95,4.97,2150000
2024-02-18,ATLC.CA,4.97,5.06,4.95,4.98,853960
2024-02-19,ATLC.CA,4.98,5.30,5.08,5.18,3820000
2024-02-20,ATLC.CA,5.18,5.29,5.06,5.12,2230000
2024-02-21,ATLC.CA,5.12,5.26,5.06,5.16,2670000
2024-02-22,ATLC.CA,5.16,5.29,5.12,5.14,1990000
2024-02-25,ATLC.CA,5.14,5.06,4.61,4.66,2990000
2024-02-26,ATLC.CA,4.66,4.86,4.67,4.69,1180000
2024-02-27,ATLC.CA,4.69,4.83,4.72,4.78,1170000
2024-02-28,ATLC.CA,4.78,5.01,4.72,4.73,2400000
2024-02-29,ATLC.CA,4.73,4.83,4.53,4.60,978940
2024-03-03,ATLC.CA,4.60,4.69,4.50,4.51,927500
2024-03-04,ATLC.CA,4.51,4.72,4.51,4.68,778310
2024-03-05,ATLC.CA,4.68,4.76,4.56,4.60,885960
2024-03-06,ATLC.CA,4.60,4.69,4.37,4.39,1050000
2024-03-07,ATLC.CA,4.39,4.46,4.23,4.27,785970
2024-03-10,ATLC.CA,4.27,4.41,4.28,4.36,550770
2024-03-11,ATLC.CA,4.36,4.46,4.24,4.26,473410
2024-03-12,ATLC.CA,4.26,4.32,4.04,4.04,733980
2024-03-13,ATLC.CA,4.04,4.18,3.95,3.99,352330
2024-03-14,ATLC.CA,3.99,4.08,3.90,3.95,436520
2024-03-17,ATLC.CA,3.95,4.06,3.88,3.94,304980
2024-03-18,ATLC.CA,3.94,3.94,3.49,3.54,697240
2024-03-19,ATLC.CA,3.54,3.59,3.38,3.42,527430
2024-03-20,ATLC.CA,3.42,3.81,3.51,3.77,1080000
2024-03-21,ATLC.CA,3.77,4.00,3.70,3.92,609100
2024-03-24,ATLC.CA,3.92,4.04,3.80,3.95,410360
2024-03-25,ATLC.CA,3.95,4.01,3.87,3.94,281010
2024-03-26,ATLC.CA,3.94,4.06,3.83,3.86,668960
2024-03-27,ATLC.CA,3.86,3.89,3.73,3.83,381740
2024-03-28,ATLC.CA,3.83,3.93,3.78,3.86,342690
2024-03-31,ATLC.CA,3.86,3.86,3.71,3.76,550760
2024-04-01,ATLC.CA,3.76,3.97,3.74,3.90,242530
2024-04-02,ATLC.CA,3.90,3.94,3.81,3.88,131620
2024-04-03,ATLC.CA,3.88,3.91,3.78,3.86,190120
2024-04-04,ATLC.CA,3.86,3.93,3.82,3.91,173950
2024-04-07,ATLC.CA,3.91,3.94,3.86,3.90,216720
2024-04-08,ATLC.CA,3.90,3.94,3.86,3.90,483400
2024-04-15,ATLC.CA,3.90,4.01,3.81,3.97,682900
2024-04-16,ATLC.CA,3.97,4.05,3.95,3.98,914900
2024-04-17,ATLC.CA,3.98,4.16,3.98,4.02,854440
2024-04-18,ATLC.CA,4.02,4.09,3.68,3.76,736350
2024-04-21,ATLC.CA,3.76,3.88,3.79,3.82,162090
2024-04-22,ATLC.CA,3.82,3.88,3.68,3.75,586340
2024-04-23,ATLC.CA,3.75,3.80,3.59,3.66,354100
2024-04-24,ATLC.CA,3.66,3.66,3.42,3.54,397860
2024-04-28,ATLC.CA,3.50,3.56,3.42,3.48,289270
2024-04-29,ATLC.CA,3.45,3.59,3.45,3.51,166550
2024-04-30,ATLC.CA,3.62,3.62,3.45,3.47,406110
2024-05-01,ATLC.CA,3.49,3.54,3.36,3.48,233060
2024-05-02,ATLC.CA,3.49,3.61,3.46,3.59,169700
2024-05-07,ATLC.CA,3.67,3.81,3.52,3.75,628580
2024-05-08,ATLC.CA,3.75,3.75,3.62,3.68,254860
2024-05-09,ATLC.CA,3.65,3.70,3.63,3.66,113980
2024-05-12,ATLC.CA,3.64,3.72,3.59,3.64,217550
2024-05-13,ATLC.CA,3.68,3.68,3.51,3.58,221520
2024-05-14,ATLC.CA,3.54,3.63,3.54,3.57,104540
2024-05-15,ATLC.CA,3.54,3.70,3.54,3.67,425310
2024-05-16,ATLC.CA,3.68,3.71,3.61,3.69,135690
2024-05-19,ATLC.CA,3.71,3.81,3.68,3.80,190600
2024-05-20,ATLC.CA,3.81,3.81,3.70,3.73,293050
2024-05-21,ATLC.CA,3.73,3.76,3.70,3.74,279060
2024-05-22,ATLC.CA,3.75,3.79,3.66,3.69,108160
2024-05-23,ATLC.CA,3.68,3.75,3.66,3.69,102480
2024-05-26,ATLC.CA,3.69,3.86,3.63,3.73,391640
2024-05-27,ATLC.CA,3.83,3.83,3.70,3.74,317120
2024-05-28,ATLC.CA,3.62,3.70,3.61,3.64,303900
2024-05-29,ATLC.CA,3.72,3.73,3.64,3.64,61930
2024-05-30,ATLC.CA,3.65,3.68,3.59,3.61,131240
2024-06-02,ATLC.CA,3.64,3.68,3.61,3.64,101940
2024-06-03,ATLC.CA,3.62,3.89,3.62,3.73,1170000
2024-06-04,ATLC.CA,3.76,3.92,3.68,3.77,1200000
2024-06-05,ATLC.CA,3.77,3.80,3.65,3.67,510160
2024-06-06,ATLC.CA,3.73,3.74,3.66,3.66,195130
2024-06-09,ATLC.CA,3.67,3.70,3.64,3.66,281240
2024-06-10,ATLC.CA,3.64,3.66,3.57,3.62,136230
2024-06-11,ATLC.CA,3.66,3.68,3.61,3.67,338620
2024-06-12,ATLC.CA,3.66,3.70,3.62,3.66,647110
2024-06-13,ATLC.CA,3.93,3.93,3.72,3.74,300190
2024-06-23,ATLC.CA,3.74,3.80,3.70,3.80,413680
2024-06-24,ATLC.CA,3.80,3.80,3.68,3.71,776270
2024-06-25,ATLC.CA,3.70,3.73,3.64,3.69,200170
2024-06-26,ATLC.CA,3.69,3.79,3.63,3.72,920880
2024-06-27,ATLC.CA,3.69,4.15,3.68,3.90,3960000
2024-07-01,ATLC.CA,3.91,4.15,3.89,3.90,1440000
2024-07-02,ATLC.CA,3.91,4.00,3.84,3.87,1070000
2024-07-03,ATLC.CA,3.85,3.92,3.84,3.87,517800
2024-07-04,ATLC.CA,3.86,3.90,3.82,3.83,667490
2024-07-07,ATLC.CA,3.89,4.04,3.86,3.90,949260
2024-07-08,ATLC.CA,3.92,3.97,3.83,3.84,1430000
2024-07-09,ATLC.CA,3.81,3.87,3.77,3.79,884090
2024-07-10,ATLC.CA,3.85,3.85,3.75,3.76,256150
2024-07-14,ATLC.CA,3.79,3.79,3.70,3.71,329040
