Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,ATQA.CA,10.090,10.130,9.800,9.830,3600000
2026-01-05,ATQA.CA,9.840,9.890,9.600,9.810,3490000
2026-01-06,ATQA.CA,9.810,10.210,9.770,10.170,5430000
2026-01-08,ATQA.CA,10.190,10.400,10.000,10.030,10350000
2026-01-11,ATQA.CA,10.050,10.240,10.040,10.080,3610000
2026-01-12,ATQA.CA,10.100,10.160,9.880,9.920,1920000
2026-01-13,ATQA.CA,9.900,9.970,9.700,9.700,2490000
2026-01-14,ATQA.CA,9.650,9.700,9.300,9.400,2020000
2026-01-15,ATQA.CA,9.430,9.540,9.300,9.300,1350000
2026-01-18,ATQA.CA,9.380,9.450,9.290,9.420,1480000
2026-01-19,ATQA.CA,9.420,9.550,9.400,9.440,2570000
2026-01-20,ATQA.CA,9.480,9.690,9.410,9.580,3240000
2026-01-21,ATQA.CA,9.600,9.740,9.550,9.650,4550000
2026-01-22,ATQA.CA,9.700,9.730,9.480,9.480,3360000
2026-01-25,ATQA.CA,9.530,9.550,9.360,9.360,2570000
2026-01-26,ATQA.CA,9.380,9.900,9.320,9.520,6510000
2026-01-27,ATQA.CA,9.550,9.620,9.360,9.480,2130000
2026-01-28,ATQA.CA,9.380,9.530,8.900,8.950,10030000
2026-02-01,ATQA.CA,8.900,9.100,8.800,8.900,4230000
2026-02-02,ATQA.CA,8.950,9.400,8.950,9.400,8990000
2026-02-03,ATQA.CA,9.390,9.490,9.320,9.470,2390000
2026-02-04,ATQA.CA,9.500,9.640,9.460,9.510,3350000
2026-02-05,ATQA.CA,9.520,9.550,9.310,9.400,2380000
2026-02-08,ATQA.CA,9.420,9.600,9.420,9.440,2960000
2026-02-09,ATQA.CA,9.510,9.760,9.440,9.720,10470000
2026-02-10,ATQA.CA,9.800,9.840,9.550,9.570,5220000
2026-02-11,ATQA.CA,9.600,9.640,9.440,9.500,2470000
2026-02-12,ATQA.CA,9.540,9.550,9.420,9.450,1100000
2026-02-15,ATQA.CA,9.470,9.600,9.460,9.500,2100000
2026-02-16,ATQA.CA,9.550,9.600,9.390,9.410,2630000
2026-02-17,ATQA.CA,9.410,9.490,9.370,9.380,1700000
2026-02-18,ATQA.CA,9.390,9.520,9.390,9.420,1650000
2026-02-19,ATQA.CA,9.440,9.480,9.200,9.230,1470000
2026-02-22,ATQA.CA,9.230,9.280,9.010,9.040,1340000
2026-02-23,ATQA.CA,9.110,9.170,9.060,9.090,1990000
2026-02-24,ATQA.CA,9.100,9.130,8.970,8.990,2230000
2026-02-25,ATQA.CA,9.000,9.000,8.600,8.680,2350000
2026-02-26,ATQA.CA,8.700,8.790,8.500,8.600,3370000
2026-03-01,ATQA.CA,8.000,8.200,7.750,8.000,7000000
2026-03-02,ATQA.CA,8.060,8.150,7.990,8.010,3800000
2026-03-03,ATQA.CA,8.010,8.050,7.890,7.990,2430000
2026-03-04,ATQA.CA,8.010,8.050,7.890,8.000,1930000
2026-03-05,ATQA.CA,8.040,8.290,8.030,8.140,2460000
2026-03-08,ATQA.CA,8.200,8.430,8.190,8.350,2450000
2026-03-09,ATQA.CA,8.380,8.470,8.280,8.300,1770000
2026-03-10,ATQA.CA,8.310,8.380,8.290,8.300,1270000
2026-03-11,ATQA.CA,8.320,8.380,8.310,8.340,912310
2026-03-12,ATQA.CA,8.370,8.410,8.320,8.330,1010000
2026-03-15,ATQA.CA,8.340,8.370,8.250,8.300,639900
2026-03-16,ATQA.CA,8.300,8.340,8.110,8.200,675000
2026-03-17,ATQA.CA,8.210,8.270,8.150,8.230,437400
2026-03-18,ATQA.CA,8.270,8.280,8.200,8.250,913320
2026-03-24,ATQA.CA,8.300,8.300,8.180,8.210,1240000
2026-03-25,ATQA.CA,8.250,8.450,8.190,8.360,1860000
2026-03-26,ATQA.CA,8.360,8.810,8.360,8.800,8030000
2026-03-29,ATQA.CA,8.810,9.080,8.800,8.800,6810000
2026-03-30,ATQA.CA,8.800,8.830,8.300,8.450,3080000
2026-03-31,ATQA.CA,8.400,8.400,8.210,8.240,2850000
2026-04-01,ATQA.CA,8.300,8.600,8.300,8.550,1800000
2026-04-02,ATQA.CA,8.500,8.550,8.320,8.360,2530000
2026-04-05,ATQA.CA,8.470,8.540,8.370,8.460,2350000
2026-04-06,ATQA.CA,8.460,8.480,8.390,8.410,1400000
2026-04-07,ATQA.CA,8.420,8.530,8.400,8.460,2520000
2026-04-08,ATQA.CA,8.530,9.250,8.520,8.950,16990000
2026-04-09,ATQA.CA,8.960,9.590,8.760,9.060,11380000
2026-04-12,ATQA.CA,8.950,9.060,9.060,9.060,11380000
2026-04-14,ATQA.CA,9.240,9.560,9.150,9.400,10910000
2026-04-15,ATQA.CA,9.450,9.560,9.420,9.540,6320000
2026-04-16,ATQA.CA,9.590,9.870,9.570,9.710,10920000
2026-04-19,ATQA.CA,9.770,9.780,9.530,9.650,5490000
2026-04-20,ATQA.CA,9.650,9.670,9.400,9.500,3820000
2026-04-21,ATQA.CA,9.510,10.350,9.510,10.300,28040000
2026-04-22,ATQA.CA,10.250,10.390,10.010,10.030,5180000
2026-04-23,ATQA.CA,10.060,10.450,10.040,10.280,9870000
2026-04-26,ATQA.CA,10.480,11.000,10.280,10.300,36590000
2026-04-27,ATQA.CA,10.350,10.600,10.260,10.270,11310000
2026-04-28,ATQA.CA,10.310,10.340,10.070,10.120,5780000
2026-04-29,ATQA.CA,10.120,10.410,10.020,10.270,6390000
2026-04-30,ATQA.CA,10.320,10.540,10.200,10.240,4540000
2026-05-03,ATQA.CA,10.300,10.430,10.260,10.420,2860000
2026-05-04,ATQA.CA,10.490,10.720,10.210,10.210,16610000
2026-05-05,ATQA.CA,10.300,10.360,10.120,10.180,4040000
2026-05-06,ATQA.CA,10.230,10.260,9.980,10.010,6120000
2026-05-10,ATQA.CA,10.020,10.090,9.730,9.810,8250000
2026-05-11,ATQA.CA,9.840,9.990,9.830,9.930,3850000
2026-05-12,ATQA.CA,9.950,10.130,9.910,10.120,4790000
2026-05-13,ATQA.CA,10.160,10.400,10.150,10.250,7790000
2026-05-14,ATQA.CA,10.200,10.250,10.020,10.040,3560000
2026-05-17,ATQA.CA,10.040,10.250,9.970,9.970,6230000
2026-05-18,ATQA.CA,9.980,10.050,9.700,9.700,3770000
2026-05-19,ATQA.CA,9.800,9.950,9.610,9.650,3760000
2026-05-20,ATQA.CA,9.700,9.750,9.420,9.420,2680000
2026-05-21,ATQA.CA,9.480,9.520,9.420,9.460,1270000
2026-05-24,ATQA.CA,9.510,9.610,9.480,9.480,1310000
2026-05-25,ATQA.CA,9.550,9.580,9.410,9.450,1520000
2026-06-01,ATQA.CA,9.500,9.800,9.500,9.780,2820000
2026-06-02,ATQA.CA,9.800,9.840,9.720,9.740,1940000
2026-06-03,ATQA.CA,9.760,10.190,9.710,10.100,7440000
2026-06-04,ATQA.CA,10.180,10.260,10.010,10.030,7630000
2026-06-07,ATQA.CA,10.000,10.100,9.850,9.900,2400000
2026-06-08,ATQA.CA,9.810,9.930,9.750,9.820,2160000
2026-06-09,ATQA.CA,9.880,10.020,9.860,9.940,2190000
2026-06-10,ATQA.CA,9.970,10.060,9.500,9.550,3280000
2026-06-11,ATQA.CA,9.500,9.530,9.020,9.170,5430000
2026-06-14,ATQA.CA,9.480,9.490,9.320,9.450,2560000
2026-06-15,ATQA.CA,9.560,9.680,9.410,9.410,2610000
2026-06-16,ATQA.CA,9.480,9.900,9.410,9.710,6370000
2026-06-17,ATQA.CA,9.790,9.830,9.570,9.600,2150000
2026-06-21,ATQA.CA,9.680,9.680,9.500,9.530,2340000
2026-06-22,ATQA.CA,9.540,9.570,9.360,9.400,2070000
2026-06-23,ATQA.CA,9.450,9.490,9.240,9.290,1270000
2026-06-24,ATQA.CA,9.300,9.460,9.210,9.400,3400000
