Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,AXPH.CA,804.00,814.00,800.00,800.20,920
2026-01-05,AXPH.CA,809.97,809.97,791.02,796.27,780
2026-01-06,AXPH.CA,803.97,803.99,797.01,796.27,320
2026-01-08,AXPH.CA,803.98,808.00,798.00,804.62,900
2026-01-11,AXPH.CA,799.10,814.99,799.00,804.93,1480
2026-01-12,AXPH.CA,806.50,807.97,797.99,800.00,3800
2026-01-13,AXPH.CA,800.00,805.00,796.00,797.12,1610
2026-01-14,AXPH.CA,797.12,803.99,790.00,799.96,1010
2026-01-15,AXPH.CA,802.00,802.61,792.00,799.96,340
2026-01-18,AXPH.CA,794.00,798.00,792.00,799.96,280
2026-01-19,AXPH.CA,797.90,802.61,792.25,796.18,720
2026-01-20,AXPH.CA,794.03,797.90,792.51,793.33,690
2026-01-21,AXPH.CA,795.00,795.00,793.10,793.54,460
2026-01-22,AXPH.CA,793.55,794.70,790.01,790.23,2570
2026-01-25,AXPH.CA,793.87,805.00,788.00,788.08,1860
2026-01-26,AXPH.CA,790.00,793.98,788.01,790.19,1670
2026-01-27,AXPH.CA,788.05,792.98,777.00,787.15,2350
2026-01-28,AXPH.CA,780.00,784.73,771.67,776.31,1800
2026-02-01,AXPH.CA,776.31,785.10,772.03,782.93,680
2026-02-02,AXPH.CA,785.00,800.00,785.00,793.63,1250
2026-02-03,AXPH.CA,800.00,800.00,789.00,790.27,1590
2026-02-04,AXPH.CA,790.00,814.00,787.01,806.36,2820
2026-02-05,AXPH.CA,801.00,813.89,795.02,800.21,700
2026-02-08,AXPH.CA,803.89,806.99,796.00,797.78,700
2026-02-09,AXPH.CA,804.00,808.99,790.00,796.80,500
2026-02-10,AXPH.CA,803.79,803.79,792.11,796.80,330
2026-02-11,AXPH.CA,796.70,799.90,793.00,796.80,260
2026-02-12,AXPH.CA,799.97,799.97,787.01,787.51,1790
2026-02-15,AXPH.CA,790.00,799.99,788.08,791.37,830
2026-02-16,AXPH.CA,796.00,798.99,785.03,789.21,1480
2026-02-17,AXPH.CA,789.21,792.00,785.00,786.60,700
2026-02-18,AXPH.CA,790.00,794.90,786.20,787.11,1780
2026-02-19,AXPH.CA,787.00,792.99,777.00,781.62,680
2026-02-22,AXPH.CA,785.99,792.90,778.03,782.27,550
2026-02-23,AXPH.CA,780.00,789.90,777.12,785.97,2460
2026-02-24,AXPH.CA,783.00,789.00,780.01,786.04,640
2026-02-25,AXPH.CA,786.00,787.97,778.02,779.95,1370
2026-02-26,AXPH.CA,785.45,787.43,778.06,779.18,1150
2026-03-01,AXPH.CA,778.03,778.03,752.17,775.60,2830
2026-03-02,AXPH.CA,775.25,789.98,775.25,775.60,330
2026-03-03,AXPH.CA,775.50,784.79,775.46,781.44,870
2026-03-04,AXPH.CA,784.56,850.00,777.01,835.10,3060
2026-03-05,AXPH.CA,803.02,817.99,803.02,805.88,550
2026-03-08,AXPH.CA,809.00,809.99,791.06,797.24,850
2026-03-09,AXPH.CA,797.24,809.99,796.00,800.38,1630
2026-03-10,AXPH.CA,806.80,809.90,800.00,802.07,660
2026-03-11,AXPH.CA,807.39,807.39,790.01,800.51,1110
2026-03-12,AXPH.CA,804.00,806.99,795.00,795.64,1360
2026-03-15,AXPH.CA,800.00,805.90,797.00,800.37,1890
2026-03-16,AXPH.CA,800.01,805.00,795.37,799.96,5400
2026-03-17,AXPH.CA,799.01,807.00,799.00,806.01,3710
2026-03-18,AXPH.CA,805.99,807.00,799.00,805.63,690
2026-03-24,AXPH.CA,805.00,805.00,800.64,804.07,1000
2026-03-25,AXPH.CA,804.89,808.00,795.00,797.39,1050
2026-03-26,AXPH.CA,806.99,806.99,795.02,800.24,470
2026-03-29,AXPH.CA,803.49,803.49,790.00,792.10,980
2026-03-30,AXPH.CA,796.98,798.97,792.00,792.10,290
2026-03-31,AXPH.CA,795.00,798.00,790.16,793.02,630
2026-04-01,AXPH.CA,794.97,800.00,794.00,798.85,750
2026-04-02,AXPH.CA,795.00,827.00,794.03,811.05,2790
2026-04-05,AXPH.CA,812.00,823.90,809.76,814.38,1890
2026-04-06,AXPH.CA,815.00,816.00,701.66,806.27,3290
2026-04-07,AXPH.CA,815.48,815.48,806.27,810.78,800
2026-04-08,AXPH.CA,815.00,819.44,790.00,816.79,1260
2026-04-09,AXPH.CA,816.97,895.99,813.00,838.91,11120
2026-04-12,AXPH.CA,816.79,838.91,838.91,838.91,11120
2026-04-14,AXPH.CA,850.00,880.00,844.10,852.71,4990
2026-04-15,AXPH.CA,860.00,879.99,845.20,852.04,2840
2026-04-16,AXPH.CA,860.00,865.00,847.00,852.94,2520
2026-04-19,AXPH.CA,859.99,859.99,845.20,848.81,2750
2026-04-20,AXPH.CA,852.00,900.00,847.01,885.06,10130
2026-04-21,AXPH.CA,886.01,949.00,875.00,878.35,8750
2026-04-22,AXPH.CA,880.01,904.00,866.01,884.58,2500
2026-04-23,AXPH.CA,887.99,887.99,870.00,876.95,1130
2026-04-26,AXPH.CA,873.00,884.00,870.03,879.19,1120
2026-04-27,AXPH.CA,879.99,882.00,874.00,878.53,710
2026-04-28,AXPH.CA,881.50,897.30,877.00,893.49,1330
2026-04-29,AXPH.CA,890.00,921.00,883.02,911.32,4280
2026-04-30,AXPH.CA,918.00,919.09,908.00,910.19,830
2026-05-03,AXPH.CA,916.00,939.90,912.50,938.11,3460
2026-05-04,AXPH.CA,938.10,940.00,920.33,927.01,1040
2026-05-05,AXPH.CA,921.00,988.00,910.00,964.87,8330
2026-05-06,AXPH.CA,972.00,1015.00,960.00,979.56,4440
2026-05-10,AXPH.CA,1000.00,1175.47,985.00,1173.65,28020
2026-05-11,AXPH.CA,1180.00,1193.00,1023.00,1088.88,14960
2026-05-12,AXPH.CA,1110.00,1239.00,1100.12,1166.22,17260
2026-05-13,AXPH.CA,1175.52,1230.00,1160.02,1177.97,7340
2026-05-14,AXPH.CA,1180.00,1190.00,1165.00,1168.42,2080
2026-05-17,AXPH.CA,1166.51,1185.00,1150.00,1168.32,4340
2026-05-18,AXPH.CA,1168.32,1175.00,1130.00,1144.10,1720
2026-05-19,AXPH.CA,1145.00,1169.99,1140.00,1141.96,2640
2026-05-20,AXPH.CA,1157.99,1163.99,1140.00,1140.33,950
2026-05-21,AXPH.CA,1139.00,1151.89,1130.00,1138.87,660
2026-05-24,AXPH.CA,1144.93,1144.93,1125.00,1133.38,1760
2026-05-25,AXPH.CA,1140.00,1142.00,1122.00,1127.42,1570
2026-06-01,AXPH.CA,1133.00,1134.99,1125.01,1130.71,660
2026-06-02,AXPH.CA,1130.36,1134.99,1122.00,1125.17,1040
2026-06-03,AXPH.CA,1127.00,1127.49,1115.00,1118.08,920
2026-06-04,AXPH.CA,1115.03,1124.99,1111.00,1119.17,840
2026-06-07,AXPH.CA,1116.02,1134.00,1116.01,1128.27,1430
2026-06-08,AXPH.CA,1122.01,1168.00,1119.00,1142.08,3120
2026-06-09,AXPH.CA,1140.54,1174.00,1133.08,1143.25,3520
2026-06-10,AXPH.CA,1149.96,1169.50,1121.03,1131.19,980
2026-06-11,AXPH.CA,1130.91,1147.99,1119.00,1121.01,980
2026-06-14,AXPH.CA,1127.00,1143.90,1112.00,1119.18,1560
2026-06-15,AXPH.CA,1120.00,1138.00,1120.00,1121.32,1010
2026-06-16,AXPH.CA,1121.00,1137.90,1073.00,1081.84,1560
2026-06-17,AXPH.CA,1082.00,1124.97,1082.00,1095.04,1460
2026-06-21,AXPH.CA,1096.00,1119.97,1093.80,1118.16,900
2026-06-22,AXPH.CA,1119.11,1130.00,1118.00,1118.58,1740
2026-06-23,AXPH.CA,1118.00,1129.95,1113.00,1125.93,770
2026-06-24,AXPH.CA,1125.93,1125.93,1095.00,1100.23,850
